McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
1,3,0,0,2.5,4,1332,210,0,4,17.5,2,0,2,0.5,1,1729.0,2,3.0,4,0,2,911,0
1,3,0,0,4.0,4,1010,0,0,4,57.0,1,0,1,0.0,0,107.0,1,4.0,4,0,1,1010,0
3,22,0,0,13.0,23,1332,257,0,23,26.0,2,0,2,1.5,3,1729.0,2,14.5,23,0,2,818,0
1,3,0,0,2.0,2,1011,0,0,2,21.0,1,0,1,0.0,0,138.0,1,2.0,2,0,1,1011,0
1,3,0,0,4.0,4,1556,0,0,4,49.0,1,0,1,0.0,0,17014.0,1,4.0,4,0,1,1556,0
1,12,0,0,6.5,12,1022,497,1,13,25.5,2,0,2,0.0,0,36.5,2,6.5,12,0,2,27,0
1,5,0,0,3.5,6,2990,95,1,6,148.5,2,0,2,0.5,1,17014.0,1,4.0,6,0,1,2799,0
2,6,0,0,7.0,7,1641,0,0,7,4.0,1,0,1,0.0,0,121.0,1,7.0,7,0,1,1641,0
1,5,0,0,3.5,5,1043,17,0,6,123.5,2,0,2,0.5,1,354.0,1,4.0,5,0,1,1009,0
1,2,0,0,3.0,3,1738,0,0,3,49.0,1,0,1,0.0,0,1873.0,1,3.0,3,0,1,1738,0
1,2,0,0,3.0,3,1085,0,0,3,75.0,1,0,1,0.0,0,120.0,1,3.0,3,0,1,1085,0
1,2,0,0,3.0,3,1738,0,0,3,49.0,1,0,1,0.0,0,1873.0,1,3.0,3,0,1,1738,0
1,5,0,0,3.5,6,1762,0,1,6,46.5,2,0,1,0.5,1,1918.0,1,4.0,6,0,2,1762,0
1,3,0,0,4.0,4,3143,0,0,4,21.0,1,0,1,0.0,0,66.0,1,4.0,4,0,1,3143,0
1,11,0,0,12.0,12,2057,0,1,12,56.0,1,0,1,0.0,0,117.0,1,12.0,12,0,2,2057,0
1,6,0,0,1.8571428571428572,6,2941,412,0,7,53.714285714285715,7,0,7,0.8571428571428571,1,3105.8,5,2.7142857142857144,6,0,3,54,0
1,5,0,0,6.0,6,2683,0,0,6,66.0,1,0,1,0.0,0,264.0,1,6.0,6,0,1,2683,0
1,2,0,0,3.0,3,87,0,0,3,69.0,1,0,1,0.0,0,147.0,1,3.0,3,0,2,87,0
1,5,0,0,6.0,6,348,0,0,6,41.0,1,0,1,0.0,0,169.0,1,6.0,6,0,2,348,0
1,2,0,0,4.0,4,1565,0,0,4,75.0,1,0,1,0.0,0,417.0,1,4.0,4,0,1,1565,0
1,6,0,0,8.0,8,418,0,0,8,164.0,1,0,1,0.0,0,292.0,1,8.0,8,0,3,418,0
1,4,0,0,5.0,5,1047,0,0,5,91.0,1,0,1,0.0,0,149.0,1,5.0,5,0,1,1047,0
3,6,0,0,7.0,7,1117,0,0,7,99.0,1,0,1,0.0,0,2678.0,1,7.0,7,0,3,1117,0
1,4,0,0,5.0,5,1462,0,0,5,36.0,1,0,1,0.0,0,3007.0,1,5.0,5,0,1,1462,0
1,3,0,0,4.0,4,708,0,0,4,65.0,1,0,1,0.0,0,2678.0,1,4.0,4,0,1,708,0
1,3,0,0,4.0,4,919,0,0,4,50.0,1,0,1,0.0,0,486.0,1,4.0,4,0,1,919,0
1,4,0,0,3.0,5,2116,718,0,5,32.0,2,0,2,0.5,1,248.5,2,3.5,5,0,2,680,0
1,4,0,0,3.0,5,525,26,0,5,40.5,2,0,2,0.5,1,62.0,2,3.5,5,0,2,473,0
1,3,0,0,4.0,4,2119,0,0,4,8.0,1,0,1,0.0,0,5.0,1,4.0,4,0,1,2119,0
1,4,0,0,3.0,5,2168,527,0,5,72.0,2,0,2,0.5,1,230.5,2,3.5,5,0,2,1113,0
1,3,0,0,2.0,4,1055,153,0,4,52.666666666666664,3,0,3,0.6666666666666666,1,518.5,2,2.6666666666666665,4,1,2,594,0
1,4,0,0,5.0,5,745,0,0,5,58.0,1,0,1,0.0,0,550.0,1,5.0,5,0,1,745,0
1,3,0,0,4.0,4,1213,0,0,4,109.0,1,0,1,0.0,0,2544.0,1,4.0,4,0,1,1213,0
1,3,0,0,4.0,4,1782,0,1,4,15.0,1,0,1,0.0,0,1496.0,1,4.0,4,0,1,1782,0
1,6,0,0,3.25,7,397,63,1,7,65.25,4,0,4,1.5,3,1443.5,2,4.75,7,0,2,145,0
1,3,0,0,5.0,5,1082,0,0,5,21.0,1,0,1,0.0,0,28.0,1,5.0,5,0,1,1082,0
1,4,0,0,5.0,5,218,0,0,5,60.0,1,0,1,0.0,0,223.0,1,5.0,5,0,1,218,0
1,3,0,0,5.0,5,965,0,0,5,108.0,1,0,1,0.0,0,80.0,1,5.0,5,0,1,965,0
1,3,0,0,3.8333333333333335,10,1771,140,1,16,45.0,6,0,6,1.1666666666666667,2,64.2,5,5.0,12,0,10,929,0
1,3,0,0,4.0,4,1198,0,0,4,38.0,1,0,1,0.0,0,32.0,1,4.0,4,0,1,1198,0
1,3,0,0,4.0,4,704,0,0,4,20.0,1,0,1,0.0,0,9.0,1,4.0,4,0,2,704,0
1,5,0,0,6.0,6,1780,0,0,6,50.0,1,0,1,0.0,0,1898.0,1,6.0,6,0,2,1780,0
1,3,0,0,4.0,4,1687,0,0,4,65.0,1,0,1,0.0,0,3474.0,1,4.0,4,0,1,1687,0
1,3,0,0,4.0,4,298,0,0,4,57.0,1,0,1,0.0,0,772.0,1,4.0,4,0,1,298,0
1,3,0,0,4.0,4,3853,0,0,4,67.0,1,0,1,0.0,0,194.0,1,4.0,4,0,1,3853,0
1,3,0,0,4.0,4,531,0,0,4,27.0,1,0,1,0.0,0,6.0,1,4.0,4,0,1,531,0
1,2,0,0,3.0,3,657,0,0,3,72.0,1,0,1,0.0,0,14.0,1,3.0,3,0,1,657,0
1,4,0,0,5.0,5,1452,0,0,5,45.0,1,0,1,0.0,0,2297.0,1,5.0,5,0,1,1452,0
1,4,0,0,5.0,5,2114,0,0,5,33.0,1,0,1,0.0,0,5173.0,1,5.0,5,0,1,2114,0
1,6,0,0,3.0,8,2687,466,1,7,30.0,3,0,3,0.6666666666666666,1,3118.0,2,3.6666666666666665,8,0,2,1287,0
1,3,0,0,4.0,4,853,0,0,4,67.0,1,0,1,0.0,0,231.0,1,4.0,4,0,1,853,0
1,5,0,0,3.5,5,236,0,0,6,36.5,2,0,1,0.5,1,84.0,1,4.0,5,0,1,236,0
2,9,0,0,10.0,10,361,0,0,10,52.0,1,0,1,0.0,0,641.0,1,10.0,10,0,1,361,0
1,3,0,0,2.5,4,4820,1279,1,4,59.0,2,1,2,0.5,1,1697.0,2,3.0,4,0,2,2262,0
1,4,0,0,5.0,5,2005,0,0,5,82.0,1,0,1,0.0,0,306.0,1,5.0,5,0,1,2005,0
1,2,0,0,1.6666666666666667,3,1198,355,0,3,36.0,3,0,3,0.6666666666666666,1,46.5,2,2.3333333333333335,3,0,2,131,0
1,3,0,0,4.0,4,1432,0,0,4,71.0,1,0,1,0.0,0,156.0,1,4.0,4,0,1,1432,0
1,3,0,0,4.0,4,1228,0,0,4,52.0,1,0,1,0.0,0,3.0,1,4.0,4,0,1,1228,0
1,3,0,0,4.0,4,821,0,0,4,92.0,1,0,1,0.0,0,8532.0,1,4.0,4,0,1,821,0
1,3,0,0,4.0,4,1075,0,0,4,35.0,1,0,1,0.0,0,237.0,1,4.0,4,0,1,1075,0
1,3,0,0,4.0,4,55,0,0,4,74.0,1,0,1,0.0,0,39.0,1,4.0,4,0,1,55,0
1,3,0,0,4.0,4,3382,0,0,4,120.0,1,0,1,0.0,0,3460.0,1,4.0,4,0,1,3382,0
1,4,0,0,3.5,5,120,0,0,5,54.5,2,0,1,1.0,2,852.5,2,4.5,5,0,3,120,0
1,3,0,0,4.0,4,121,0,0,4,112.0,1,0,1,0.0,0,133.0,1,4.0,4,0,1,121,0
1,10,0,0,11.0,11,1151,0,0,11,34.0,1,0,1,0.0,0,12.0,1,11.0,11,0,1,1151,0
1,5,0,0,3.75,6,5413,507,1,6,109.25,4,0,4,2.25,4,4001.5,2,6.0,8,1,1,3385,0
7,27,0,0,11.0,34,1818,305,0,39,38.5,4,0,4,1.25,4,64.0,3,12.25,34,0,3,597,1
1,9,0,0,10.0,10,346,0,0,10,43.0,1,0,1,0.0,0,26.0,1,10.0,10,0,2,346,0
2,3,0,0,4.0,4,165,0,0,4,82.0,1,0,1,0.0,0,2112.0,1,4.0,4,0,1,165,0
1,5,0,0,6.0,6,1716,0,0,6,63.0,1,0,1,0.0,0,761.0,1,6.0,6,0,1,1716,0
1,6,0,0,3.0,5,1402,39,0,7,39.333333333333336,3,0,3,0.6666666666666666,1,1426.5,2,3.6666666666666665,5,1,2,1283,0
5,22,0,0,25.0,25,115,0,0,25,60.0,1,0,1,0.0,0,388.0,1,25.0,25,0,3,115,0
1,8,0,0,9.0,9,494,0,0,9,95.0,1,0,1,0.0,0,94.0,1,9.0,9,1,1,494,0
2,8,0,0,16.5,27,1308,464,0,11,40.0,2,0,2,11.0,22,38.5,2,27.5,28,0,3,380,0
3,20,0,0,7.333333333333333,16,2791,649,0,20,65.66666666666667,3,0,3,0.6666666666666666,1,1197.0,2,8.0,16,0,3,843,0
2,7,0,0,8.0,8,556,0,0,8,27.0,1,0,1,0.0,0,1127.0,1,8.0,8,0,1,556,0
1,5,0,0,6.0,6,1082,0,0,6,21.0,1,0,1,0.0,0,28.0,1,6.0,6,0,1,1082,0
4,23,0,0,8.8,35,2092,362,0,34,42.2,5,0,5,2.0,4,854.5,2,10.8,35,1,5,278,0
1,5,0,0,6.0,6,2159,0,0,6,52.0,1,0,1,0.0,0,1496.0,1,6.0,6,0,1,2159,0
1,5,0,0,4.666666666666667,6,4628,764,0,6,32.0,3,0,3,2.6666666666666665,4,250.66666666666666,3,7.333333333333333,8,1,1,2334,0
1,4,0,0,8.0,12,2508,211,0,12,73.0,3,0,3,4.0,10,819.0,1,12.0,20,0,1,1874,0
4,15,0,0,10.5,15,2003,654,0,16,97.5,2,0,2,2.5,5,1575.5,2,13.0,15,0,2,695,0
3,16,0,1,7.666666666666667,15,471,49,0,18,48.0,3,0,3,1.6666666666666667,4,3829.0,1,9.333333333333334,15,0,1,324,0
2,8,0,0,9.0,9,1133,0,0,9,14.0,1,0,1,0.0,0,1464.0,1,9.0,9,0,3,1133,0
1,41,0,0,43.0,43,965,0,0,43,54.0,1,0,1,0.0,0,23.0,1,43.0,43,0,2,965,0
2,6,0,0,4.666666666666667,12,761,151,0,12,78.33333333333333,3,0,3,0.6666666666666666,1,772.0,1,5.333333333333333,12,1,3,307,0
1,13,0,0,5.333333333333333,13,3971,5,2,14,81.0,3,0,3,0.6666666666666666,2,1819.0,1,6.0,13,1,2,3955,0
6,24,0,0,4.142857142857143,13,2140,267,3,24,66.0,7,0,6,0.7142857142857143,1,5146.0,1,4.857142857142857,13,0,3,266,1
1,5,0,0,3.5,6,931,183,0,6,38.0,2,0,2,0.5,1,16.5,2,4.0,6,0,2,565,0
1,8,0,0,1.6666666666666667,6,1523,167,1,9,60.55555555555556,9,0,7,0.6666666666666666,1,637.3333333333334,3,2.3333333333333335,6,3,3,16,0
1,3,0,0,2.6666666666666665,6,2270,228,1,5,49.666666666666664,6,0,6,1.8333333333333333,3,106.2,5,4.5,6,1,3,897,0
1,7,0,0,9.0,9,1082,0,0,9,21.0,1,0,1,0.0,0,28.0,1,9.0,9,0,1,1082,0
1,6,0,0,7.0,7,575,0,0,7,39.0,1,0,1,0.0,0,1112.0,1,7.0,7,0,1,575,0
1,6,0,0,7.0,7,990,0,0,7,22.0,1,0,1,0.0,0,4.0,1,7.0,7,0,3,990,0
8,42,0,0,57.0,57,113,0,0,57,93.0,1,0,1,0.0,0,3829.0,1,57.0,57,0,2,113,1
7,36,0,0,18.0,32,1871,347,0,36,39.5,2,0,2,0.0,0,1111.5,2,18.0,32,0,2,1176,1
1,5,0,0,6.0,6,757,0,0,6,23.0,1,0,1,0.0,0,1632.0,1,6.0,6,0,1,757,0
1,5,0,0,6.0,6,2345,0,0,6,54.0,1,0,1,0.0,0,516.0,1,6.0,6,0,1,2345,0
1,5,0,0,3.5,6,1185,40,0,6,45.0,2,0,2,0.5,1,1149.5,2,4.0,6,0,2,1104,0
2,6,0,0,4.0,7,614,132,0,7,58.5,2,0,2,0.5,1,793.0,1,4.5,7,0,2,350,0
2,6,0,0,2.857142857142857,8,1115,68,0,10,51.857142857142854,7,0,6,1.4285714285714286,3,117.66666666666667,3,4.285714285714286,11,1,6,638,0
6,19,0,0,20.0,20,1327,0,0,20,76.0,1,0,1,0.0,0,247.0,1,20.0,20,0,1,1327,0
1,6,0,0,4.0,8,1455,74,0,7,63.5,2,0,2,0.5,1,33.0,1,4.5,8,0,1,1307,0
1,7,0,0,8.0,8,1100,0,0,8,25.0,1,0,1,0.0,0,1241.0,1,8.0,8,0,1,1100,0
1,5,0,0,2.6666666666666665,5,819,0,0,6,83.0,3,0,1,0.6666666666666666,2,1363.5,2,3.3333333333333335,5,1,2,819,0
1,5,0,0,6.0,6,492,0,0,6,42.0,1,0,1,0.0,0,929.0,1,6.0,6,0,1,492,0
1,8,0,0,5.333333333333333,15,1814,248,1,11,49.166666666666664,6,0,6,3.5,12,544.6666666666666,6,8.833333333333334,19,2,4,326,0
1,7,0,0,8.0,8,1135,0,0,8,94.0,1,0,1,0.0,0,33.0,1,8.0,8,1,1,1135,0
1,5,0,0,6.0,6,3617,0,0,6,47.0,1,0,1,0.0,0,622.0,1,6.0,6,0,1,3617,0
1,4,2,0,6.0,6,57,0,0,6,85.0,1,0,1,0.0,0,3829.0,1,6.0,6,0,3,57,0
2,9,0,0,6.0,11,1191,144,0,11,31.5,2,0,2,0.5,1,2454.5,2,6.5,11,1,2,902,0
2,12,0,0,17.0,17,4385,0,0,17,29.0,1,0,1,0.0,0,2728.0,1,17.0,17,0,1,4385,0
1,6,0,0,7.0,7,532,0,1,7,28.0,1,0,1,0.0,0,482.0,1,7.0,7,0,2,532,0
1,5,0,0,6.0,6,1592,0,0,6,45.0,1,0,1,0.0,0,69.0,1,6.0,6,0,2,1592,0
1,7,0,0,5.0,9,1304,4,0,8,27.5,2,0,2,1.0,2,305.0,1,6.0,9,0,1,1295,0
1,7,0,0,8.0,8,831,0,0,8,55.0,1,0,1,0.0,0,3829.0,1,8.0,8,0,1,831,0
1,4,0,0,4.5,6,507,233,0,6,32.0,2,0,2,1.5,3,14.0,2,6.0,6,0,3,41,0
1,5,0,0,6.0,6,149,0,0,6,86.0,1,0,1,0.0,0,4.0,1,6.0,6,0,1,149,0
1,3,0,0,4.333333333333333,10,1456,46,0,10,24.0,3,0,3,1.0,2,50.666666666666664,3,5.333333333333333,10,0,2,1318,0
2,12,0,0,13.0,13,556,0,0,13,27.0,1,0,1,0.0,0,1127.0,1,13.0,13,0,1,556,0
1,7,0,0,8.0,8,4369,0,1,8,83.0,1,0,1,0.0,0,1819.0,1,8.0,8,0,1,4369,0
1,7,0,0,8.0,8,1140,0,0,8,182.0,1,0,1,0.0,0,2748.0,1,8.0,8,1,3,1140,0
1,5,0,0,6.0,6,86,0,0,6,65.0,1,0,1,0.0,0,1.0,1,6.0,6,0,1,86,0
1,4,0,0,5.0,5,3640,0,1,5,28.0,1,0,1,0.0,0,1330.0,1,5.0,5,0,1,3640,0
1,5,0,0,3.5,6,2919,1076,0,6,39.0,2,0,2,0.5,1,2416.0,2,4.0,6,0,1,766,0
1,8,0,0,9.0,9,311,0,0,9,24.0,1,0,1,0.0,0,3829.0,1,9.0,9,0,1,311,0
6,32,0,0,21.666666666666668,61,630,24,1,32,22.0,3,0,3,11.0,33,138.0,1,32.666666666666664,61,0,1,558,1
1,5,0,0,6.0,6,896,0,0,6,65.0,1,0,1,0.0,0,673.0,1,6.0,6,0,1,896,0
1,7,0,0,8.0,8,265,0,0,8,43.0,1,0,1,0.0,0,206.0,1,8.0,8,0,1,265,0
1,5,0,0,3.5,6,1592,290,1,6,44.5,2,0,2,0.5,1,127.0,2,4.0,6,0,2,1011,0
1,5,0,0,6.0,6,3248,0,1,6,109.0,1,0,1,0.0,0,175.0,1,6.0,6,1,1,3248,0
1,4,0,0,5.0,5,2622,0,0,5,36.0,1,0,1,0.0,0,495.0,1,5.0,5,0,1,2622,0
2,9,0,0,2.875,7,1690,134,0,10,43.0,8,0,8,1.625,6,343.0,3,4.5,8,1,2,617,0
1,4,0,0,5.0,5,2539,0,0,5,123.0,1,0,1,0.0,0,1299.0,1,5.0,5,0,2,2539,0
2,5,0,0,6.0,6,2474,0,0,6,28.0,1,0,1,0.0,0,89.0,1,6.0,6,0,1,2474,0
4,17,0,0,9.5,18,131,1,0,18,133.0,2,0,2,0.5,1,3444.0,1,10.0,18,0,3,129,0
2,5,0,0,7.0,7,1008,0,0,7,21.0,1,0,1,0.0,0,161.0,1,7.0,7,0,1,1008,0
4,30,0,0,6.555555555555555,29,2242,202,2,33,51.333333333333336,9,0,9,2.888888888888889,10,207.28571428571428,7,9.444444444444445,29,0,7,418,1
2,7,0,0,3.3333333333333335,7,4649,1395,0,8,72.66666666666667,3,0,3,0.6666666666666666,1,777.0,3,4.0,7,1,2,462,0
2,19,0,0,9.666666666666666,23,164,11,1,26,35.0,3,0,3,1.0,2,202.5,2,10.666666666666666,24,0,2,129,1
1,8,0,0,3.6,8,921,40,1,9,29.4,5,0,4,1.8,4,295.0,2,5.4,9,3,2,721,0
1,5,0,0,3.0,5,641,27,1,6,59.666666666666664,3,0,2,1.0,2,525.0,2,4.0,5,0,2,560,0
1,4,0,0,5.0,5,159,0,0,5,113.0,1,0,1,0.0,0,113.0,1,5.0,5,0,1,159,0
1,5,0,0,6.0,6,1980,0,0,6,50.0,1,0,1,0.0,0,834.0,1,6.0,6,0,2,1980,0
2,11,0,0,6.0,6,461,53,0,12,66.0,2,0,2,0.0,0,87.0,2,6.0,6,0,2,354,0
10,52,0,0,4.3,43,3659,138,1,63,74.35,20,0,20,1.15,8,222.33333333333334,12,5.45,43,1,10,887,2
1,12,0,0,4.25,13,1191,146,1,14,51.0,4,0,4,0.75,1,171.5,4,5.0,13,0,5,607,0
1,4,0,0,5.0,5,715,0,0,5,57.0,1,0,1,0.0,0,119.0,1,5.0,5,0,1,715,0
1,7,0,0,8.0,8,1082,0,0,8,21.0,1,0,1,0.0,0,28.0,1,8.0,8,0,1,1082,0
2,5,0,0,6.0,6,553,0,0,6,77.0,1,0,1,0.0,0,3185.0,1,6.0,6,0,1,553,0
1,7,0,0,8.0,8,548,0,0,8,50.0,1,0,1,0.0,0,673.0,1,8.0,8,0,1,548,0
3,22,0,0,31.0,31,1834,0,0,31,79.0,1,0,1,0.0,0,1789.0,1,31.0,31,0,1,1834,1
1,79,0,0,139.0,272,4129,1137,1,272,37.5,2,0,2,3.0,6,3829.0,1,142.0,272,0,7,1855,3
1,5,0,0,3.5,6,935,438,0,6,86.5,2,0,2,0.5,1,1508.0,2,4.0,6,1,2,59,0
3,15,0,0,18.0,18,278,0,0,18,106.0,1,0,1,0.0,0,90.0,1,18.0,18,0,2,278,0
1,12,0,0,13.0,13,275,0,0,13,38.0,1,0,1,0.0,0,649.0,1,13.0,13,0,1,275,0
1,10,0,0,3.0,7,2234,45,0,11,106.2,5,0,5,0.8,1,567.0,1,3.8,7,0,2,2008,0
1,5,0,0,3.5,5,533,89,0,6,84.0,2,0,2,0.5,1,738.0,2,4.0,5,0,3,354,0
2,8,0,0,5.5,10,2574,229,0,9,50.0,2,0,2,1.0,2,3829.0,1,6.5,10,0,1,2115,0
1,5,0,0,3.5,6,1917,7,0,6,48.0,2,0,2,0.5,1,425.0,1,4.0,6,1,1,1902,0
2,12,0,0,16.0,16,1177,0,0,16,53.0,1,0,1,0.0,0,522.0,1,16.0,16,0,1,1177,0
1,3,0,0,4.0,6,1136,0,0,6,55.0,2,0,1,1.0,2,2242.0,1,5.0,6,0,6,1136,0
1,3,0,0,2.6666666666666665,5,1000,221,2,4,57.0,3,0,3,1.3333333333333333,3,564.5,2,4.0,5,1,1,336,0
1,10,0,0,11.0,11,767,0,0,11,90.0,1,0,1,0.0,0,300.0,1,11.0,11,0,1,767,0
1,3,0,0,3.5,4,1827,857,1,4,53.5,2,0,2,1.5,3,151.0,2,5.0,6,0,1,113,0
1,3,0,0,3.0,4,1827,857,1,4,53.5,2,0,2,1.0,2,151.0,2,4.0,4,0,1,113,0
1,3,0,0,4.0,4,1115,0,1,4,1021.0,1,0,1,0.0,0,4681.0,1,4.0,4,0,2,1115,0
2,10,0,0,11.0,11,369,0,0,11,50.0,1,0,1,0.0,0,553.0,1,11.0,11,0,4,369,0
1,3,0,0,4.0,4,1626,0,1,4,72.0,1,0,1,0.0,0,23630.0,1,4.0,4,1,1,1626,0
9,37,0,0,12.0,30,4744,666,0,30,149.0,4,0,3,4.5,16,12871.0,2,16.5,32,0,2,2079,1
4,15,0,0,10.5,19,1003,290,2,18,57.0,2,0,2,1.5,3,11845.0,2,12.0,19,0,2,423,0
10,27,0,0,28.0,28,2637,0,0,28,53.0,1,0,1,0.0,0,23630.0,1,28.0,28,0,1,2637,0
2,6,0,0,4.333333333333333,7,3429,538,1,7,47.0,3,0,3,2.0,4,8416.666666666666,3,6.333333333333333,8,0,3,1815,0
