id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,Age,Severity
127,0.0,247,0.0,0,0,0,122,0,0,0,122,122,1.0,0,122,0,823,0
128,0.0,30,0.0,2,0,0,5,0,0,0,5,3,0.6,3,5,0,848,0
129,0.0,238,0.0,1,0,0,16,1,0,0,42,40,0.875,11,33,2,1071,2
130,0.0,61,0.0,0,0,0,27,0,0,0,27,27,1.0,0,29,0,3914,0
131,0.0,60,0.0,2,0,0,6,0,0,5,9,7,0.6666666666666666,5,14,0,74,0
132,0.0,247,0.0,7,0,0,21,5,0,7,43,31,0.4285714285714285,21,80,8,1040,0
133,0.0,18,0.0,0,0,0,1,0,1,3,2,2,1.0,1,2,0,4004,0
134,0.0,11,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,219,0
135,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4130,0
136,0.0,72,0.0,3,0,0,11,1,0,4,12,8,0.6363636363636364,9,19,0,2478,0
137,0.0,79,0.0,0,0,0,6,0,0,1,12,12,1.0,4,34,0,3184,1
138,0.0,108,0.0,1,0,0,15,0,0,4,24,23,0.9333333333333332,2,37,0,1579,1
139,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,2826,0
140,0.0,72,0.0,1,0,0,5,0,0,5,12,11,0.8,3,58,0,980,0
141,0.0,104,0.0,1,0,0,7,0,0,3,19,18,0.8571428571428571,5,21,0,2185,0
142,0.0,26,0.0,0,0,0,0,0,9,1,0,0,0.0,0,0,0,1082,0
143,0.0,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,517,0
144,0.0,293,0.0,1,0,0,22,0,0,12,49,48,0.9545454545454546,18,106,0,1082,1
145,0.0,91,0.0,0,0,0,6,0,0,10,12,12,1.0,2,30,0,4130,0
146,0.0,180,0.0,0,0,0,29,0,0,2,29,29,1.0,29,70,0,1082,2
147,0.0,131,0.0,13,0,0,25,12,0,12,25,0,0.0,25,26,0,2158,0
148,0.0,32,0.0,1,0,0,3,1,0,0,5,3,0.3333333333333333,3,7,0,1082,0
149,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2142,0
150,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2158,0
151,0.0,26,0.0,2,0,0,3,0,0,1,4,2,0.3333333333333333,2,5,0,421,0
152,0.0,40,0.0,7,0,0,8,0,0,1,8,1,0.125,8,9,0,988,0
153,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,596,0
154,0.0,31,0.0,0,0,0,4,0,0,1,4,4,1.0,0,9,0,427,0
155,0.0,603,0.0,60,0,0,127,0,2,0,131,71,0.5275590551181102,127,140,0,154,0
156,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2412,0
157,0.0,11,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,1457,0
158,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,632,0
159,0.9803921568627452,102,0.0,2,1,0,12,0,0,1,18,16,0.8333333333333334,6,37,5,1072,0
160,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,1135,0
161,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,3186,0
162,0.0,18,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,4,127,0
163,0.0,29,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,360,0
164,0.0,191,0.0,1,0,0,16,0,0,1,43,42,0.9375,7,68,0,3426,0
165,0.0,39,0.0,0,0,0,2,0,0,1,5,5,1.0,2,17,0,2436,0
166,0.0,19,0.0,0,0,0,1,0,0,3,1,1,1.0,1,4,0,1135,0
167,0.0,21,0.0,0,0,0,1,0,1,1,1,1,1.0,1,4,1,2614,0
168,0.0,16,0.0,0,0,0,1,0,1,0,1,1,1.0,1,8,0,2653,0
169,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,218,0
170,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,218,0
171,0.0,33,0.0,0,0,0,2,0,2,1,2,2,1.0,2,11,1,2653,0
172,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,218,0
173,0.0,39,0.0,1,0,0,6,0,0,0,6,5,0.8333333333333334,0,19,0,465,0
174,4.444444444444445,180,0.5555555555555556,3,8,1,18,0,0,9,27,24,0.8333333333333334,6,72,2,612,0
175,1.8867924528301887,106,9.433962264150944,3,2,10,14,0,0,3,20,17,0.7857142857142857,8,38,0,421,1
176,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
177,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,218,0
178,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
179,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
180,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
181,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,218,0
182,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
183,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,218,0
184,0.0,30,0.0,3,0,0,4,1,0,3,4,0,0.0,4,4,0,2487,0
185,0.0,27,0.0,0,0,0,1,0,1,1,1,1,1.0,1,11,2,297,0
186,0.0,54,0.0,4,0,0,9,0,0,3,9,5,0.5555555555555556,9,16,0,855,0
187,0.0,16,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,2095,0
188,0.0,577,0.0,5,0,0,34,0,1,0,128,123,0.8529411764705882,10,376,0,2653,1
189,0.0,18,0.0,3,0,0,4,0,0,0,4,1,0.25,1,4,0,1818,0
190,0.0,70,0.0,3,0,0,6,0,0,7,7,4,0.5,0,14,8,338,0
191,0.0,31,0.0,0,0,0,1,0,2,0,16,16,1.0,1,18,0,1818,0
192,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4141,0
193,3.076923076923077,65,0.0,0,2,0,8,3,0,4,12,9,0.625,6,19,0,2419,0
194,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,1712,0
195,0.0,30,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0,933,0
196,0.0,34,0.0,4,0,0,4,0,0,3,4,0,0.0,4,5,1,3438,0
197,0.0,21,0.0,2,0,0,2,0,0,2,2,0,0.0,2,3,2,41,0
198,0.0,71,0.0,0,0,0,7,0,0,2,9,9,1.0,0,31,0,255,0
199,0.0,67,0.0,0,0,0,4,0,0,3,9,9,1.0,2,25,2,1811,0
200,0.0,35,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,358,0
201,0.0,18,0.0,2,0,0,4,0,0,0,4,2,0.5,4,4,0,1818,0
202,0.0,56,0.0,2,0,0,3,0,0,2,11,9,0.3333333333333333,3,14,0,694,0
203,0.0,12,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,1,918,0
204,0.0,13,0.0,0,0,0,1,0,0,0,1,1,1.0,1,4,0,2485,0
205,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,1505,0
206,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,2485,0
207,0.0,15,0.0,0,0,0,1,0,0,0,2,2,1.0,1,9,0,211,0
208,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1224,0
209,0.0,28,0.0,0,0,0,1,0,0,0,2,2,1.0,1,8,2,2878,0
210,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,715,0
211,2.7777777777777777,36,0.0,0,1,0,1,0,0,1,6,6,1.0,1,16,0,216,0
212,0.0,62,0.0,0,0,0,1,0,7,3,1,1,1.0,1,1,0,927,0
213,0.0,30,0.0,0,0,0,2,0,0,1,5,5,1.0,0,9,0,912,0
214,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,927,0
215,0.0,170,0.0,0,0,0,12,0,0,1,44,44,1.0,4,111,0,755,1
216,0.0,11,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,3,1156,0
217,0.0,167,0.0,1,0,0,18,0,0,11,21,20,0.9444444444444444,18,48,0,626,0
218,0.0,77,0.0,0,0,0,5,0,0,7,12,12,1.0,4,30,0,496,0
219,0.0,22,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,578,0
220,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,1674,0
221,0.0,81,0.0,6,0,0,10,0,0,2,18,12,0.4,10,22,0,2340,0
222,0.0,185,0.0,0,0,0,8,0,0,11,51,51,1.0,6,82,0,1001,3
223,0.0,410,0.0,12,0,0,52,0,0,12,74,62,0.7692307692307693,40,77,0,1041,2
224,0.0,20,0.0,1,0,0,4,0,0,0,4,3,0.75,0,5,0,1093,0
225,0.0,67,0.0,0,0,0,2,0,0,4,7,7,1.0,2,30,0,2149,0
226,0.5319148936170213,188,0.0,2,1,0,15,0,1,1,40,38,0.8666666666666667,8,95,0,1282,1
227,0.0,10,0.0,1,0,0,1,0,0,1,1,0,0.0,0,1,1,5294,0
228,0.0,18,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,1424,0
229,0.0,27,0.0,0,0,0,2,0,0,0,7,7,1.0,2,10,0,1424,0
230,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1137,0
231,0.0,8,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1386,0
232,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1605,0
233,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,2164,0
234,0.0,10,0.0,0,0,0,1,0,0,0,3,3,1.0,1,1,0,5582,0
235,0.0,36,0.0,0,0,0,1,0,0,0,1,1,1.0,0,19,0,5585,0
236,0.0,14,0.0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,1222,0
237,0.0,32,0.0,0,0,0,3,0,0,1,4,4,1.0,3,12,0,1332,0
238,0.0,75,0.0,0,0,0,20,0,0,0,20,20,1.0,20,46,0,1010,0
239,0.0,284,0.0,3,0,0,10,0,19,1,25,22,0.7,8,92,0,1010,0
240,0.0,186,0.0,1,0,0,13,1,0,0,45,42,0.8461538461538461,12,50,0,1010,0
241,0.0,46,0.0,2,0,0,8,0,0,1,8,6,0.75,0,16,1,3247,0
242,0.0,344,0.0,2,0,0,12,0,0,3,79,77,0.8333333333333334,4,147,0,650,1
243,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3913,0
244,0.0,22,0.0,2,0,0,4,1,0,1,4,1,0.25,4,4,0,3337,0
245,0.0,57,0.0,5,0,0,14,0,1,0,14,9,0.6428571428571429,5,14,0,2964,0
246,0.0,410,0.0,7,0,0,33,0,0,11,83,76,0.7878787878787878,13,157,2,1558,0
247,0.0,141,0.0,23,0,0,23,0,0,23,23,0,0.0,23,69,0,1008,0
248,0.0,85,0.0,4,0,0,8,0,0,4,13,9,0.5,8,32,0,584,0
249,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,1011,0
250,0.0,52,0.0,3,0,0,5,0,0,0,7,4,0.4,3,5,0,1222,0
251,0.0,132,0.0,2,0,0,12,2,0,0,30,24,0.6666666666666666,11,28,0,1043,0
252,0.0,50,0.0,0,0,0,1,0,0,0,5,5,1.0,1,35,0,6803,1
253,0.0,92,0.0,6,0,0,14,4,0,6,19,9,0.2857142857142857,14,25,0,4256,0
254,10.0,20,0.0,0,2,0,2,0,0,0,2,2,1.0,2,12,0,1006,0
255,0.0,44,0.0,4,0,0,8,2,0,0,9,3,0.25,8,10,0,4841,0
256,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,965,0
257,0.0,29,0.0,0,0,0,4,1,0,2,5,4,0.75,4,6,0,4473,0
258,0.0,22,0.0,4,0,0,4,0,0,0,4,0,0.0,0,4,0,1555,0
259,0.0,141,0.0,23,0,0,33,0,0,0,34,11,0.303030303030303,33,66,0,996,1
260,0.0,5,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,2636,0
261,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,965,0
262,0.0,103,0.0,0,0,0,5,0,0,0,23,23,1.0,1,40,0,4830,0
263,0.0,93,0.0,6,0,0,8,0,0,4,13,6,0.25,2,37,0,1191,0
264,0.0,48,0.0,4,0,0,7,0,0,3,7,3,0.4285714285714285,7,12,0,1262,0
265,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5925,0
266,0.0,52,0.0,3,0,0,6,0,0,3,8,5,0.5,6,7,0,1262,0
267,0.0,89,0.0,0,0,0,9,0,0,0,27,27,1.0,9,16,0,3935,0
268,0.0,185,0.0,18,0,0,36,18,0,18,36,0,0.0,36,36,0,1392,0
269,0.0,40,0.0,4,0,0,7,3,0,3,7,0,0.0,7,7,2,2097,0
270,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,154,0
271,0.0,65,0.0,0,0,0,1,0,0,5,8,8,1.0,1,24,4,4388,0
272,0.0,166,0.0,0,0,0,9,0,0,1,45,45,1.0,9,67,0,3297,2
273,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4388,0
274,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,236,0
275,0.0,19,0.0,0,0,0,4,0,0,0,5,5,1.0,0,7,0,112,0
276,0.0,785,0.0,13,0,0,78,7,0,10,161,136,0.7435897435897436,71,219,0,1641,1
277,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,2726,0
278,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5,630,0
279,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,501,0
280,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1063,0
281,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1183,0
282,0.0,40,0.0,0,0,0,2,0,0,2,8,8,1.0,2,15,0,4578,0
283,0.0,59,0.0,0,0,0,3,0,2,3,7,7,1.0,2,32,0,1311,0
284,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,3896,0
285,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,12,0,2726,0
286,0.0,25,0.0,0,0,0,2,0,0,1,3,3,1.0,1,19,1,2388,0
287,0.0,183,0.0,11,0,0,31,0,0,2,34,23,0.6451612903225806,30,36,0,1890,0
288,0.0,18,0.0,0,0,0,2,0,0,1,2,2,1.0,2,4,0,2726,0
289,0.0,13,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,3268,0
290,0.0,33,0.0,4,0,0,5,0,0,1,5,1,0.2,5,5,0,517,0
291,0.0,44,0.0,0,0,0,2,0,0,1,8,8,1.0,1,17,0,2726,0
292,0.0,44,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,1,1339,0
293,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2214,0
294,0.0,86,0.0,0,0,0,1,0,0,1,15,15,1.0,1,43,0,1774,0
