id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,TimePassedSinceTheLastChange,Severity
318,1,3,0,0,1453,0
319,1,3,0,0,226,0
320,1,3,0,0,913,0
321,1,3,0,0,389,0
322,2,6,0,0,26,0
323,6,32,0,0,702,1
324,1,3,0,0,787,0
325,1,4,0,0,67,0
326,1,3,0,0,1858,0
327,2,11,0,0,7,0
328,1,5,0,0,523,0
329,1,3,0,0,7,0
330,1,3,0,0,138,0
331,2,11,0,0,376,0
332,1,5,0,0,40,0
333,1,3,0,0,40,0
334,1,5,0,0,278,0
335,1,3,0,0,40,0
336,1,5,0,0,152,0
337,1,5,0,0,523,0
338,2,6,0,0,103,0
339,4,19,0,0,264,0
340,5,32,0,0,68,2
341,1,3,0,0,969,0
342,1,3,0,0,33,0
343,1,4,0,0,106,0
344,1,4,0,0,261,0
345,1,3,0,0,149,0
346,2,6,0,0,169,0
347,4,19,0,0,147,0
348,1,3,0,0,111,0
349,2,15,0,0,364,1
350,1,3,0,0,3254,0
351,2,11,0,0,2678,0
352,1,3,0,0,3750,0
353,1,3,0,0,892,0
354,2,7,0,0,304,0
355,1,6,0,0,2474,0
356,1,4,0,0,2474,0
357,1,5,0,0,2474,0
358,2,7,0,0,264,0
359,5,32,0,0,19,2
360,1,3,0,0,1082,0
361,1,3,0,0,1082,0
362,1,3,0,0,1082,0
363,1,3,0,0,1082,0
364,1,3,0,0,241,0
365,1,3,0,0,1082,0
366,1,3,0,0,1621,0
367,10,35,0,0,1082,2
368,1,10,0,0,1082,0
369,1,3,1,0,674,0
370,5,17,0,0,547,0
371,1,3,0,0,632,0
372,1,3,0,0,3754,0
373,2,6,0,0,154,0
374,1,3,0,0,632,0
375,4,12,0,0,286,0
376,1,3,0,0,1135,0
377,1,3,0,0,632,0
378,1,3,0,0,667,0
379,1,6,0,0,45,0
380,1,3,0,0,1950,0
381,1,3,0,0,283,0
382,1,4,1,1,283,0
383,1,3,0,0,2916,0
384,1,3,0,0,460,0
385,4,17,0,0,45,0
386,4,17,0,0,221,0
387,2,6,0,0,23,0
388,1,3,0,0,1626,0
389,1,7,0,0,282,0
390,2,7,0,0,4,0
391,1,3,0,0,2284,0
392,1,3,0,0,402,0
393,1,4,0,0,276,0
394,1,12,0,0,1008,0
395,1,3,0,0,568,0
396,1,4,0,0,1254,0
397,1,2,0,0,1301,0
398,1,3,0,0,634,0
399,2,11,0,0,1861,0
400,1,5,1,0,998,0
401,1,3,0,0,23,0
402,6,21,0,0,1703,0
403,1,5,1,0,1381,0
404,1,4,0,0,1818,0
405,1,3,0,0,1802,0
406,4,16,0,0,103,0
407,2,9,0,0,1370,0
408,1,3,0,0,2029,0
409,26,73,0,0,1129,2
410,1,3,0,0,1639,0
411,1,6,0,0,1043,0
412,1,3,0,0,4391,0
413,4,12,0,0,4081,0
414,1,3,0,0,3778,0
415,1,5,0,0,1818,0
416,1,9,0,0,4391,0
417,2,3,0,0,365,0
418,1,3,0,0,574,0
419,1,5,0,0,902,0
420,2,7,0,0,2767,0
421,1,5,0,0,91,0
422,1,3,0,0,265,0
423,1,11,0,0,265,0
424,1,3,0,0,927,0
425,1,4,0,0,779,0
426,1,3,0,0,1039,0
427,2,8,0,0,117,0
428,1,3,0,0,1244,0
429,4,18,0,0,415,0
430,1,3,0,0,578,0
431,1,3,0,0,1093,0
432,1,3,0,0,1127,0
433,3,8,0,0,832,0
434,4,11,0,0,820,0
435,1,9,0,0,9,0
436,1,3,0,0,420,0
437,1,3,0,0,3,0
438,2,8,0,0,193,0
439,1,3,0,0,1361,0
440,1,3,0,0,829,0
441,2,7,0,0,441,0
442,1,6,0,0,724,0
443,3,12,0,0,302,0
444,1,3,0,0,522,0
445,1,3,0,0,981,0
446,1,3,0,0,1814,0
447,1,3,0,0,1842,0
448,2,11,1,0,494,0
449,3,10,0,0,308,0
450,1,3,0,0,1030,0
451,12,58,0,0,337,2
452,3,11,0,0,815,0
453,1,3,0,0,1010,0
454,1,3,0,0,1010,0
455,1,3,0,0,1010,0
456,3,18,0,0,1008,0
457,1,3,0,0,1011,0
458,5,15,0,0,1008,0
459,1,3,0,0,644,0
460,2,21,0,0,1779,0
461,4,23,0,0,968,0
462,5,28,0,0,561,0
463,2,7,0,0,1008,0
464,1,4,0,0,5326,0
465,6,20,0,0,1008,0
466,1,3,0,0,4516,0
467,2,5,0,0,1332,0
468,1,3,0,0,965,0
469,1,3,0,0,965,0
470,1,3,0,0,965,0
471,1,3,0,0,965,0
472,1,4,0,0,936,0
473,1,3,0,0,965,0
474,1,3,0,0,965,0
475,1,3,0,0,965,0
476,2,8,0,0,3215,0
477,1,2,0,0,5925,0
478,1,12,0,0,3843,0
479,1,3,0,0,252,0
480,1,4,0,0,1903,0
481,3,5,0,0,1495,0
482,1,3,0,0,1228,0
483,1,3,0,0,436,0
484,1,3,0,0,252,0
485,1,3,0,0,3288,0
486,1,3,0,0,660,0
487,2,6,0,0,1586,0
488,1,3,0,0,2097,0
489,1,3,0,0,2132,0
490,6,30,0,0,154,1
491,1,3,0,0,122,0
492,1,6,0,0,154,0
493,1,3,0,0,204,0
494,1,3,0,0,169,0
495,1,4,0,0,169,0
496,1,3,0,0,786,0
497,2,6,0,0,1424,0
498,1,3,0,0,274,0
499,1,3,0,0,490,0
500,1,3,0,0,409,0
501,1,3,0,0,1816,0
502,1,3,0,0,4101,0
503,4,14,0,0,582,0
504,1,5,0,0,1535,0
505,2,5,0,0,1738,0
506,2,5,0,0,1507,0
507,1,2,0,0,2231,0
508,1,3,0,0,1444,0
509,1,4,0,0,1225,0
510,1,3,0,0,1693,0
511,3,11,0,0,224,0
512,2,3,0,0,771,0
513,2,9,0,0,131,0
514,1,3,0,0,3347,0
515,1,3,0,0,387,0
516,1,3,0,0,388,0
517,2,3,0,0,1738,0
518,1,3,0,0,1738,0
519,2,11,0,0,1039,0
520,1,3,0,0,1738,0
521,1,3,0,0,2710,0
522,1,2,0,0,1181,0
523,2,6,0,0,924,0
524,1,3,0,0,526,0
525,5,19,0,0,1084,1
526,1,3,0,0,3143,0
527,3,11,0,0,1864,1
528,3,8,0,0,1297,0
529,1,3,0,0,2294,0
530,1,3,0,0,1945,0
531,1,3,0,0,1419,0
532,2,14,0,0,793,0
533,1,3,0,0,660,0
534,3,7,0,0,54,0
535,2,10,0,0,516,0
536,1,3,0,0,1222,0
537,1,3,0,3,80,0
538,3,10,0,0,724,0
539,2,5,0,0,1517,0
540,1,3,0,0,229,0
541,1,3,0,0,60,0
542,3,11,0,0,1101,0
543,1,3,0,0,348,0
544,1,3,0,0,666,0
545,1,3,0,0,820,0
546,1,3,0,0,666,0
547,2,6,0,0,176,0
548,1,3,0,0,1319,0
549,1,3,0,0,1344,0
550,2,14,0,0,3347,0
551,1,3,0,0,2187,0
552,2,10,0,0,3047,0
553,3,10,0,0,143,0
554,1,3,0,0,286,0
555,3,11,0,0,540,0
556,2,6,0,0,1087,0
557,15,65,0,0,143,1
558,1,3,0,0,2201,0
559,2,5,0,0,1344,0
560,2,8,0,0,1064,0
561,2,32,0,0,3,0
562,1,7,1,0,632,0
563,1,3,0,0,912,0
564,2,5,0,0,2807,0
565,4,17,0,0,2626,0
566,3,21,0,0,35,1
567,2,6,0,0,632,0
568,20,100,0,0,2424,3
569,1,3,0,0,828,0
570,1,3,0,0,2622,0
571,12,42,0,0,3267,2
572,1,3,0,0,3518,0
573,1,4,0,0,1154,0
574,1,3,0,0,489,0
575,1,3,0,0,529,0
576,1,3,0,0,313,0
577,1,3,0,0,3471,0
578,1,3,0,0,2991,0
579,1,3,0,0,2539,0
580,1,3,0,0,1876,0
581,3,14,0,0,2215,0
582,10,38,0,0,2215,2
583,2,7,0,0,2463,0
584,1,3,0,0,4322,0
585,1,3,0,0,4603,0
586,2,7,0,0,4741,0
587,1,3,0,0,268,0
588,1,4,0,0,23,0
589,2,8,0,0,250,0
590,1,5,0,0,496,0
591,3,12,0,0,567,0
592,1,3,0,0,1044,0
593,1,3,0,0,38,0
594,4,10,0,0,3850,0
595,3,11,0,0,804,0
596,2,7,0,0,178,0
597,1,6,0,0,841,0
598,3,15,0,0,433,0
599,1,3,0,0,945,0
600,6,17,0,0,93,0
601,1,3,0,0,296,0
602,1,3,0,0,2162,0
603,3,9,0,0,1502,0
604,1,3,0,0,1455,0
605,2,7,0,0,648,0
606,2,8,0,0,1015,0
607,1,3,0,0,1440,0
608,1,3,0,0,1165,0
609,2,10,0,0,198,0
610,1,3,0,0,1588,0
611,1,3,0,0,782,0
612,1,3,0,0,190,0
613,1,3,0,0,904,0
614,1,3,0,0,201,0
615,1,3,0,0,1785,0
616,3,4,0,0,974,0
617,2,6,0,0,707,0
618,1,3,0,0,1393,0
619,8,23,0,0,2306,1
620,1,3,0,0,5438,0
621,1,3,0,0,1318,0
622,3,10,0,0,1324,0
623,1,3,0,0,876,0
624,1,3,0,0,1149,0
625,5,16,0,0,580,0
626,1,4,0,0,960,0
627,1,3,0,0,1155,0
628,2,10,0,0,580,0
629,2,6,0,0,997,0
630,1,3,0,0,960,0
631,1,3,0,0,3852,0
632,1,3,0,0,3985,0
633,1,3,0,0,1228,0
634,2,5,0,0,2781,0
635,1,38,0,0,1336,0
636,1,3,0,0,649,0
637,3,10,0,0,587,0
638,1,4,0,0,919,0
639,1,3,0,0,1660,0
640,1,6,0,0,1351,0
641,1,3,0,0,1878,0
642,1,4,0,0,436,0
643,1,3,0,0,1609,0
644,3,14,0,0,309,0
645,1,3,0,0,886,0
646,18,61,0,0,496,2
647,3,17,0,0,4,0
648,12,54,0,0,886,2
649,1,3,0,0,306,0
650,2,10,0,0,379,0
651,1,3,0,0,2737,0
652,4,18,0,0,2482,0
653,2,8,0,0,2026,0
654,2,5,0,0,1008,0
655,1,2,0,0,2103,0
656,1,3,0,0,1478,0
657,4,23,0,0,1858,1
658,1,3,0,0,103,0
659,1,3,0,0,143,0
660,1,3,0,0,895,0
661,1,3,0,0,1282,0
662,1,3,0,0,774,0
663,2,3,0,0,1082,0
664,2,7,0,0,3985,0
665,1,3,0,0,306,0
666,1,3,0,0,4900,0
667,2,6,0,0,1416,0
668,6,26,1,1,16,1
669,1,4,0,1,658,0
670,1,3,0,0,347,0
671,1,3,0,0,2394,0
672,1,3,0,0,1946,0
673,2,8,0,0,885,0
674,1,3,0,0,1222,0
675,2,6,0,0,161,0
676,1,3,0,0,567,0
677,1,3,0,0,1011,0
678,4,14,0,0,1262,0
679,1,3,0,0,1135,0
680,3,14,0,0,770,0
681,1,3,0,0,831,0
682,1,3,0,0,50,0
683,1,3,0,0,3387,0
684,2,3,0,0,2463,0
685,1,3,0,0,805,0
686,1,3,0,0,1008,0
687,1,5,0,0,268,0
688,1,3,0,0,1205,0
689,1,3,0,0,2089,0
690,1,3,0,0,1011,0
691,1,4,0,0,154,0
692,1,3,0,0,1424,0
693,7,37,0,0,3275,0
694,1,3,0,0,2829,0
695,10,31,0,0,305,1
696,1,3,0,0,2981,0
697,1,3,0,0,435,0
698,1,3,0,0,480,0
699,1,3,0,0,35,0
700,1,3,0,0,2523,0
701,3,10,0,0,3478,0
702,1,3,0,0,410,0
703,2,3,0,0,1105,0
704,5,15,0,0,728,0
705,3,24,0,0,580,0
706,1,3,0,0,983,0
707,4,12,0,0,407,0
708,1,3,0,0,3326,0
709,1,3,0,0,1040,0
710,1,9,3,0,948,0
711,1,3,0,0,840,0
712,17,68,0,0,3875,2
713,1,3,0,0,4129,0
714,1,3,0,0,2450,0
715,1,3,0,0,267,0
716,1,3,0,0,1010,0
717,1,3,0,0,1332,0
718,3,13,0,0,1638,0
719,2,9,0,0,416,0
720,4,18,0,0,187,0
721,1,3,0,0,5326,0
722,3,11,0,0,7,0
723,4,11,0,0,360,0
724,4,14,0,0,635,0
725,2,18,0,0,968,0
726,2,13,0,0,18,0
727,1,3,0,0,335,0
728,3,10,0,0,1882,0
729,4,13,0,0,2062,0
730,1,5,0,0,422,0
731,1,3,0,0,3062,0
732,1,12,0,0,1008,0
733,1,3,0,0,696,0
734,1,3,0,0,4129,0
735,1,3,0,0,877,0
736,1,5,0,0,7,0
737,1,5,0,0,1145,0
738,1,3,0,0,1506,0
739,1,3,0,0,350,0
740,1,3,0,0,261,0
741,1,5,0,0,4129,0
742,1,3,0,0,3595,0
743,3,12,0,0,123,0
744,1,3,0,0,3414,0
745,5,9,0,0,435,1
746,1,3,0,0,132,0
747,4,12,0,0,1135,0
748,1,3,0,0,5591,0
749,1,3,0,0,17,0
750,2,6,0,0,4240,0
751,1,2,0,0,72,0
752,2,6,0,0,4703,0
753,1,3,0,0,686,0
754,1,3,0,0,4239,0
755,1,3,0,0,1822,0
756,1,3,0,0,3913,0
757,1,3,0,0,35,0
758,1,3,0,0,1058,0
759,1,6,0,0,496,0
760,1,3,0,0,66,0
761,2,5,0,0,1363,0
762,2,5,0,0,2668,0
763,1,6,0,0,2947,0
764,1,3,0,0,639,0
765,1,4,0,0,582,0
766,1,6,0,0,189,0
767,2,13,0,0,1999,0
768,1,3,1,0,680,0
769,2,3,0,0,2194,0
770,1,3,0,0,1744,0
771,1,3,0,0,61,0
772,5,13,0,0,22,0
773,1,3,0,0,1047,0
774,3,14,0,0,3249,0
775,1,4,0,0,1620,0
776,1,5,0,0,2872,0
777,1,3,0,0,4912,0
778,4,11,0,0,1040,0
779,17,61,0,0,2393,3
780,1,3,0,0,3034,0
781,1,8,0,0,582,0
782,1,3,0,0,1825,0
783,1,3,0,0,426,0
784,1,3,0,0,3010,0
785,2,7,0,0,3359,0
786,2,6,0,0,4777,0
787,1,3,0,0,2741,0
788,1,3,0,0,580,0
789,1,3,0,0,70,0
790,1,3,0,0,3471,0
791,1,6,0,0,1687,0
792,1,3,0,0,267,0
793,4,20,0,0,1254,0
794,1,3,0,0,343,0
795,1,3,0,0,3524,0
796,1,3,0,0,2878,0
797,4,14,0,0,618,0
798,1,3,0,0,1833,0
799,1,3,0,0,965,0
800,1,3,0,0,376,0
801,1,3,0,0,1082,0
802,4,23,0,0,1007,0
803,2,4,0,0,1152,0
804,2,8,0,0,160,0
805,5,15,0,0,4475,0
806,1,24,0,0,2619,0
807,1,4,0,0,1138,0
808,3,10,0,1,323,0
809,1,7,0,0,45,0
810,2,6,0,0,1481,0
811,1,3,0,0,317,0
812,1,3,0,0,337,0
813,1,12,0,0,1010,0
814,13,37,0,0,661,1
815,1,3,0,0,1439,0
816,1,3,0,0,897,0
817,5,12,0,0,3189,0
818,12,46,0,0,1445,1
819,2,16,0,0,487,0
820,2,21,0,0,934,0
821,4,11,0,0,1314,0
822,1,3,0,0,1946,0
823,2,27,0,0,1685,0
824,1,3,0,0,1880,0
825,1,3,0,0,1302,0
826,6,53,0,0,559,2
827,1,3,0,0,40,0
828,3,11,0,0,2798,0
829,1,3,0,0,45,0
830,8,35,0,0,3451,1
831,10,33,0,0,806,2
832,1,3,0,0,1723,0
833,1,6,0,0,291,0
834,1,3,0,0,530,0
835,17,75,0,0,4630,3
836,5,17,0,0,2072,0
837,1,4,0,0,1193,0
838,1,5,0,0,23,0
839,1,3,0,0,1898,0
840,1,4,0,0,131,0
841,1,3,0,0,567,0
842,1,3,0,0,2064,0
843,8,37,0,0,1924,2
844,1,3,0,0,962,0
845,3,11,0,0,1047,0
846,1,3,0,0,251,0
847,1,3,0,0,1410,0
848,1,2,0,0,1904,0
849,9,37,0,0,1703,1
850,1,4,0,0,154,0
851,1,3,0,0,3455,0
852,3,9,0,0,2914,0
853,1,4,0,0,1344,0
854,1,9,0,0,2565,0
855,1,3,0,0,959,0
856,1,3,0,0,2510,0
857,1,3,0,0,557,0
858,1,3,0,0,35,0
859,1,4,1,0,53,0
860,1,3,0,0,142,0
861,3,7,0,0,556,0
862,1,3,0,0,929,0
863,1,3,0,0,2774,0
864,1,17,0,0,549,0
865,2,8,0,0,250,0
866,4,25,0,0,169,1
867,1,3,0,0,1151,0
868,12,50,0,0,462,2
869,1,3,0,0,4453,0
870,2,6,0,0,1135,0
871,3,8,0,0,35,0
872,1,3,0,0,111,0
873,2,3,0,0,130,0
874,1,3,0,0,968,0
875,3,19,0,0,509,1
876,2,7,0,0,252,0
877,1,3,0,0,3842,0
878,1,3,0,0,6607,0
879,3,28,1,0,45,2
880,1,3,0,0,771,0
881,4,14,0,0,2030,0
882,1,3,0,0,271,0
883,1,3,0,0,1524,0
884,1,3,0,0,993,0
885,1,3,0,0,2229,0
886,1,4,0,0,2703,0
887,1,3,0,0,1564,0
888,1,12,0,0,3843,0
889,3,11,0,0,1834,0
890,1,3,0,0,0,0
891,4,25,0,0,706,0
892,7,32,0,0,301,2
893,1,3,0,0,906,0
894,1,3,0,0,1115,0
895,5,14,0,0,277,0
896,1,3,0,0,306,0
897,2,7,0,0,1892,0
898,1,3,0,0,32,0
899,6,21,0,0,486,1
900,1,33,0,0,138,1
901,1,6,0,0,2129,0
902,1,3,0,0,268,0
903,1,3,0,0,1008,0
904,1,3,0,0,80,0
905,2,6,0,0,620,0
906,1,3,0,0,441,0
907,1,3,0,0,1438,0
908,3,10,0,0,1480,0
909,6,16,0,0,773,1
910,3,9,0,0,1082,0
911,2,6,0,0,504,0
912,3,18,0,0,2030,1
913,1,3,0,0,602,0
914,5,46,0,0,126,2
915,1,3,0,0,425,0
916,1,3,0,0,1588,0
917,8,30,0,0,2211,2
918,1,4,0,0,1100,0
919,6,27,0,0,1007,1
920,1,3,0,0,3717,0
921,1,4,0,0,795,0
922,1,3,0,0,129,0
923,1,3,0,0,2198,0
924,1,3,0,0,903,0
925,1,4,0,0,449,0
926,1,3,0,0,92,0
927,1,3,0,0,429,0
928,1,4,0,0,2743,0
929,1,3,0,0,238,0
930,1,3,0,0,154,0
931,1,3,0,0,1799,0
932,2,20,0,0,115,0
933,1,3,0,0,154,0
934,1,3,0,0,802,0
935,1,13,0,0,1082,0
936,1,4,0,0,348,0
937,1,3,0,0,913,0
938,4,14,0,0,758,0
939,2,9,0,0,787,0
940,5,13,0,0,2744,0
941,1,3,0,0,2180,0
942,2,7,0,0,624,0
943,1,3,0,0,4130,0
944,6,9,0,0,3261,0
945,4,17,0,0,1024,0
946,11,45,0,0,917,2
947,1,3,0,0,640,0
948,1,3,0,0,1194,0
949,1,3,0,0,1567,0
950,2,8,0,0,162,0
951,3,12,0,0,431,0
952,5,25,0,0,586,0
953,1,4,0,0,1322,0
954,1,2,0,0,119,0
955,1,3,0,0,404,0
