id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,CodeChurn,NumberOfRevisions,MeanAuthorCommits,MaxNumberOfModifiedLines,Severity
325,1,4,0,0,5,5,1,270.0,5,0
326,1,3,0,0,4,4,2,118.5,4,0
327,2,11,0,0,12,12,1,3.0,12,0
328,1,5,0,0,6,6,1,30.0,6,0
329,1,3,0,0,4,4,1,3.0,4,0
330,1,3,0,0,6,4,2,36.0,6,0
331,2,11,0,0,16,16,1,6.0,16,0
332,1,5,0,0,6,6,1,1.0,6,0
333,1,3,0,0,4,4,1,1.0,4,0
334,1,5,0,0,6,6,1,8.0,6,0
335,1,3,0,0,4,4,1,1.0,4,0
336,1,5,0,0,6,6,1,36.0,6,0
337,1,5,0,0,6,6,1,30.0,6,0
338,2,6,0,0,5,7,2,1456.0,6,0
339,4,19,0,0,34,25,3,6.666666666666667,34,0
340,5,32,0,0,79,84,2,36.0,79,2
341,1,3,0,0,4,4,1,2.0,4,0
342,1,3,0,0,4,4,2,938.5,4,0
343,1,4,0,0,6,6,2,732.0,6,0
344,1,4,0,0,5,5,1,1241.0,5,0
345,1,3,0,0,4,4,1,1241.0,4,0
346,2,6,0,0,4,7,5,1054.0,5,0
347,4,19,0,0,23,22,2,747.0,23,0
348,1,3,0,0,4,5,6,690.5,4,0
349,2,15,0,0,17,17,1,747.0,17,1
350,1,3,0,0,4,4,1,3136.0,4,0
351,2,11,0,0,12,12,3,1798.5,12,0
352,1,3,0,0,4,4,1,181.0,4,0
353,1,3,0,0,4,4,1,628.0,4,0
354,2,7,0,0,8,8,2,87.0,12,0
355,1,6,0,0,7,7,1,89.0,7,0
356,1,4,0,0,5,5,1,89.0,5,0
357,1,5,0,0,6,6,1,89.0,6,0
358,2,7,0,0,13,12,2,7.0,13,0
359,5,32,0,0,80,80,1,3.0,80,2
360,1,3,0,0,4,4,1,28.0,4,0
361,1,3,0,0,4,4,1,28.0,4,0
362,1,3,0,0,4,4,1,28.0,4,0
363,1,3,0,0,4,4,1,28.0,4,0
364,1,3,0,0,4,4,1,25.0,4,0
365,1,3,0,0,4,4,1,28.0,4,0
366,1,3,0,0,4,4,2,8443.0,4,0
367,10,35,0,0,36,36,1,28.0,36,2
368,1,10,0,0,13,13,1,28.0,13,0
369,1,3,1,0,4,4,1,73.0,4,0
370,5,17,0,0,19,19,1,1035.0,19,0
371,1,3,0,0,2,2,1,97.0,2,0
372,1,3,0,0,4,4,1,797.0,4,0
373,2,6,0,0,7,7,1,61.0,7,0
374,1,3,0,0,4,4,1,97.0,4,0
375,4,12,0,0,16,16,1,127.0,16,0
376,1,3,0,0,4,4,1,33.0,4,0
377,1,3,0,0,4,4,1,97.0,4,0
378,1,3,0,0,4,4,1,57.0,4,0
379,1,6,0,0,7,7,1,856.0,7,0
380,1,3,0,0,4,4,1,729.0,4,0
381,1,3,0,0,4,4,3,458.5,4,0
382,1,4,1,1,10,9,3,1118.0,11,0
383,1,3,0,0,4,4,1,442.0,4,0
384,1,3,0,0,4,4,1,722.0,4,0
385,4,17,0,0,18,18,1,856.0,18,0
386,4,17,0,0,18,18,1,118.0,18,0
387,2,6,0,0,7,7,1,1466.0,7,0
388,1,3,0,0,4,4,1,747.0,4,0
389,1,7,0,0,8,8,2,113.0,8,0
390,2,7,0,0,8,8,2,2812.0,8,0
391,1,3,0,0,4,4,1,4917.0,4,0
392,1,3,0,0,8,4,2,4917.0,8,0
393,1,4,0,0,5,5,1,4917.0,5,0
394,1,12,0,0,16,16,1,161.0,16,0
395,1,3,0,0,4,4,1,737.0,4,0
396,1,4,0,0,5,5,1,2150.0,5,0
397,1,2,0,0,3,3,1,130.0,3,0
398,1,3,0,0,4,4,1,4917.0,4,0
399,2,11,0,0,12,12,1,312.0,12,0
400,1,5,1,0,6,6,1,111.0,6,0
401,1,3,0,0,4,4,1,319.0,4,0
402,6,21,0,0,22,22,1,132.0,22,0
403,1,5,1,0,6,6,1,111.0,6,0
404,1,4,0,0,5,5,1,52.0,5,0
405,1,3,0,0,5,5,1,228.0,5,0
406,4,16,0,0,17,17,1,5.0,17,0
407,2,9,0,0,11,11,1,4354.0,11,0
408,1,3,0,0,4,4,4,265.3333333333333,4,0
409,26,73,0,0,106,113,7,9140.0,106,2
410,1,3,0,0,4,4,1,9140.0,4,0
411,1,6,0,0,7,7,1,122.0,7,0
412,1,3,0,0,4,4,1,2674.0,4,0
413,4,12,0,0,13,13,1,2674.0,13,0
414,1,3,0,0,4,4,1,2674.0,4,0
415,1,5,0,0,7,7,1,52.0,7,0
416,1,9,0,0,10,10,1,2674.0,10,0
417,2,3,0,0,5,5,2,817.0,5,0
418,1,3,0,0,4,4,1,9.0,4,0
419,1,5,0,0,6,6,1,1944.0,6,0
420,2,7,0,0,8,8,1,888.0,8,0
421,1,5,0,0,6,6,3,77.0,6,0
422,1,3,0,0,4,4,1,206.0,4,0
423,1,11,0,0,12,12,1,206.0,12,0
424,1,3,0,0,4,4,1,42.0,4,0
425,1,4,0,0,6,6,1,191.0,6,0
426,1,3,0,0,4,4,1,3323.0,4,0
427,2,8,0,0,10,10,7,3323.0,10,0
428,1,3,0,0,4,4,1,227.0,4,0
429,4,18,0,0,19,19,1,146.0,19,0
430,1,3,0,0,4,4,1,3257.0,4,0
431,1,3,0,0,4,4,1,1340.0,4,0
432,1,3,0,0,4,4,2,3323.0,4,0
433,3,8,0,0,9,9,1,3323.0,9,0
434,4,11,0,0,13,13,2,9140.0,13,0
435,1,9,0,0,16,16,1,122.0,16,0
436,1,3,0,0,4,4,1,964.0,4,0
437,1,3,0,0,4,4,1,964.0,4,0
438,2,8,0,0,9,9,3,582.0,9,0
439,1,3,0,0,4,4,1,433.0,4,0
440,1,3,0,0,4,4,1,119.0,4,0
441,2,7,0,0,8,8,1,780.0,8,0
442,1,6,0,0,7,7,1,180.0,7,0
443,3,12,0,0,13,13,2,653.0,13,0
444,1,3,0,0,4,4,1,506.0,4,0
445,1,3,0,0,4,4,1,9.0,4,0
446,1,3,0,0,4,4,1,507.0,4,0
447,1,3,0,0,4,4,1,573.0,4,0
448,2,11,1,0,14,14,1,1340.0,14,0
449,3,10,0,0,23,13,6,429.6666666666667,23,0
450,1,3,0,0,4,4,1,276.0,4,0
451,12,58,0,0,38,50,13,448.0,38,2
452,3,11,0,0,13,13,3,1729.0,13,0
453,1,3,0,0,2,2,1,107.0,2,0
454,1,3,0,0,2,2,1,107.0,2,0
455,1,3,0,0,4,4,1,107.0,4,0
456,3,18,0,0,23,23,1,31.0,23,0
457,1,3,0,0,4,4,1,216.0,4,0
458,5,15,0,0,16,16,1,161.0,16,0
459,1,3,0,0,4,4,1,3444.0,4,0
460,2,21,0,0,19,19,1,455.0,19,0
461,4,23,0,0,27,27,2,107.0,27,0
462,5,28,0,0,37,37,1,741.0,37,0
463,2,7,0,0,8,8,1,161.0,8,0
464,1,4,0,0,6,6,1,2598.0,6,0
465,6,20,0,0,21,21,1,161.0,21,0
466,1,3,0,0,4,4,2,1425.0,4,0
467,2,5,0,0,6,6,1,14.0,6,0
468,1,3,0,0,4,4,1,80.0,4,0
469,1,3,0,0,4,4,1,80.0,4,0
470,1,3,0,0,4,4,1,80.0,4,0
471,1,3,0,0,4,4,1,80.0,4,0
472,1,4,0,0,5,5,1,76.0,5,0
473,1,3,0,0,4,4,1,80.0,4,0
474,1,3,0,0,4,4,1,80.0,4,0
475,1,3,0,0,4,4,1,80.0,4,0
476,2,8,0,0,8,9,2,4892.0,9,0
477,1,2,0,0,3,3,1,918.0,3,0
478,1,12,0,0,13,13,1,4892.0,13,0
479,1,3,0,0,4,4,2,4051.5,4,0
480,1,4,0,0,5,5,1,400.0,5,0
481,3,5,0,0,6,8,2,2.5,6,0
482,1,3,0,0,4,4,1,17014.0,4,0
483,1,3,0,0,4,4,1,15098.0,4,0
484,1,3,0,0,4,4,2,4051.5,4,0
485,1,3,0,0,4,4,1,17014.0,4,0
486,1,3,0,0,4,4,1,200.0,4,0
487,2,6,0,0,7,7,1,44.0,7,0
488,1,3,0,0,4,4,1,257.0,4,0
489,1,3,0,0,4,4,2,17014.0,4,0
490,6,30,0,0,36,36,1,967.0,36,1
491,1,3,0,0,4,4,1,967.0,4,0
492,1,6,0,0,7,7,1,967.0,7,0
493,1,3,0,0,12,14,2,185.0,12,0
494,1,3,0,0,4,4,1,130.0,4,0
495,1,4,0,0,5,5,1,130.0,5,0
496,1,3,0,0,4,4,1,185.0,4,0
497,2,6,0,0,14,10,2,121.0,16,0
498,1,3,0,0,5,5,1,659.0,5,0
499,1,3,0,0,4,4,1,2853.0,4,0
500,1,3,0,0,4,4,1,2853.0,4,0
501,1,3,0,0,4,4,1,429.0,4,0
502,1,3,0,0,4,4,3,1263.0,4,0
503,4,14,0,0,31,19,8,500.0,31,0
504,1,5,0,0,5,6,2,1248.0,5,0
505,2,5,0,0,6,6,1,1873.0,6,0
506,2,5,0,0,7,7,1,1873.0,7,0
507,1,2,0,0,4,4,1,703.0,4,0
508,1,3,0,0,4,4,1,1065.0,4,0
509,1,4,0,0,5,5,1,257.0,5,0
510,1,3,0,0,4,4,1,257.0,4,0
511,3,11,0,0,13,13,3,1066.3333333333333,13,0
512,2,3,0,0,4,4,1,1873.0,4,0
513,2,9,0,0,13,13,3,141.33333333333334,13,0
514,1,3,0,0,4,4,1,1876.0,4,0
515,1,3,0,0,4,4,1,391.0,4,0
516,1,3,0,0,4,4,1,391.0,4,0
517,2,3,0,0,4,4,1,1873.0,4,0
518,1,3,0,0,4,4,1,1873.0,4,0
519,2,11,0,0,12,12,1,8.0,12,0
520,1,3,0,0,4,4,1,1873.0,4,0
521,1,3,0,0,5,4,3,843.5,5,0
522,1,2,0,0,3,3,1,22.0,3,0
523,2,6,0,0,7,7,1,2671.0,7,0
524,1,3,0,0,4,4,1,9.0,4,0
525,5,19,0,0,22,22,1,15.0,22,1
526,1,3,0,0,4,4,1,66.0,4,0
527,3,11,0,0,11,13,2,178.0,12,1
528,3,8,0,0,23,9,7,192.0,23,0
529,1,3,0,0,4,4,2,456.5,4,0
530,1,3,0,0,4,4,2,238.5,4,0
531,1,3,0,0,4,4,1,139.0,4,0
532,2,14,0,0,15,15,2,488.0,15,0
533,1,3,0,0,4,4,1,1300.0,4,0
534,3,7,0,0,8,8,2,1251.0,8,0
535,2,10,0,0,11,11,1,2.0,11,0
536,1,3,0,0,4,4,1,1300.0,4,0
537,1,3,0,3,5,5,1,1202.0,5,0
538,3,10,0,0,11,11,11,696.6666666666666,11,0
539,2,5,0,0,6,6,1,576.0,6,0
540,1,3,0,0,4,4,1,231.0,4,0
541,1,3,0,0,3,4,2,747.0,3,0
542,3,11,0,0,17,17,1,1711.0,17,0
543,1,3,0,0,4,4,1,473.0,4,0
544,1,3,0,0,4,4,1,808.0,4,0
545,1,3,0,0,8,8,1,292.0,8,0
546,1,3,0,0,4,4,1,808.0,4,0
547,2,6,0,0,7,8,2,154.5,7,0
548,1,3,0,0,4,4,1,1097.0,4,0
549,1,3,0,0,4,4,1,91.0,4,0
550,2,14,0,0,15,15,2,374.0,18,0
551,1,3,0,0,5,5,1,1974.0,5,0
552,2,10,0,0,19,14,5,576.0,19,0
553,3,10,0,0,9,11,2,1097.0,9,0
554,1,3,0,0,6,6,1,96.0,6,0
555,3,11,0,0,12,13,3,452.0,12,0
556,2,6,0,0,7,7,1,18.0,7,0
557,15,65,0,0,51,58,4,1097.0,51,1
558,1,3,0,0,4,4,1,1974.0,4,0
559,2,5,0,0,8,8,1,91.0,8,0
560,2,8,0,0,9,9,1,142.0,9,0
561,2,32,0,0,33,33,1,962.0,33,0
