id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,Severity
119,3,20,0,0,0
120,2,7,0,0,0
121,1,5,0,0,0
122,4,23,0,0,0
123,1,5,0,0,0
124,1,5,0,0,0
125,1,4,0,0,0
126,4,15,0,0,0
127,3,16,0,1,0
128,2,8,0,0,0
129,1,41,0,0,0
130,2,6,0,0,0
131,1,13,0,0,0
132,6,24,0,0,1
133,1,5,0,0,0
134,1,8,0,0,0
135,1,3,0,0,0
136,1,7,0,0,0
137,1,6,0,0,0
138,1,6,0,0,0
139,8,42,0,0,1
140,7,36,0,0,1
141,1,5,0,0,0
142,1,5,0,0,0
143,1,5,0,0,0
144,2,6,0,0,0
145,2,6,0,0,0
146,6,19,0,0,0
147,1,6,0,0,0
148,1,7,0,0,0
149,1,5,0,0,0
150,1,5,0,0,0
151,1,8,0,0,0
152,1,7,0,0,0
153,1,5,0,0,0
154,1,4,2,0,0
155,2,9,0,0,0
156,2,12,0,0,0
157,1,6,0,0,0
158,1,5,0,0,0
159,1,7,0,0,0
160,1,7,0,0,0
161,1,4,0,0,0
162,1,5,0,0,0
163,1,3,0,0,0
164,2,12,0,0,0
165,1,7,0,0,0
166,1,7,0,0,0
167,1,5,0,0,0
168,1,4,0,0,0
169,1,5,0,0,0
170,1,8,0,0,0
171,6,32,0,0,1
172,1,5,0,0,0
173,1,7,0,0,0
174,1,5,0,0,0
175,1,5,0,0,0
176,1,4,0,0,0
177,2,9,0,0,0
178,1,4,0,0,0
179,2,5,0,0,0
180,4,17,0,0,0
181,2,5,0,0,0
182,4,30,0,0,1
183,2,7,0,0,0
184,2,19,0,0,1
185,1,8,0,0,0
186,1,5,0,0,0
187,1,4,0,0,0
188,1,5,0,0,0
189,2,11,0,0,0
190,10,52,0,0,2
191,1,12,0,0,0
192,1,4,0,0,0
193,1,7,0,0,0
194,2,5,0,0,0
195,1,7,0,0,0
196,3,22,0,0,1
197,1,79,0,0,3
198,1,5,0,0,0
199,3,15,0,0,0
200,1,12,0,0,0
201,1,10,0,0,0
202,1,5,0,0,0
203,2,8,0,0,0
204,1,5,0,0,0
205,2,12,0,0,0
206,1,3,0,0,0
207,1,3,0,0,0
208,1,10,0,0,0
209,1,3,0,0,0
210,1,3,0,0,0
211,1,3,0,0,0
212,2,10,0,0,0
213,1,3,0,0,0
214,9,37,0,0,1
215,4,15,0,0,0
216,10,27,0,0,0
217,2,6,0,0,0
218,2,9,0,0,0
219,2,9,0,0,0
220,1,4,0,0,0
221,1,3,0,0,0
222,1,3,0,0,0
223,1,4,0,0,0
224,2,3,0,0,0
225,6,27,0,0,0
226,2,6,0,0,0
227,1,3,0,0,0
228,1,3,0,0,0
229,1,3,0,0,0
230,2,8,0,0,0
231,1,3,0,0,0
232,1,3,0,0,0
233,3,10,0,0,0
234,1,3,0,0,0
235,3,10,0,0,0
236,1,3,0,0,1
237,1,3,0,0,0
238,3,10,0,0,0
239,1,9,0,0,0
240,1,3,0,0,0
241,1,3,0,0,0
242,3,20,0,0,0
243,5,28,0,0,1
244,1,3,0,0,0
245,2,12,0,0,0
246,1,3,0,0,0
247,1,3,0,0,0
248,1,3,0,0,0
249,1,3,0,0,0
250,5,21,0,0,1
251,1,3,0,0,0
252,1,3,0,0,0
253,1,3,0,0,0
254,4,14,0,0,0
255,1,5,0,0,0
256,3,8,0,0,0
257,1,3,0,0,0
258,2,3,0,0,0
259,8,13,0,0,0
260,2,10,0,0,0
261,1,4,0,0,0
262,1,3,0,0,0
263,1,3,0,0,0
264,13,73,0,0,2
265,4,15,0,0,0
266,4,17,0,0,1
267,2,5,0,0,0
268,1,3,0,0,0
269,1,3,0,0,0
270,4,17,0,0,0
271,5,20,0,0,1
272,1,3,0,0,0
273,1,3,0,0,0
274,1,3,0,0,0
275,3,10,0,0,0
276,1,6,0,0,0
277,1,4,0,0,0
278,3,7,0,0,0
279,1,3,0,0,0
280,1,3,0,0,0
281,1,12,0,0,0
282,10,41,0,0,0
283,1,3,0,0,0
284,1,3,0,0,0
285,2,8,0,0,0
286,1,3,0,0,0
287,1,3,0,0,0
288,3,10,0,0,0
289,1,3,0,0,0
290,1,3,0,0,0
291,1,3,0,0,0
292,1,3,0,0,0
293,1,3,0,0,0
294,1,3,0,0,0
295,1,3,0,0,0
296,1,3,0,0,0
297,1,4,0,0,0
298,2,7,0,0,0
299,4,12,0,0,0
300,3,13,0,0,0
301,2,5,0,0,0
302,1,3,0,0,0
303,1,3,0,0,0
304,2,3,0,0,0
305,5,24,0,0,0
306,1,4,0,0,0
307,1,5,0,0,0
308,5,17,0,0,0
309,1,4,0,0,0
310,2,8,0,0,0
311,1,3,0,0,0
312,1,4,0,0,0
313,1,3,0,0,0
314,2,8,0,0,0
315,1,3,0,0,0
316,1,3,0,0,0
317,1,3,0,0,0
318,1,3,0,0,0
319,1,3,0,0,0
320,1,3,0,0,0
321,1,3,0,0,0
322,2,6,0,0,0
323,6,32,0,0,1
324,1,3,0,0,0
325,1,4,0,0,0
326,1,3,0,0,0
327,2,11,0,0,0
328,1,5,0,0,0
329,1,3,0,0,0
330,1,3,0,0,0
331,2,11,0,0,0
332,1,5,0,0,0
333,1,3,0,0,0
334,1,5,0,0,0
335,1,3,0,0,0
336,1,5,0,0,0
337,1,5,0,0,0
338,2,6,0,0,0
339,4,19,0,0,0
340,5,32,0,0,2
341,1,3,0,0,0
342,1,3,0,0,0
343,1,4,0,0,0
344,1,4,0,0,0
345,1,3,0,0,0
346,2,6,0,0,0
347,4,19,0,0,0
348,1,3,0,0,0
349,2,15,0,0,1
350,1,3,0,0,0
351,2,11,0,0,0
352,1,3,0,0,0
353,1,3,0,0,0
354,2,7,0,0,0
355,1,6,0,0,0
356,1,4,0,0,0
357,1,5,0,0,0
358,2,7,0,0,0
359,5,32,0,0,2
360,1,3,0,0,0
361,1,3,0,0,0
362,1,3,0,0,0
363,1,3,0,0,0
364,1,3,0,0,0
365,1,3,0,0,0
366,1,3,0,0,0
367,10,35,0,0,2
368,1,10,0,0,0
369,1,3,1,0,0
370,5,17,0,0,0
371,1,3,0,0,0
372,1,3,0,0,0
373,2,6,0,0,0
374,1,3,0,0,0
375,4,12,0,0,0
376,1,3,0,0,0
377,1,3,0,0,0
378,1,3,0,0,0
379,1,6,0,0,0
380,1,3,0,0,0
381,1,3,0,0,0
382,1,4,1,1,0
383,1,3,0,0,0
384,1,3,0,0,0
385,4,17,0,0,0
386,4,17,0,0,0
387,2,6,0,0,0
388,1,3,0,0,0
389,1,7,0,0,0
390,2,7,0,0,0
391,1,3,0,0,0
392,1,3,0,0,0
393,1,4,0,0,0
394,1,12,0,0,0
395,1,3,0,0,0
396,1,4,0,0,0
397,1,2,0,0,0
398,1,3,0,0,0
399,2,11,0,0,0
400,1,5,1,0,0
401,1,3,0,0,0
402,6,21,0,0,0
403,1,5,1,0,0
404,1,4,0,0,0
405,1,3,0,0,0
406,4,16,0,0,0
407,2,9,0,0,0
408,1,3,0,0,0
409,26,73,0,0,2
410,1,3,0,0,0
411,1,6,0,0,0
412,1,3,0,0,0
413,4,12,0,0,0
414,1,3,0,0,0
415,1,5,0,0,0
416,1,9,0,0,0
417,2,3,0,0,0
418,1,3,0,0,0
419,1,5,0,0,0
420,2,7,0,0,0
421,1,5,0,0,0
422,1,3,0,0,0
423,1,11,0,0,0
424,1,3,0,0,0
425,1,4,0,0,0
426,1,3,0,0,0
427,2,8,0,0,0
428,1,3,0,0,0
429,4,18,0,0,0
430,1,3,0,0,0
431,1,3,0,0,0
432,1,3,0,0,0
433,3,8,0,0,0
434,4,11,0,0,0
435,1,9,0,0,0
436,1,3,0,0,0
437,1,3,0,0,0
438,2,8,0,0,0
439,1,3,0,0,0
440,1,3,0,0,0
441,2,7,0,0,0
442,1,6,0,0,0
443,3,12,0,0,0
444,1,3,0,0,0
445,1,3,0,0,0
446,1,3,0,0,0
447,1,3,0,0,0
448,2,11,1,0,0
449,3,10,0,0,0
450,1,3,0,0,0
451,12,58,0,0,2
452,3,11,0,0,0
453,1,3,0,0,0
454,1,3,0,0,0
455,1,3,0,0,0
456,3,18,0,0,0
457,1,3,0,0,0
458,5,15,0,0,0
459,1,3,0,0,0
460,2,21,0,0,0
461,4,23,0,0,0
462,5,28,0,0,0
463,2,7,0,0,0
464,1,4,0,0,0
465,6,20,0,0,0
466,1,3,0,0,0
467,2,5,0,0,0
468,1,3,0,0,0
469,1,3,0,0,0
470,1,3,0,0,0
471,1,3,0,0,0
472,1,4,0,0,0
473,1,3,0,0,0
474,1,3,0,0,0
475,1,3,0,0,0
476,2,8,0,0,0
477,1,2,0,0,0
478,1,12,0,0,0
479,1,3,0,0,0
480,1,4,0,0,0
481,3,5,0,0,0
482,1,3,0,0,0
483,1,3,0,0,0
484,1,3,0,0,0
485,1,3,0,0,0
486,1,3,0,0,0
487,2,6,0,0,0
488,1,3,0,0,0
489,1,3,0,0,0
490,6,30,0,0,1
491,1,3,0,0,0
492,1,6,0,0,0
493,1,3,0,0,0
494,1,3,0,0,0
495,1,4,0,0,0
496,1,3,0,0,0
497,2,6,0,0,0
498,1,3,0,0,0
499,1,3,0,0,0
500,1,3,0,0,0
501,1,3,0,0,0
502,1,3,0,0,0
503,4,14,0,0,0
504,1,5,0,0,0
505,2,5,0,0,0
506,2,5,0,0,0
507,1,2,0,0,0
508,1,3,0,0,0
509,1,4,0,0,0
510,1,3,0,0,0
511,3,11,0,0,0
512,2,3,0,0,0
513,2,9,0,0,0
514,1,3,0,0,0
515,1,3,0,0,0
516,1,3,0,0,0
517,2,3,0,0,0
518,1,3,0,0,0
519,2,11,0,0,0
520,1,3,0,0,0
521,1,3,0,0,0
522,1,2,0,0,0
523,2,6,0,0,0
524,1,3,0,0,0
525,5,19,0,0,1
526,1,3,0,0,0
527,3,11,0,0,1
528,3,8,0,0,0
529,1,3,0,0,0
530,1,3,0,0,0
531,1,3,0,0,0
532,2,14,0,0,0
533,1,3,0,0,0
534,3,7,0,0,0
535,2,10,0,0,0
536,1,3,0,0,0
537,1,3,0,3,0
538,3,10,0,0,0
539,2,5,0,0,0
540,1,3,0,0,0
541,1,3,0,0,0
542,3,11,0,0,0
543,1,3,0,0,0
544,1,3,0,0,0
545,1,3,0,0,0
546,1,3,0,0,0
547,2,6,0,0,0
548,1,3,0,0,0
549,1,3,0,0,0
550,2,14,0,0,0
551,1,3,0,0,0
552,2,10,0,0,0
553,3,10,0,0,0
554,1,3,0,0,0
555,3,11,0,0,0
556,2,6,0,0,0
557,15,65,0,0,1
558,1,3,0,0,0
559,2,5,0,0,0
560,2,8,0,0,0
561,2,32,0,0,0
562,1,7,1,0,0
563,1,3,0,0,0
564,2,5,0,0,0
565,4,17,0,0,0
566,3,21,0,0,1
567,2,6,0,0,0
568,20,100,0,0,3
569,1,3,0,0,0
570,1,3,0,0,0
571,12,42,0,0,2
572,1,3,0,0,0
573,1,4,0,0,0
574,1,3,0,0,0
575,1,3,0,0,0
576,1,3,0,0,0
577,1,3,0,0,0
578,1,3,0,0,0
579,1,3,0,0,0
580,1,3,0,0,0
581,3,14,0,0,0
582,10,38,0,0,2
583,2,7,0,0,0
584,1,3,0,0,0
585,1,3,0,0,0
586,2,7,0,0,0
587,1,3,0,0,0
588,1,4,0,0,0
589,2,8,0,0,0
590,1,5,0,0,0
591,3,12,0,0,0
592,1,3,0,0,0
593,1,3,0,0,0
594,4,10,0,0,0
595,3,11,0,0,0
596,2,7,0,0,0
597,1,6,0,0,0
598,3,15,0,0,0
599,1,3,0,0,0
600,6,17,0,0,0
601,1,3,0,0,0
602,1,3,0,0,0
603,3,9,0,0,0
604,1,3,0,0,0
605,2,7,0,0,0
606,2,8,0,0,0
607,1,3,0,0,0
608,1,3,0,0,0
609,2,10,0,0,0
610,1,3,0,0,0
611,1,3,0,0,0
612,1,3,0,0,0
613,1,3,0,0,0
614,1,3,0,0,0
615,1,3,0,0,0
616,3,4,0,0,0
617,2,6,0,0,0
618,1,3,0,0,0
619,8,23,0,0,1
620,1,3,0,0,0
621,1,3,0,0,0
622,3,10,0,0,0
623,1,3,0,0,0
624,1,3,0,0,0
625,5,16,0,0,0
626,1,4,0,0,0
627,1,3,0,0,0
628,2,10,0,0,0
629,2,6,0,0,0
630,1,3,0,0,0
631,1,3,0,0,0
632,1,3,0,0,0
633,1,3,0,0,0
634,2,5,0,0,0
635,1,38,0,0,0
636,1,3,0,0,0
637,3,10,0,0,0
638,1,4,0,0,0
639,1,3,0,0,0
640,1,6,0,0,0
641,1,3,0,0,0
642,1,4,0,0,0
643,1,3,0,0,0
644,3,14,0,0,0
645,1,3,0,0,0
646,18,61,0,0,2
647,3,17,0,0,0
648,12,54,0,0,2
649,1,3,0,0,0
650,2,10,0,0,0
651,1,3,0,0,0
652,4,18,0,0,0
653,2,8,0,0,0
654,2,5,0,0,0
655,1,2,0,0,0
656,1,3,0,0,0
657,4,23,0,0,1
658,1,3,0,0,0
659,1,3,0,0,0
660,1,3,0,0,0
661,1,3,0,0,0
662,1,3,0,0,0
663,2,3,0,0,0
664,2,7,0,0,0
665,1,3,0,0,0
666,1,3,0,0,0
667,2,6,0,0,0
668,6,26,1,1,1
669,1,4,0,1,0
670,1,3,0,0,0
671,1,3,0,0,0
672,1,3,0,0,0
673,2,8,0,0,0
674,1,3,0,0,0
675,2,6,0,0,0
676,1,3,0,0,0
677,1,3,0,0,0
678,4,14,0,0,0
679,1,3,0,0,0
680,3,14,0,0,0
681,1,3,0,0,0
682,1,3,0,0,0
683,1,3,0,0,0
684,2,3,0,0,0
685,1,3,0,0,0
686,1,3,0,0,0
687,1,5,0,0,0
688,1,3,0,0,0
689,1,3,0,0,0
690,1,3,0,0,0
691,1,4,0,0,0
692,1,3,0,0,0
693,7,37,0,0,0
694,1,3,0,0,0
695,10,31,0,0,1
696,1,3,0,0,0
697,1,3,0,0,0
698,1,3,0,0,0
699,1,3,0,0,0
700,1,3,0,0,0
701,3,10,0,0,0
702,1,3,0,0,0
703,2,3,0,0,0
704,5,15,0,0,0
705,3,24,0,0,0
706,1,3,0,0,0
707,4,12,0,0,0
708,1,3,0,0,0
709,1,3,0,0,0
710,1,9,3,0,0
711,1,3,0,0,0
712,17,68,0,0,2
713,1,3,0,0,0
714,1,3,0,0,0
715,1,3,0,0,0
716,1,3,0,0,0
717,1,3,0,0,0
718,3,13,0,0,0
719,2,9,0,0,0
720,4,18,0,0,0
721,1,3,0,0,0
722,3,11,0,0,0
723,4,11,0,0,0
724,4,14,0,0,0
725,2,18,0,0,0
726,2,13,0,0,0
727,1,3,0,0,0
728,3,10,0,0,0
729,4,13,0,0,0
730,1,5,0,0,0
731,1,3,0,0,0
732,1,12,0,0,0
733,1,3,0,0,0
734,1,3,0,0,0
735,1,3,0,0,0
736,1,5,0,0,0
737,1,5,0,0,0
738,1,3,0,0,0
739,1,3,0,0,0
740,1,3,0,0,0
741,1,5,0,0,0
742,1,3,0,0,0
743,3,12,0,0,0
744,1,3,0,0,0
745,5,9,0,0,1
746,1,3,0,0,0
747,4,12,0,0,0
748,1,3,0,0,0
749,1,3,0,0,0
750,2,6,0,0,0
751,1,2,0,0,0
752,2,6,0,0,0
753,1,3,0,0,0
754,1,3,0,0,0
755,1,3,0,0,0
756,1,3,0,0,0
757,1,3,0,0,0
758,1,3,0,0,0
759,1,6,0,0,0
760,1,3,0,0,0
761,2,5,0,0,0
762,2,5,0,0,0
763,1,6,0,0,0
764,1,3,0,0,0
765,1,4,0,0,0
766,1,6,0,0,0
767,2,13,0,0,0
768,1,3,1,0,0
769,2,3,0,0,0
770,1,3,0,0,0
771,1,3,0,0,0
772,5,13,0,0,0
773,1,3,0,0,0
774,3,14,0,0,0
775,1,4,0,0,0
776,1,5,0,0,0
777,1,3,0,0,0
778,4,11,0,0,0
779,17,61,0,0,3
780,1,3,0,0,0
781,1,8,0,0,0
782,1,3,0,0,0
783,1,3,0,0,0
784,1,3,0,0,0
785,2,7,0,0,0
786,2,6,0,0,0
787,1,3,0,0,0
788,1,3,0,0,0
789,1,3,0,0,0
790,1,3,0,0,0
791,1,6,0,0,0
792,1,3,0,0,0
793,4,20,0,0,0
794,1,3,0,0,0
795,1,3,0,0,0
796,1,3,0,0,0
797,4,14,0,0,0
798,1,3,0,0,0
799,1,3,0,0,0
800,1,3,0,0,0
801,1,3,0,0,0
802,4,23,0,0,0
803,2,4,0,0,0
804,2,8,0,0,0
805,5,15,0,0,0
806,1,24,0,0,0
807,1,4,0,0,0
808,3,10,0,1,0
809,1,7,0,0,0
810,2,6,0,0,0
811,1,3,0,0,0
812,1,3,0,0,0
813,1,12,0,0,0
814,13,37,0,0,1
815,1,3,0,0,0
816,1,3,0,0,0
817,5,12,0,0,0
818,12,46,0,0,1
819,2,16,0,0,0
820,2,21,0,0,0
821,4,11,0,0,0
822,1,3,0,0,0
823,2,27,0,0,0
824,1,3,0,0,0
825,1,3,0,0,0
826,6,53,0,0,2
827,1,3,0,0,0
828,3,11,0,0,0
829,1,3,0,0,0
830,8,35,0,0,1
831,10,33,0,0,2
832,1,3,0,0,0
833,1,6,0,0,0
834,1,3,0,0,0
835,17,75,0,0,3
836,5,17,0,0,0
837,1,4,0,0,0
838,1,5,0,0,0
839,1,3,0,0,0
840,1,4,0,0,0
841,1,3,0,0,0
842,1,3,0,0,0
843,8,37,0,0,2
844,1,3,0,0,0
845,3,11,0,0,0
846,1,3,0,0,0
847,1,3,0,0,0
848,1,2,0,0,0
849,9,37,0,0,1
850,1,4,0,0,0
851,1,3,0,0,0
852,3,9,0,0,0
853,1,4,0,0,0
854,1,9,0,0,0
855,1,3,0,0,0
856,1,3,0,0,0
857,1,3,0,0,0
858,1,3,0,0,0
859,1,4,1,0,0
860,1,3,0,0,0
861,3,7,0,0,0
862,1,3,0,0,0
863,1,3,0,0,0
864,1,17,0,0,0
865,2,8,0,0,0
866,4,25,0,0,1
867,1,3,0,0,0
868,12,50,0,0,2
869,1,3,0,0,0
870,2,6,0,0,0
871,3,8,0,0,0
872,1,3,0,0,0
873,2,3,0,0,0
874,1,3,0,0,0
875,3,19,0,0,1
876,2,7,0,0,0
877,1,3,0,0,0
878,1,3,0,0,0
879,3,28,1,0,2
880,1,3,0,0,0
881,4,14,0,0,0
882,1,3,0,0,0
883,1,3,0,0,0
884,1,3,0,0,0
885,1,3,0,0,0
886,1,4,0,0,0
887,1,3,0,0,0
888,1,12,0,0,0
889,3,11,0,0,0
890,1,3,0,0,0
891,4,25,0,0,0
892,7,32,0,0,2
893,1,3,0,0,0
894,1,3,0,0,0
895,5,14,0,0,0
896,1,3,0,0,0
897,2,7,0,0,0
898,1,3,0,0,0
899,6,21,0,0,1
900,1,33,0,0,1
901,1,6,0,0,0
902,1,3,0,0,0
903,1,3,0,0,0
904,1,3,0,0,0
905,2,6,0,0,0
906,1,3,0,0,0
907,1,3,0,0,0
908,3,10,0,0,0
909,6,16,0,0,1
910,3,9,0,0,0
911,2,6,0,0,0
912,3,18,0,0,1
913,1,3,0,0,0
914,5,46,0,0,2
915,1,3,0,0,0
916,1,3,0,0,0
917,8,30,0,0,2
918,1,4,0,0,0
919,6,27,0,0,1
920,1,3,0,0,0
921,1,4,0,0,0
922,1,3,0,0,0
923,1,3,0,0,0
924,1,3,0,0,0
925,1,4,0,0,0
926,1,3,0,0,0
927,1,3,0,0,0
928,1,4,0,0,0
929,1,3,0,0,0
930,1,3,0,0,0
931,1,3,0,0,0
932,2,20,0,0,0
933,1,3,0,0,0
934,1,3,0,0,0
935,1,13,0,0,0
936,1,4,0,0,0
937,1,3,0,0,0
938,4,14,0,0,0
939,2,9,0,0,0
940,5,13,0,0,0
941,1,3,0,0,0
942,2,7,0,0,0
943,1,3,0,0,0
944,6,9,0,0,0
945,4,17,0,0,0
946,11,45,0,0,2
947,1,3,0,0,0
948,1,3,0,0,0
949,1,3,0,0,0
950,2,8,0,0,0
951,3,12,0,0,0
952,5,25,0,0,0
953,1,4,0,0,0
954,1,2,0,0,0
955,1,3,0,0,0
956,2,9,0,0,0
957,1,4,0,0,0
958,1,3,0,0,0
959,6,24,0,0,1
960,1,3,0,0,0
961,1,3,0,0,0
962,1,3,0,0,0
963,3,12,0,0,0
964,1,3,0,0,0
965,2,5,0,0,0
966,1,3,0,0,0
967,3,8,0,0,0
968,1,3,0,0,0
969,1,3,0,0,0
970,1,3,0,0,0
971,4,12,0,0,0
972,2,7,0,0,0
973,1,3,0,0,0
974,1,3,0,0,0
975,1,3,0,0,0
976,4,29,0,0,0
977,1,3,0,0,0
978,3,3,0,0,0
979,1,6,0,0,0
980,1,3,2,0,0
981,1,3,0,0,0
982,9,88,5,1,3
983,1,3,0,0,0
984,2,6,0,0,0
985,1,3,0,0,0
986,1,4,0,0,0
987,2,3,0,0,0
988,3,8,0,0,0
989,8,52,2,0,2
990,1,3,0,0,0
991,1,3,0,0,0
992,2,7,0,0,0
993,1,7,0,0,0
994,2,7,0,0,0
995,1,3,0,0,0
996,5,28,0,0,0
997,1,3,0,0,0
998,1,5,0,0,0
999,2,22,0,0,0
1000,5,13,0,0,0
1001,1,5,0,0,0
1002,1,4,0,0,0
1003,2,11,0,0,0
1004,3,9,0,0,0
1005,4,17,0,0,1
1006,1,26,6,0,1
1007,2,6,0,0,0
1008,4,16,0,0,0
1009,15,76,0,0,3
1010,1,3,0,0,0
1011,4,15,0,0,0
1012,1,6,0,0,0
1013,3,9,0,0,0
1014,1,3,0,0,0
1015,11,38,0,0,2
1016,3,15,0,0,0
1017,1,3,0,0,0
1018,1,6,0,0,0
1019,4,20,0,0,0
1020,13,34,0,0,1
1021,2,8,0,0,0
1022,7,22,0,0,0
1023,6,17,0,0,0
1024,2,7,0,0,0
1025,4,17,0,0,0
1026,9,32,0,0,0
1027,1,4,0,0,0
1028,4,12,0,0,0
1029,5,26,0,0,0
1030,3,7,0,0,0
1031,2,6,0,0,0
1032,1,5,0,0,0
1033,3,7,0,0,0
1034,4,13,0,0,0
1035,1,10,0,0,0
1036,1,6,0,0,0
1037,25,98,0,0,2
1038,6,35,0,0,2
1039,1,3,0,0,0
1040,16,59,0,0,2
1041,1,3,0,0,0
1042,1,9,0,0,0
1043,5,17,1,0,0
1044,1,5,0,0,0
1045,6,20,0,0,0
1046,2,6,0,0,0
1047,1,3,0,0,0
1048,3,11,0,0,0
1049,2,7,0,0,0
1050,3,18,0,0,0
1051,7,20,0,0,0
1052,3,8,0,0,0
1053,2,6,0,0,0
1054,2,10,0,0,0
1055,2,12,0,0,0
1056,7,18,0,0,0
1057,9,27,0,0,0
1058,3,11,0,2,0
1059,1,3,0,0,0
1060,2,9,1,0,0
1061,4,20,0,0,1
1062,2,5,0,0,0
1063,3,9,0,0,0
1064,3,9,0,0,0
1065,3,7,0,0,0
1066,2,6,0,0,0
1067,2,10,0,0,0
1068,7,27,0,0,1
1069,1,3,0,0,0
1070,3,18,0,0,1
1071,1,12,0,0,0
1072,2,3,0,0,0
1073,6,17,0,0,0
1074,3,11,0,0,0
1075,6,25,0,0,1
1076,1,4,0,0,0
1077,3,14,0,0,0
1078,5,13,0,0,0
1079,2,8,0,0,0
1080,1,5,0,0,0
1081,7,31,0,0,1
1082,4,18,0,0,0
1083,1,5,0,0,0
1084,2,6,0,0,0
1085,1,3,1,0,0
1086,1,4,0,0,0
1087,1,4,0,0,0
1088,1,3,0,0,0
1089,2,6,0,0,0
1090,3,12,0,0,0
1091,1,3,0,0,0
1092,5,29,0,0,0
1093,3,12,0,0,0
1094,2,6,0,0,0
1095,7,24,0,0,0
1096,18,85,0,0,2
1097,1,3,0,0,0
1098,1,7,0,0,0
1099,2,7,0,0,0
1100,7,40,0,0,2
1101,5,18,0,0,0
1102,1,3,0,0,0
1103,2,5,0,0,0
1104,3,12,0,0,0
1105,1,5,0,0,0
1106,1,3,0,0,0
1107,2,14,0,0,0
1108,2,5,0,0,0
1109,2,9,0,0,0
1110,4,16,0,0,0
1111,1,5,0,0,0
1112,3,17,0,0,0
1113,2,18,0,0,0
1114,2,12,0,0,0
1115,1,35,0,0,0
1116,1,5,0,0,0
1117,2,6,0,0,0
1118,1,13,0,0,0
1119,4,17,0,0,0
1120,1,5,0,0,0
1121,1,5,0,0,0
1122,1,5,0,0,0
1123,3,16,0,0,0
1124,4,21,0,0,1
1125,1,3,0,0,0
1126,3,11,0,0,0
1127,1,3,0,0,0
1128,4,14,0,0,0
1129,1,5,0,3,0
1130,4,14,0,0,0
1131,2,6,0,0,0
1132,4,18,0,0,0
1133,2,7,0,0,0
1134,2,5,0,0,0
1135,4,12,0,0,0
1136,2,14,0,0,0
1137,2,7,0,0,0
1138,2,51,0,0,2
1139,7,44,0,0,2
1140,2,7,0,0,0
1141,8,23,0,0,0
