LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0,20.8,75,3534,313,1,90,67.4,5,0,5,2.8,9,3047.5,2,23.6,75,0,3,1969,0
0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0,35,4472,13,0,35,126.0,2,0,2,1.5,3,475.5,2,20.5,35,0,1,4446,0
0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,11.125,43,1925,64,0,84,68.125,8,0,7,0.625,2,950.5,2,11.75,43,1,4,1412,0
0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.47368421052631576,14,94,0,29.97142857142857,208,2202,42,8,440,67.88571428571429,35,0,28,17.4,184,482.8888888888889,9,47.371428571428574,392,0,10,716,2
0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,45,1859,108,3,27,154.41666666666666,12,0,12,6.25,29,88.75,4,14.75,56,0,1,558,0
0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,42,2728,146,0,22,34.833333333333336,6,0,5,7.833333333333333,32,384.75,4,19.333333333333332,42,0,2,1849,0
0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0,18.333333333333332,54,4736,298,2,50,176.16666666666666,12,0,12,14.166666666666666,51,74.0,6,32.5,96,0,1,1149,0
0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0,28.6,114,4472,195,1,109,98.6,5,0,5,6.8,25,1761.5,4,35.4,114,0,3,3493,0
0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,58.523809523809526,285,5034,198,4,285,163.66666666666666,21,0,21,44.95238095238095,285,462.375,8,103.47619047619048,570,1,4,869,0
0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0,16.0,56,5034,142,2,84,93.8125,16,0,16,10.75,53,570.0,5,26.75,97,0,2,2757,0
0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0,117.66666666666667,361,3299,512,0,258,75.5,6,0,6,74.66666666666667,318,257.75,4,192.33333333333334,636,2,8,227,1
0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0,10.19047619047619,94,1291,61,0,123,51.095238095238095,21,0,21,4.333333333333333,33,152.58333333333334,12,14.523809523809524,94,2,12,7,0
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.55555555555556,408,2580,211,3,513,196.33333333333334,9,0,9,8.555555555555555,50,2701.0,3,74.11111111111111,408,1,2,680,0
0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0,20.3,133,2569,199,2,170,29.2,10,0,10,3.3,10,610.0,3,23.6,133,0,4,573,0
0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8,51.8,219,1979,215,0,219,38.4,5,0,5,8.0,34,1679.0,1,59.8,219,0,13,902,0
0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.857142857142858,62,705,76,0,21,22.428571428571427,7,0,6,6.857142857142857,26,515.0,1,16.714285714285715,62,0,1,169,0
0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,33.8,91,1510,129,0,145,28.4,5,0,5,4.8,21,139.66666666666666,3,38.6,91,2,3,861,0
0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,9.1,68,1052,96,0,61,19.6,10,0,8,3.0,16,1840.0,1,12.1,68,0,4,87,0
0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,17.125,124,502,38,2,108,55.125,8,0,4,3.625,24,1513.0,1,20.75,124,0,1,198,0
0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0,366.6666666666667,549,1193,176,0,549,36.666666666666664,3,0,3,183.66666666666666,549,382.3333333333333,3,550.3333333333334,1098,1,20,665,0
0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,6.714285714285714,31,255,14,0,31,50.142857142857146,7,0,5,2.2857142857142856,8,567.0,3,9.0,31,0,3,154,0
1.8072289156626506,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0,22.555555555555557,167,349,13,2,319,73.38888888888889,18,0,12,4.833333333333333,21,507.0,5,27.38888888888889,174,1,43,109,3
0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,142.22222222222223,1151,1194,53,1,1218,50.44444444444444,9,0,7,6.888888888888889,48,69.0,5,149.11111111111111,1151,0,4,712,0
0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,5.636363636363637,20,1135,82,2,24,41.0,11,0,9,3.4545454545454546,8,130.5,6,9.090909090909092,20,0,2,233,0
0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,4.823529411764706,18,1135,53,2,29,44.8235294117647,17,0,15,3.1176470588235294,8,120.375,8,7.9411764705882355,18,0,2,233,0
0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0,8.529411764705882,41,1135,53,3,47,50.94117647058823,17,0,16,5.764705882352941,23,130.44444444444446,9,14.294117647058824,45,0,5,233,0
0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0,15.571428571428571,64,1135,64,2,88,44.5,14,0,12,9.285714285714286,49,142.0,9,24.857142857142858,97,0,6,233,1
0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.16666666666666666,12,12,0,29.181818181818183,87,992,69,1,102,36.18181818181818,11,0,8,19.90909090909091,66,182.0,6,49.09090909090909,134,0,10,233,0
0.0,70,0.0,3,0,0,9,1,0,4,10,6,0.5555555555555556,9,17,0,28.46153846153846,103,1135,69,3,97,48.69230769230769,13,0,11,21.0,85,130.0,9,49.46153846153846,167,0,5,233,0
0.0,23,0.0,0,0,0,2,0,0,1,4,4,1.0,2,3,0,13.5,40,625,49,1,35,36.875,8,0,6,9.125,21,205.25,4,22.625,40,0,2,233,0
0.0,151,0.0,1,0,0,20,0,0,0,40,39,0.95,20,35,0,110.0,283,1133,25,0,307,49.666666666666664,3,0,3,7.666666666666667,23,615.0,2,117.66666666666667,283,0,44,1057,1
0.0,14,0.0,0,0,0,2,0,0,0,3,3,1.0,1,12,0,39.0,39,589,0,0,39,20.0,1,0,1,0.0,0,153.0,1,39.0,39,0,1,589,0
0.0,126,0.0,5,0,0,16,0,1,4,17,12,0.6875,7,64,3,190.0,190,759,0,0,190,62.0,1,0,1,0.0,0,2088.0,1,190.0,190,0,7,759,0
0.0,83,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,2,54,0,34.666666666666664,170,1247,84,0,169,56.166666666666664,6,0,6,6.5,13,413.3333333333333,3,41.166666666666664,170,1,15,739,1
0.0,56,0.0,6,0,0,10,2,0,4,12,2,0.2,10,14,0,32.333333333333336,76,683,104,0,139,48.333333333333336,6,0,6,9.166666666666666,24,2112.0,1,41.5,100,1,5,56,0
0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,17.875,97,1114,58,3,97,55.25,8,0,5,5.75,38,341.6666666666667,3,23.625,97,0,1,645,0
0.0,113,0.0,3,0,0,11,3,0,3,18,9,0.45454545454545453,11,18,0,51.5,403,976,36,3,306,88.75,8,0,7,13.25,82,377.25,4,64.75,403,0,44,684,0
0.0,32,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,8.0,20,836,44,1,45,51.375,8,0,7,2.375,10,760.6,5,10.375,21,0,1,484,0
0.0,4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.0,22,889,147,1,25,37.5,6,0,6,1.8333333333333333,5,640.25,4,7.833333333333333,22,1,3,3,0
0.0,70,0.0,0,0,0,6,0,3,0,16,16,1.0,6,49,0,29.0,106,435,108,0,114,46.25,4,0,3,0.5,1,547.0,2,29.5,106,0,7,0,1
1.953125,256,0.0,0,5,0,13,0,0,1,32,32,1.0,10,201,0,22.636363636363637,299,889,23,8,442,66.75757575757575,33,0,28,9.242424242424242,96,573.7142857142857,7,31.87878787878788,299,3,21,102,2
0.0,23,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,26.0,51,554,0,1,51,29.5,2,0,1,0.5,1,1626.0,1,26.5,51,0,1,554,0
0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,26.333333333333332,63,410,79,1,68,44.0,3,0,3,3.6666666666666665,7,73.5,2,30.0,63,0,3,171,0
0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,69.22222222222223,785,3026,101,4,760,50.5,18,0,16,27.0,118,131.125,8,96.22222222222223,785,0,2,1199,0
0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166666666666667,18,1047,170,1,4,47.166666666666664,6,0,6,4.5,14,1758.0,1,9.666666666666666,18,0,1,22,0
0.0,55,0.0,0,0,0,2,0,0,0,5,5,1.0,0,4,0,258.0,773,556,33,0,773,41.333333333333336,3,0,3,0.3333333333333333,1,1161.0,3,258.3333333333333,773,0,2,456,0
0.0,27,0.0,0,0,0,2,0,1,1,3,3,1.0,2,8,0,59.0,59,947,0,0,59,35.0,1,0,1,0.0,0,522.0,1,59.0,59,0,2,947,0
0.0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,43,1047,102,1,33,45.6,10,0,9,6.3,24,1758.0,1,15.9,43,2,1,22,0
0.0,19,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0,46.0,46,1178,0,0,46,40.0,1,0,1,0.0,0,522.0,1,46.0,46,0,1,1178,0
0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,15,0,498.0,498,1422,0,1,498,29.0,1,0,1,0.0,0,5.0,1,498.0,498,0,1,1422,0
0.0,22,0.0,0,0,0,1,0,0,0,2,2,1.0,0,6,0,163.0,726,556,81,1,761,42.2,5,0,5,10.8,51,1039.0,5,173.8,726,0,1,151,0
0.0,79,0.0,0,0,0,4,0,0,1,15,15,1.0,4,26,0,38.0,136,1163,230,1,129,58.2,5,0,5,12.2,43,874.5,2,50.2,136,0,6,11,1
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,28,687,195,1,29,45.0,2,0,2,2.5,5,170.0,1,19.5,28,0,1,296,0
0.0,31,0.0,2,0,0,4,0,0,0,7,5,0.5,4,13,0,12.0,40,1918,270,2,51,44.0,6,0,6,3.5,12,136.0,3,15.5,40,0,4,296,0
0.7194244604316546,139,0.7194244604316546,0,1,1,6,0,0,1,16,16,1.0,2,98,0,52.69230769230769,317,1135,25,2,9,49.34615384615385,26,0,23,52.34615384615385,315,273.0,2,105.03846153846153,632,2,8,462,1
0.0,75,0.0,1,0,0,8,0,0,0,15,14,0.875,1,28,0,44.666666666666664,130,556,33,0,130,49.0,3,0,3,1.3333333333333333,3,1180.6666666666667,3,46.0,130,0,6,456,0
0.0,19,0.0,4,0,0,4,0,0,0,4,0,0.0,4,4,0,34.75,85,259,40,1,72,67.75,4,0,4,16.75,61,550.5,2,51.5,107,0,1,97,0
0.0,39,0.0,4,0,0,5,0,0,3,5,1,0.2,5,5,0,14.0,57,842,163,1,62,51.6,5,0,5,1.6,5,628.25,4,15.6,57,0,1,25,0
0.0,111,0.0,0,0,0,3,0,1,0,23,23,1.0,1,38,0,83.0,165,556,50,0,165,45.0,2,0,2,0.5,1,1709.0,2,83.5,165,0,12,456,0
0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13991.076923076924,91548,632,35,1,91806,65.53846153846153,13,0,13,6929.076923076923,16497,138.66666666666666,6,20920.153846153848,91548,2,1,171,0
0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,5,0,11.8,64,1848,182,1,66,41.3,10,0,10,5.2,40,628.25,4,17.0,77,0,6,25,0
0.0,65,0.0,0,0,0,4,0,0,2,16,16,1.0,1,32,0,24.53846153846154,107,1270,90,3,107,48.07692307692308,13,0,13,16.307692307692307,107,367.3333333333333,3,40.84615384615385,147,3,15,97,0
0.0,26,0.0,0,0,0,3,0,0,0,5,5,1.0,2,11,1,71.0,71,632,0,0,71,20.0,1,0,1,0.0,0,97.0,1,71.0,71,0,4,632,0
0.0,68,0.0,0,0,0,4,0,0,5,11,11,1.0,1,30,7,46.8,116,1362,271,0,115,39.8,5,0,5,23.8,116,75.5,2,70.6,231,0,11,4,0
0.0,182,0.0,3,0,0,9,0,1,9,32,29,0.6666666666666666,6,65,0,254.0,254,1219,0,0,254,72.0,1,0,1,0.0,0,2.0,1,254.0,254,0,22,1219,0
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,42.0,42,261,0,0,42,43.0,1,0,1,0.0,0,37.0,1,42.0,42,0,1,261,0
0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,22.0,65,1039,17,0,65,31.666666666666668,3,0,3,0.3333333333333333,1,334.0,2,22.333333333333332,65,1,7,988,0
0.0,174,0.0,4,0,0,30,0,2,0,34,30,0.8666666666666667,30,43,0,3711.4117647058824,31355,306,18,0,45636,38.1764705882353,17,0,17,1026.9411764705883,11456,23.666666666666668,3,4738.35294117647,42811,0,15,0,1
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,201,578,24,1,189,53.5,16,0,15,2.9375,23,138.7,10,17.6875,201,1,1,186,0
4.838709677419355,124,0.0,0,6,0,5,0,0,4,18,18,1.0,3,80,0,78.66666666666667,234,281,1,0,234,32.666666666666664,3,0,3,0.6666666666666666,1,561.0,1,79.33333333333333,234,0,14,277,2
0.0,32,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,4,11,0,18.5,66,1257,207,1,64,40.0,4,0,4,2.5,6,603.0,2,21.0,66,0,6,429,0
0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,11.916666666666666,79,1716,113,0,-3,57.583333333333336,12,0,11,12.166666666666666,55,985.2,5,24.083333333333332,79,0,1,356,0
0.0,37,2.7027027027027026,1,0,1,4,0,0,3,7,5,0.75,2,11,0,9.11111111111111,111,3533,183,2,88,97.05555555555556,18,0,18,4.222222222222222,35,793.0,1,13.333333333333334,111,2,5,230,0
0.0,180,0.0,13,0,0,33,0,2,0,37,24,0.6060606060606061,33,46,0,136.0,537,306,43,0,648,45.8,5,0,5,6.4,20,23.666666666666668,3,142.4,537,0,12,90,0
0.0,13,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,11.571428571428571,50,3533,350,0,56,151.14285714285714,7,0,7,3.5714285714285716,15,793.0,1,15.142857142857142,50,1,1,1082,0
2.0134228187919465,149,2.0134228187919465,0,3,3,10,1,0,0,28,27,0.9,8,58,0,48.9375,586,441,17,0,651,118.875,16,0,13,8.25,48,793.0,1,57.1875,586,0,14,169,1
0.0,90,0.0,7,0,0,14,0,0,0,20,13,0.5,13,35,0,107.5,191,2240,118,0,200,37.0,2,0,2,7.5,15,67.0,1,115.0,191,0,4,2003,0
0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,12.75,29,641,143,0,48,46.25,4,0,2,0.75,3,378.6666666666667,3,13.5,29,0,2,68,0
0.0,16,0.0,2,0,0,2,0,0,1,2,0,0.0,2,2,0,99.81818181818181,764,2994,167,2,709,80.18181818181819,11,0,11,35.36363636363637,339,34.5,2,135.1818181818182,764,0,1,1149,0
0.0,239,0.0,0,0,0,1,0,0,0,1,1,1.0,1,235,0,54.333333333333336,258,641,0,0,257,52.666666666666664,6,0,1,11.5,23,190.5,2,65.83333333333333,258,0,1,641,0
0.0,38,0.0,2,0,0,5,0,0,1,8,6,0.6,3,11,0,50.0,72,2994,31,1,94,44.5,2,0,2,3.0,6,67.0,1,53.0,72,0,3,2932,0
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.164948453608247,308,1115,11,2,623,55.134020618556704,97,0,59,5.742268041237113,94,161.0,15,17.90721649484536,402,1,1,1,0
0.0,56,0.0,0,0,0,21,0,0,1,21,21,1.0,18,28,0,10.631578947368421,77,641,8,1,256,70.12280701754386,57,0,12,6.140350877192983,108,374.0,6,16.771929824561404,165,15,6,172,0
0.0,34,0.0,0,0,0,0,0,16,0,0,0,0,0,0,0,19.0,34,513,10,0,38,31.0,3,0,3,6.333333333333333,19,26.0,2,25.333333333333332,53,0,2,482,0
0.0,126,0.0,3,0,0,15,2,0,3,35,30,0.6666666666666666,15,26,0,153.0,300,531,65,0,300,20.0,2,0,2,3.0,6,23.5,2,156.0,300,0,72,400,0
0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,0,5,0,44.6,146,678,36,1,214,51.6,5,0,5,1.8,6,48.5,2,46.4,146,0,2,497,0
0.0,303,0.0,21,0,0,44,2,1,2,67,44,0.4772727272727273,44,55,0,18.755555555555556,154,1716,36,7,619,45.666666666666664,45,0,36,5.0,55,921.2857142857143,7,23.755555555555556,154,5,14,91,2
0.0,21,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,1,6,0,96.75,369,783,101,1,383,33.0,4,0,2,1.0,2,84.0,1,97.75,369,0,1,376,0
0.0,59,0.0,0,0,0,3,0,0,5,16,16,1.0,3,24,0,114.5,447,1363,184,1,442,96.75,4,0,4,4.0,9,179.66666666666666,3,118.5,447,1,2,625,1
0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,8,0,65.0,65,1154,0,0,65,177.0,1,0,1,0.0,0,1515.0,1,65.0,65,0,1,1154,0
0.0,1461,0.0,6,0,0,40,7,3,1,381,365,0.675,35,677,0,388.0,1844,1363,261,2,1935,46.4,5,0,5,1.0,3,102.0,3,389.0,1844,0,56,57,0
0.0,18,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,23.956521739130434,161,1156,43,2,111,110.17391304347827,23,0,9,19.130434782608695,180,246.5,2,43.08695652173913,211,3,15,147,0
0.0,83,0.0,0,0,0,5,0,0,0,16,16,1.0,4,10,0,125.5,235,884,395,0,235,41.0,2,0,2,8.0,16,951.5,2,133.5,235,0,37,93,0
0.0,282,0.0,8,0,0,22,1,0,5,76,49,0.5909090909090909,1,83,2,564.375,1464,1959,242,0,3003,145.75,8,0,7,189.0,1464,780.25,4,753.375,1464,0,14,20,0
0.0,1111,0.0,0,0,0,22,0,2,17,290,290,1.0,17,665,0,198.0,1723,1363,82,4,1683,70.66666666666667,9,0,9,11.0,45,135.5,4,209.0,1723,1,25,621,3
0.0,17,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,39.0,78,1505,412,0,78,123.5,2,0,2,0.0,0,796.0,2,39.0,78,0,13,680,0
0.0,39,0.0,2,0,0,4,0,0,2,4,2,0.5,4,7,0,106.0,106,769,0,0,106,42.0,1,0,1,0.0,0,1515.0,1,106.0,106,0,1,769,0
0.0,313,0.0,16,0,0,37,0,10,8,56,39,0.5675675675675675,27,100,12,25.047619047619047,140,628,27,4,447,43.0,21,0,20,3.761904761904762,17,85.0,7,28.80952380952381,140,0,21,47,0
0.0,78,0.0,4,0,0,12,0,0,0,20,16,0.6666666666666666,12,29,0,255.0,255,1154,0,0,255,177.0,1,0,1,0.0,0,1515.0,1,255.0,255,0,3,1154,0
0.0,6,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,22.0,64,990,322,1,62,35.666666666666664,3,0,3,1.3333333333333333,2,217.33333333333334,3,23.333333333333332,64,0,3,24,0
0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0,31.583333333333332,137,1008,83,3,173,50.333333333333336,12,0,10,17.166666666666668,137,435.0,1,48.75,274,0,1,6,0
0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,21.333333333333332,30,1106,88,1,32,16.333333333333332,3,0,3,10.666666666666666,30,9.666666666666666,3,32.0,60,0,1,840,0
0.0,11,0.0,0,0,0,1,0,0,0,4,4,1.0,1,8,0,38.0,38,13,0,0,38,59.0,1,0,1,0.0,0,159.0,1,38.0,38,0,1,13,0
0.0,39,0.0,1,0,0,5,0,1,1,6,5,0.8,5,19,0,17.142857142857142,84,1103,98,2,96,33.42857142857143,7,0,7,3.4285714285714284,15,137.6,5,20.571428571428573,84,0,4,415,0
0.0,22,0.0,0,0,0,3,0,0,1,6,6,1.0,3,7,0,54.0,54,1103,0,0,54,22.0,1,0,1,0.0,0,4.0,1,54.0,54,0,2,1103,0
0.0,70,0.0,5,0,0,11,2,0,5,13,6,0.36363636363636365,11,19,0,32.333333333333336,88,1103,138,0,97,16.666666666666668,3,0,3,0.0,0,6.0,2,32.333333333333336,88,0,4,688,0
0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,4.666666666666667,11,109,27,0,13,51.0,3,0,3,0.3333333333333333,1,1416.0,1,5.0,11,0,1,26,0
0.0,21,0.0,0,0,0,3,1,0,1,3,2,0.6666666666666666,3,8,0,9.5,33,823,94,0,60,35.75,8,0,8,2.0,10,14.666666666666666,6,11.5,35,0,5,68,0
0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,1,7,0,7.5,42,823,81,0,46,33.2,10,0,10,2.9,13,13.285714285714286,7,10.4,42,0,1,7,0
0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,232.30434782608697,749,541,20,3,2340,38.95652173913044,23,0,21,130.56521739130434,892,128.8,5,362.8695652173913,1641,0,3,67,0
0.0,83,0.0,0,0,0,9,7,0,8,9,2,0.2222222222222222,9,25,8,27.916666666666668,116,823,62,0,268,31.833333333333332,12,0,12,5.583333333333333,33,14.0,7,33.5,116,0,6,68,0
0.0,59,0.0,0,0,0,4,0,0,1,13,13,1.0,4,52,0,30.2,129,823,75,0,142,33.4,10,0,10,16.0,82,14.666666666666666,6,46.2,182,0,11,68,0
0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,5,0,61.0,121,250,91,0,121,23.5,2,0,2,0.5,1,22.0,2,61.5,121,0,1,68,0
0.0,168,0.0,1,0,0,17,14,0,16,17,2,0.11764705882352941,17,47,16,125.0,249,47,10,0,249,23.0,2,0,2,0.5,1,36.0,1,125.5,249,0,9,26,0
0.0,14,0.0,0,0,0,2,1,0,0,2,1,0.5,0,2,0,79.93333333333334,1365,425,6,4,1905,35.3,60,0,53,48.18333333333333,1208,509.42857142857144,7,128.11666666666667,1402,5,2,27,0
0.0,247,0.0,0,0,0,122,0,0,0,122,122,1.0,0,122,0,127.64,1172,823,32,0,2560,31.84,25,0,25,25.24,280,10.8,10,152.88,1172,0,347,7,0
0.0,30,0.0,2,0,0,5,0,0,0,5,3,0.6,3,5,0,11.857142857142858,78,848,104,1,80,56.142857142857146,7,0,5,0.42857142857142855,1,2404.0,4,12.285714285714286,78,0,1,116,0
0.0,238,0.0,1,0,0,16,1,0,0,42,40,0.875,11,33,2,20.975,287,1071,26,14,298,58.65,40,0,31,13.525,327,405.8333333333333,6,34.5,327,2,20,0,2
0.0,61,0.0,0,0,0,27,0,0,0,27,27,1.0,0,29,0,10.514285714285714,130,3914,55,12,157,52.9,70,0,54,8.271428571428572,246,168.3913043478261,23,18.785714285714285,246,4,26,2,0
0.0,60,0.0,2,0,0,6,0,0,5,9,7,0.6666666666666666,5,14,0,42.0625,167,74,4,1,141,38.125,16,0,8,33.25,102,1015.3333333333334,3,75.3125,224,3,2,7,0
0.0,247,0.0,7,0,0,21,5,0,7,43,31,0.42857142857142855,21,80,8,49.833333333333336,397,1040,78,1,496,76.16666666666667,12,0,9,8.5,45,171.0,4,58.333333333333336,397,2,14,102,0
