SampleId,SampleType,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange
6412439,CLASS,23.8,142,1894,168,9,168,69.6,10,0,10,7.0,36,698.3333333333334,3,30.8,142,0,6,207
6452606,CLASS,258.0,773,556,33,0,773,41.333333333333336,3,0,3,0.3333333333333333,1,1161.0,3,258.3333333333333,773,0,2,456
6458155,CLASS,59.0,59,947,0,0,59,35.0,1,0,1,0.0,0,522.0,1,59.0,59,0,2,947
6446491,CLASS,9.6,43,1047,102,1,33,45.6,10,0,9,6.3,24,1758.0,1,15.9,43,2,1,22
6466237,CLASS,46.0,46,1178,0,0,46,40.0,1,0,1,0.0,0,522.0,1,46.0,46,0,1,1178
6445346,CLASS,498.0,498,1422,0,1,498,29.0,1,0,1,0.0,0,5.0,1,498.0,498,0,1,1422
6383930,CLASS,17.823529411764707,95,6378,362,9,102,69.23529411764706,17,0,16,11.823529411764707,95,1270.5,8,29.647058823529413,190,0,5,214
6464947,CLASS,163.0,726,556,81,1,761,42.2,5,0,5,10.8,51,1039.0,5,173.8,726,0,1,151
6493535,CLASS,38.0,136,1163,230,1,129,58.2,5,0,5,12.2,43,874.5,2,50.2,136,0,6,11
6494643,CLASS,17.0,28,687,195,1,29,45.0,2,0,2,2.5,5,170.0,1,19.5,28,0,1,296
6503132,CLASS,12.0,40,1918,270,2,51,44.0,6,0,6,3.5,12,136.0,3,15.5,40,0,4,296
6511935,CLASS,52.69230769230769,317,1135,25,2,9,49.34615384615385,26,0,23,52.34615384615385,315,273.0,2,105.03846153846153,632,2,8,462
6470701,CLASS,44.666666666666664,130,556,33,0,130,49.0,3,0,3,1.3333333333333333,3,1180.6666666666667,3,46.0,130,0,6,456
6519143,CLASS,34.75,85,259,40,1,72,67.75,4,0,4,16.75,61,550.5,2,51.5,107,0,1,97
6522495,CLASS,14.0,57,842,163,1,62,51.6,5,0,5,1.6,5,628.25,4,15.6,57,0,1,25
6483192,CLASS,83.0,165,556,50,0,165,45.0,2,0,2,0.5,1,1709.0,2,83.5,165,0,12,456
6546542,CLASS,13991.076923076924,91548,632,35,1,91806,65.53846153846153,13,0,13,6929.076923076923,16497,138.66666666666666,6,20920.153846153848,91548,2,1,171
6535592,CLASS,11.8,64,1848,182,1,66,41.3,10,0,10,5.2,40,628.25,4,17.0,77,0,6,25
6548259,CLASS,6.0,20,4514,103,8,20,107.45454545454545,22,0,20,5.090909090909091,20,1576.6666666666667,6,11.090909090909092,40,0,1,2234
6520782,CLASS,24.53846153846154,107,1270,90,3,107,48.07692307692308,13,0,13,16.307692307692307,107,367.3333333333333,3,40.84615384615385,147,3,15,97
6546066,CLASS,71.0,71,632,0,0,71,20.0,1,0,1,0.0,0,97.0,1,71.0,71,0,4,632
6550344,CLASS,18.0,53,3989,6,0,51,38.333333333333336,3,0,3,1.0,2,404.0,2,19.0,53,0,1,3970
6547476,CLASS,11.5,50,3973,435,3,54,65.66666666666667,6,0,6,2.5,10,2151.0,1,14.0,50,0,1,1360
6551559,CLASS,43.0,90,3990,328,1,94,57.333333333333336,3,0,3,11.666666666666666,31,1514.0,3,54.666666666666664,90,0,2,3004
6564431,CLASS,9.75,14,2612,312,1,31,36.5,4,0,4,2.0,7,2151.0,1,11.75,18,0,1,1361
6571650,CLASS,15.0,56,3973,385,1,56,68.0,4,0,4,1.0,2,2086.5,2,16.0,56,0,1,2433
6578541,CLASS,167.0,167,3989,0,0,167,31.0,1,0,1,0.0,0,439.0,1,167.0,167,0,6,3989
6560581,CLASS,18.0,35,3989,1,0,35,21.0,2,0,2,0.5,1,1230.5,2,18.5,35,0,3,3986
6623354,CLASS,46.8,116,1362,271,0,115,39.8,5,0,5,23.8,116,75.5,2,70.6,231,0,11,4
6513676,CLASS,254.0,254,1219,0,0,254,72.0,1,0,1,0.0,0,2.0,1,254.0,254,0,22,1219
6605811,CLASS,42.0,42,261,0,0,42,43.0,1,0,1,0.0,0,37.0,1,42.0,42,0,1,261
6554999,CLASS,47.875,262,3989,212,1,327,48.375,8,0,8,7.0,25,1615.8,5,54.875,262,0,4,2289
6634791,CLASS,22.0,65,1039,17,0,65,31.666666666666668,3,0,3,0.3333333333333333,1,334.0,2,22.333333333333332,65,1,7,988
6772589,CLASS,3711.4117647058824,31355,306,18,0,45636,38.1764705882353,17,0,17,1026.9411764705883,11456,23.666666666666668,3,4738.35294117647,42811,0,15,0
6680763,CLASS,25.285714285714285,195,4783,336,0,215,82.71428571428571,14,0,13,9.928571428571429,58,1501.5,6,35.214285714285715,195,1,6,78
6725112,CLASS,25.54054054054054,334,5244,139,0,496,52.729729729729726,37,0,33,12.135135135135135,258,1331.5714285714287,7,37.67567567567568,334,0,2,78
6651983,CLASS,12.1,100,5232,515,0,85,45.8,10,0,9,3.6,20,1501.5,6,15.7,100,0,5,78
6135529,CLASS,5.0,11,4351,708,1,21,56.833333333333336,6,0,6,1.5,4,960.3333333333334,3,6.5,11,1,2,98
6654966,CLASS,12.666666666666666,34,2908,943,0,36,41.0,3,0,3,0.6666666666666666,2,490.3333333333333,3,13.333333333333334,34,0,4,78
6732692,CLASS,19.45,203,4729,232,8,336,56.5,20,0,16,2.65,19,339.4,5,22.1,203,0,3,78
6159926,CLASS,14.75,201,578,24,1,189,53.5,16,0,15,2.9375,23,138.7,10,17.6875,201,1,1,186
6624209,CLASS,78.66666666666667,234,281,1,0,234,32.666666666666664,3,0,3,0.6666666666666666,1,561.0,1,79.33333333333333,234,0,14,277
6151978,CLASS,12.666666666666666,20,4051,72,2,34,73.66666666666667,3,0,3,1.3333333333333333,4,838.0,3,14.0,20,0,8,3833
6866681,CLASS,18.5,66,1257,207,1,64,40.0,4,0,4,2.5,6,603.0,2,21.0,66,0,6,429
6913242,CLASS,11.916666666666666,79,1716,113,0,-3,57.583333333333336,12,0,11,12.166666666666666,55,985.2,5,24.083333333333332,79,0,1,356
6143847,CLASS,11.0,15,3967,967,2,32,40.0,4,0,4,3.0,8,662.5,4,14.0,22,0,1,98
6897923,CLASS,9.11111111111111,111,3533,183,2,88,97.05555555555556,18,0,18,4.222222222222222,35,793.0,1,13.333333333333334,111,2,5,230
6725492,CLASS,136.0,537,306,43,0,648,45.8,5,0,5,6.4,20,23.666666666666668,3,142.4,537,0,12,90
6890147,CLASS,11.571428571428571,50,3533,350,0,56,151.14285714285714,7,0,7,3.5714285714285716,15,793.0,1,15.142857142857142,50,1,1,1082
6893505,CLASS,48.9375,586,441,17,0,651,118.875,16,0,13,8.25,48,793.0,1,57.1875,586,0,14,169
6920729,CLASS,107.5,191,2240,118,0,200,37.0,2,0,2,7.5,15,67.0,1,115.0,191,0,4,2003
6984118,CLASS,12.75,29,641,143,0,48,46.25,4,0,2,0.75,3,378.6666666666667,3,13.5,29,0,2,68
6940330,CLASS,99.81818181818181,764,2994,167,2,709,80.18181818181819,11,0,11,35.36363636363637,339,34.5,2,135.1818181818182,764,0,1,1149
6988534,CLASS,54.333333333333336,258,641,0,0,257,52.666666666666664,6,0,1,11.5,23,190.5,2,65.83333333333333,258,0,1,641
6921656,CLASS,50.0,72,2994,31,1,94,44.5,2,0,2,3.0,6,67.0,1,53.0,72,0,3,2932
7002598,CLASS,12.164948453608247,308,1115,11,2,623,55.134020618556704,97,0,59,5.742268041237113,94,161.0,15,17.90721649484536,402,1,1,1
6985869,CLASS,10.631578947368421,77,641,8,1,256,70.12280701754386,57,0,12,6.140350877192983,108,374.0,6,16.771929824561404,165,15,6,172
7022531,CLASS,19.0,34,513,10,0,38,31.0,3,0,3,6.333333333333333,19,26.0,2,25.333333333333332,53,0,2,482
7027539,CLASS,153.0,300,531,65,0,300,20.0,2,0,2,3.0,6,23.5,2,156.0,300,0,72,400
6977949,CLASS,44.6,146,678,36,1,214,51.6,5,0,5,1.8,6,48.5,2,46.4,146,0,2,497
6917283,CLASS,18.755555555555556,154,1716,36,7,619,45.666666666666664,45,0,36,5.0,55,921.2857142857143,7,23.755555555555556,154,5,14,91
7074847,CLASS,96.75,369,783,101,1,383,33.0,4,0,2,1.0,2,84.0,1,97.75,369,0,1,376
7048370,CLASS,114.5,447,1363,184,1,442,96.75,4,0,4,4.0,9,179.66666666666666,3,118.5,447,1,2,625
7071931,CLASS,65.0,65,1154,0,0,65,177.0,1,0,1,0.0,0,1515.0,1,65.0,65,0,1,1154
7037560,CLASS,388.0,1844,1363,261,2,1935,46.4,5,0,5,1.0,3,102.0,3,389.0,1844,0,56,57
7076084,CLASS,23.956521739130434,161,1156,43,2,111,110.17391304347827,23,0,9,19.130434782608695,180,246.5,2,43.08695652173913,211,3,15,147
7056354,CLASS,125.5,235,884,395,0,235,41.0,2,0,2,8.0,16,951.5,2,133.5,235,0,37,93
7075575,CLASS,564.375,1464,1959,242,0,3003,145.75,8,0,7,189.0,1464,780.25,4,753.375,1464,0,14,20
7047868,CLASS,198.0,1723,1363,82,4,1683,70.66666666666667,9,0,9,11.0,45,135.5,4,209.0,1723,1,25,621
7077189,CLASS,39.0,78,1505,412,0,78,123.5,2,0,2,0.0,0,796.0,2,39.0,78,0,13,680
7075624,CLASS,106.0,106,769,0,0,106,42.0,1,0,1,0.0,0,1515.0,1,106.0,106,0,1,769
7120318,CLASS,25.047619047619047,140,628,27,4,447,43.0,21,0,20,3.761904761904762,17,85.0,7,28.80952380952381,140,0,21,47
7084780,CLASS,255.0,255,1154,0,0,255,177.0,1,0,1,0.0,0,1515.0,1,255.0,255,0,3,1154
7148614,CLASS,22.0,64,990,322,1,62,35.666666666666664,3,0,3,1.3333333333333333,2,217.33333333333334,3,23.333333333333332,64,0,3,24
7137862,CLASS,31.583333333333332,137,1008,83,3,173,50.333333333333336,12,0,10,17.166666666666668,137,435.0,1,48.75,274,0,1,6
7165732,CLASS,21.333333333333332,30,1106,88,1,32,16.333333333333332,3,0,3,10.666666666666666,30,9.666666666666666,3,32.0,60,0,1,840
7140272,CLASS,38.0,38,13,0,0,38,59.0,1,0,1,0.0,0,159.0,1,38.0,38,0,1,13
7149120,CLASS,17.142857142857142,84,1103,98,2,96,33.42857142857143,7,0,7,3.4285714285714284,15,137.6,5,20.571428571428573,84,0,4,415
7161125,CLASS,54.0,54,1103,0,0,54,22.0,1,0,1,0.0,0,4.0,1,54.0,54,0,2,1103
7160140,CLASS,32.333333333333336,88,1103,138,0,97,16.666666666666668,3,0,3,0.0,0,6.0,2,32.333333333333336,88,0,4,688
7183873,CLASS,4.666666666666667,11,109,27,0,13,51.0,3,0,3,0.3333333333333333,1,1416.0,1,5.0,11,0,1,26
7196708,CLASS,9.5,33,823,94,0,60,35.75,8,0,8,2.0,10,14.666666666666666,6,11.5,35,0,5,68
7198305,CLASS,7.5,42,823,81,0,46,33.2,10,0,10,2.9,13,13.285714285714286,7,10.4,42,0,1,7
7155743,CLASS,232.30434782608697,749,541,20,3,2340,38.95652173913044,23,0,21,130.56521739130434,892,128.8,5,362.8695652173913,1641,0,3,67
7198779,CLASS,27.916666666666668,116,823,62,0,268,31.833333333333332,12,0,12,5.583333333333333,33,14.0,7,33.5,116,0,6,68
7201007,CLASS,30.2,129,823,75,0,142,33.4,10,0,10,16.0,82,14.666666666666666,6,46.2,182,0,11,68
7200142,CLASS,61.0,121,250,91,0,121,23.5,2,0,2,0.5,1,22.0,2,61.5,121,0,1,68
7204450,CLASS,125.0,249,47,10,0,249,23.0,2,0,2,0.5,1,36.0,1,125.5,249,0,9,26
7210083,CLASS,79.93333333333334,1365,425,6,4,1905,35.3,60,0,53,48.18333333333333,1208,509.42857142857144,7,128.11666666666667,1402,5,2,27
7204626,CLASS,127.64,1172,823,32,0,2560,31.84,25,0,25,25.24,280,10.8,10,152.88,1172,0,347,7
7405705,CLASS,11.857142857142858,78,848,104,1,80,56.142857142857146,7,0,5,0.42857142857142855,1,2404.0,4,12.285714285714286,78,0,1,116
7228058,CLASS,20.975,287,1071,26,14,298,58.65,40,0,31,13.525,327,405.8333333333333,6,34.5,327,2,20,0
7214444,CLASS,10.514285714285714,130,3914,55,12,157,52.9,70,0,54,8.271428571428572,246,168.3913043478261,23,18.785714285714285,246,4,26,2
7237730,CLASS,42.0625,167,74,4,1,141,38.125,16,0,8,33.25,102,1015.3333333333334,3,75.3125,224,3,2,7
7243958,CLASS,49.833333333333336,397,1040,78,1,496,76.16666666666667,12,0,9,8.5,45,171.0,4,58.333333333333336,397,2,14,102
7269783,CLASS,10.363636363636363,45,4004,340,2,54,47.45454545454545,11,0,8,5.454545454545454,23,1195.3333333333333,3,15.818181818181818,45,1,2,264
7239385,CLASS,212.0,998,219,6,5,998,50.15384615384615,13,0,8,135.23076923076923,998,1054.0,2,347.2307692307692,1501,0,1,134
7272444,CLASS,9.571428571428571,58,4130,552,1,61,35.42857142857143,7,0,6,0.8571428571428571,3,1347.0,4,10.428571428571429,58,0,1,264
7290109,CLASS,26.25,95,2478,616,0,95,51.25,4,0,4,2.5,7,59.666666666666664,3,28.75,95,0,2,12
7293098,CLASS,9.82,81,3184,16,4,146,57.04,50,0,28,6.9,81,177.6,5,16.72,81,3,14,2360
7274207,CLASS,25.77777777777778,174,1579,146,3,192,54.888888888888886,9,0,8,4.444444444444445,29,1726.3333333333333,3,30.22222222222222,174,0,2,264
7307669,CLASS,14.75,33,2826,105,0,38,74.5,4,0,4,5.25,19,213.0,1,20.0,43,0,1,2406
7277560,CLASS,21.6,62,980,51,1,133,35.2,15,0,13,12.733333333333333,63,628.0,1,34.333333333333336,125,0,4,203
7294593,CLASS,35.0,135,2185,546,0,135,80.0,4,0,4,1.25,2,55.666666666666664,3,36.25,135,0,3,0
7358376,CLASS,124.0,124,1082,2,1,124,18.5,2,0,2,62.0,124,121.0,2,186.0,248,0,1,1077
7211700,CLASS,7.571428571428571,14,517,30,0,41,34.0,7,0,7,1.7142857142857142,8,137.0,1,9.285714285714286,15,0,8,302
7327189,CLASS,416.0,416,1082,2,1,416,18.5,2,0,2,208.0,416,121.0,2,624.0,832,0,14,1077
7257331,CLASS,15.615384615384615,155,4130,297,1,174,47.38461538461539,13,0,10,2.230769230769231,12,1102.3333333333333,6,17.846153846153847,155,1,6,264
7356708,CLASS,439.0,439,1082,2,1,439,18.5,2,0,2,219.5,439,121.0,2,658.5,878,0,1,1077
7369780,CLASS,18.376884422110553,208,2158,10,9,1216,39.19597989949749,199,0,147,12.266331658291458,567,771.4857142857143,35,30.64321608040201,578,3,5,10
7356904,CLASS,101.0,101,1082,2,1,101,18.5,2,0,2,50.5,101,121.0,2,151.5,202,0,1,1077
7373964,CLASS,8.590909090909092,121,2142,73,2,40,33.5,22,0,16,6.7727272727272725,98,2398.8333333333335,6,15.363636363636363,121,1,2,534
7373999,CLASS,2.8636363636363638,29,2158,73,1,40,34.63636363636363,22,0,16,1.0454545454545454,7,1890.875,8,3.909090909090909,29,0,2,534
7375884,CLASS,30.0,59,421,7,0,59,48.5,2,0,2,0.5,1,8888.0,1,30.5,59,0,5,407
7386253,CLASS,27.6,125,988,197,0,126,50.8,5,0,4,2.4,8,224.33333333333334,3,30.0,125,0,2,0
7377296,CLASS,23.344827586206897,243,596,16,3,415,37.37931034482759,29,0,27,9.03448275862069,86,3865.3333333333335,6,32.37931034482759,243,2,1,128
7374778,CLASS,20.428571428571427,104,427,38,0,87,36.714285714285715,7,0,6,8.0,32,4171.666666666667,3,28.428571428571427,104,0,8,158
6785826,CLASS,220.85714285714286,1469,154,22,0,1487,35.0,7,0,7,8.428571428571429,36,61.0,1,229.28571428571428,1469,0,11,0
6825782,CLASS,35.07692307692308,181,2412,184,0,216,36.0,13,0,13,18.46153846153846,205,512.2,5,53.53846153846154,212,0,5,17
6820808,CLASS,27.696969696969695,167,1457,14,13,1152,95.52525252525253,99,0,39,16.060606060606062,140,446.875,8,43.75757575757576,307,4,2,15
6836240,CLASS,25.0,50,632,253,0,49,58.5,2,0,2,0.5,1,195.5,2,25.5,50,0,5,126
6832744,CLASS,13.857142857142858,65,1072,41,2,189,41.857142857142854,21,0,19,4.857142857142857,26,244.6,5,18.714285714285715,69,1,8,209
6847809,CLASS,18.0,35,1135,70,0,35,57.5,2,0,2,0.5,1,33.0,1,18.5,35,1,2,994
7410927,CLASS,27.3,247,3186,310,2,252,42.2,10,0,9,2.1,12,340.8,5,29.4,247,1,2,77
6841877,CLASS,43.0,43,127,0,0,43,76.0,1,0,1,0.0,0,294.0,1,43.0,43,0,1,127
7423016,CLASS,69.32352941176471,1073,360,10,5,2033,51.55882352941177,34,0,23,9.529411764705882,68,980.1428571428571,7,78.8529411764706,1073,1,1,3
6800794,CLASS,13.025641025641026,233,3426,80,8,312,88.8974358974359,39,0,36,5.0256410256410255,70,451.75,16,18.05128205128205,233,2,13,268
6810674,CLASS,42.0,83,2436,878,0,84,29.5,2,0,2,0.0,0,17.0,2,42.0,83,0,3,680
6861082,CLASS,32.5,64,1135,70,0,64,57.5,2,0,2,0.5,1,33.0,1,33.0,64,1,1,994
7428271,CLASS,15.979166666666666,443,2614,27,8,633,64.55208333333333,96,0,78,9.385416666666666,165,1027.2777777777778,18,25.364583333333332,443,3,2,22
7452272,CLASS,5.8,60,2653,42,6,0,83.48333333333333,60,0,49,5.8,57,1309.5555555555557,9,11.6,60,3,2,74
7457996,CLASS,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218
7457519,CLASS,12.0,12,218,0,0,12,60.0,1,0,1,0.0,0,223.0,1,12.0,12,0,3,218
7460703,CLASS,4.9375,60,2653,39,7,84,78.25,64,0,51,3.625,25,1412.6363636363637,11,8.5625,60,2,7,116
7476496,CLASS,12.0,12,218,0,0,12,60.0,1,0,1,0.0,0,223.0,1,12.0,12,0,3,218
7465309,CLASS,39.06666666666667,780,465,15,4,813,49.166666666666664,30,0,22,11.966666666666667,127,1388.125,8,51.03333333333333,780,1,1,2
7447081,CLASS,36.857142857142854,248,612,43,0,396,54.285714285714285,14,0,10,8.571428571428571,51,468.0,4,45.42857142857143,299,0,27,0
