SampleId,SampleType,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations
5923532,CLASS,0.0,27,0.0,0,0,0,2,0,0,0,4,4,1.0,2,12,0
5938889,CLASS,0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0
5935402,CLASS,0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0
5971146,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002683,CLASS,0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0
6005399,CLASS,0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8
6009975,CLASS,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009432,CLASS,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0
6012953,CLASS,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0
6025409,CLASS,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0
6051731,CLASS,0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0
6073506,CLASS,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0
6079026,CLASS,1.8072289156626506,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0
6115582,CLASS,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0
6179479,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
6181780,CLASS,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0
6183095,CLASS,0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0
6192975,CLASS,0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0
6197424,CLASS,0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.16666666666666666,12,12,0
6207228,CLASS,0.0,70,0.0,3,0,0,9,1,0,4,10,6,0.5555555555555556,9,17,0
6213525,CLASS,0.0,23,0.0,0,0,0,2,0,0,1,4,4,1.0,2,3,0
6216254,CLASS,0.0,151,0.0,1,0,0,20,0,0,0,40,39,0.95,20,35,0
6221911,CLASS,0.0,14,0.0,0,0,0,2,0,0,0,3,3,1.0,1,12,0
6235781,CLASS,0.0,126,0.0,5,0,0,16,0,1,4,17,12,0.6875,7,64,3
6239751,CLASS,0.0,83,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,2,54,0
6245494,CLASS,0.0,56,0.0,6,0,0,10,2,0,4,12,2,0.2,10,14,0
6257015,CLASS,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0
6263358,CLASS,0.0,113,0.0,3,0,0,11,3,0,3,18,9,0.45454545454545453,11,18,0
6328141,CLASS,0.0,32,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0
6328547,CLASS,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
6306158,CLASS,0.0,70,0.0,0,0,0,6,0,3,0,16,16,1.0,6,49,0
6329919,CLASS,1.953125,256,0.0,0,5,0,13,0,0,1,32,32,1.0,10,201,0
6312810,CLASS,0.0,23,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0
6340836,CLASS,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0
6357053,CLASS,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0
6432897,CLASS,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6452606,CLASS,0.0,55,0.0,0,0,0,2,0,0,0,5,5,1.0,0,4,0
6458155,CLASS,0.0,27,0.0,0,0,0,2,0,1,1,3,3,1.0,2,8,0
6446491,CLASS,0.0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6466237,CLASS,0.0,19,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0
6445346,CLASS,0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,15,0
6464947,CLASS,0.0,22,0.0,0,0,0,1,0,0,0,2,2,1.0,0,6,0
6493535,CLASS,0.0,79,0.0,0,0,0,4,0,0,1,15,15,1.0,4,26,0
6494643,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6503132,CLASS,0.0,31,0.0,2,0,0,4,0,0,0,7,5,0.5,4,13,0
6511935,CLASS,0.7194244604316546,139,0.7194244604316546,0,1,1,6,0,0,1,16,16,1.0,2,98,0
6470701,CLASS,0.0,75,0.0,1,0,0,8,0,0,0,15,14,0.875,1,28,0
6519143,CLASS,0.0,19,0.0,4,0,0,4,0,0,0,4,0,0.0,4,4,0
6522495,CLASS,0.0,39,0.0,4,0,0,5,0,0,3,5,1,0.2,5,5,0
6483192,CLASS,0.0,111,0.0,0,0,0,3,0,1,0,23,23,1.0,1,38,0
6546542,CLASS,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6535592,CLASS,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,5,0
6520782,CLASS,0.0,65,0.0,0,0,0,4,0,0,2,16,16,1.0,1,32,0
6546066,CLASS,0.0,26,0.0,0,0,0,3,0,0,0,5,5,1.0,2,11,1
6623354,CLASS,0.0,68,0.0,0,0,0,4,0,0,5,11,11,1.0,1,30,7
6513676,CLASS,0.0,182,0.0,3,0,0,9,0,1,9,32,29,0.6666666666666666,6,65,0
6605811,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
6634791,CLASS,0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0
6772589,CLASS,0.0,174,0.0,4,0,0,30,0,2,0,34,30,0.8666666666666667,30,43,0
6159926,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6624209,CLASS,4.838709677419355,124,0.0,0,6,0,5,0,0,4,18,18,1.0,3,80,0
6866681,CLASS,0.0,32,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,4,11,0
6913242,CLASS,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0
6897923,CLASS,0.0,37,2.7027027027027026,1,0,1,4,0,0,3,7,5,0.75,2,11,0
6725492,CLASS,0.0,180,0.0,13,0,0,33,0,2,0,37,24,0.6060606060606061,33,46,0
6890147,CLASS,0.0,13,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0
6893505,CLASS,2.0134228187919465,149,2.0134228187919465,0,3,3,10,1,0,0,28,27,0.9,8,58,0
6920729,CLASS,0.0,90,0.0,7,0,0,14,0,0,0,20,13,0.5,13,35,0
6984118,CLASS,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0
6940330,CLASS,0.0,16,0.0,2,0,0,2,0,0,1,2,0,0.0,2,2,0
6988534,CLASS,0.0,239,0.0,0,0,0,1,0,0,0,1,1,1.0,1,235,0
6921656,CLASS,0.0,38,0.0,2,0,0,5,0,0,1,8,6,0.6,3,11,0
7002598,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6985869,CLASS,0.0,56,0.0,0,0,0,21,0,0,1,21,21,1.0,18,28,0
7022531,CLASS,0.0,34,0.0,0,0,0,0,0,16,0,0,0,0,0,0,0
7027539,CLASS,0.0,126,0.0,3,0,0,15,2,0,3,35,30,0.6666666666666666,15,26,0
6977949,CLASS,0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,0,5,0
6917283,CLASS,0.0,303,0.0,21,0,0,44,2,1,2,67,44,0.4772727272727273,44,55,0
7074847,CLASS,0.0,21,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,1,6,0
7048370,CLASS,0.0,59,0.0,0,0,0,3,0,0,5,16,16,1.0,3,24,0
7071931,CLASS,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,8,0
7037560,CLASS,0.0,1461,0.0,6,0,0,40,7,3,1,381,365,0.675,35,677,0
7076084,CLASS,0.0,18,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0
7056354,CLASS,0.0,83,0.0,0,0,0,5,0,0,0,16,16,1.0,4,10,0
7075575,CLASS,0.0,282,0.0,8,0,0,22,1,0,5,76,49,0.5909090909090909,1,83,2
7047868,CLASS,0.0,1111,0.0,0,0,0,22,0,2,17,290,290,1.0,17,665,0
7077189,CLASS,0.0,17,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0
7075624,CLASS,0.0,39,0.0,2,0,0,4,0,0,2,4,2,0.5,4,7,0
7120318,CLASS,0.0,313,0.0,16,0,0,37,0,10,8,56,39,0.5675675675675675,27,100,12
7084780,CLASS,0.0,78,0.0,4,0,0,12,0,0,0,20,16,0.6666666666666666,12,29,0
7148614,CLASS,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0
7137862,CLASS,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0
7165732,CLASS,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0
7140272,CLASS,0.0,11,0.0,0,0,0,1,0,0,0,4,4,1.0,1,8,0
7149120,CLASS,0.0,39,0.0,1,0,0,5,0,1,1,6,5,0.8,5,19,0
7161125,CLASS,0.0,22,0.0,0,0,0,3,0,0,1,6,6,1.0,3,7,0
7160140,CLASS,0.0,70,0.0,5,0,0,11,2,0,5,13,6,0.36363636363636365,11,19,0
7183873,CLASS,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0
7196708,CLASS,0.0,21,0.0,0,0,0,3,1,0,1,3,2,0.6666666666666666,3,8,0
7198305,CLASS,0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,1,7,0
7155743,CLASS,0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0
7198779,CLASS,0.0,83,0.0,0,0,0,9,7,0,8,9,2,0.2222222222222222,9,25,8
7201007,CLASS,0.0,59,0.0,0,0,0,4,0,0,1,13,13,1.0,4,52,0
7200142,CLASS,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,5,0
7204450,CLASS,0.0,168,0.0,1,0,0,17,14,0,16,17,2,0.11764705882352941,17,47,16
7210083,CLASS,0.0,14,0.0,0,0,0,2,1,0,0,2,1,0.5,0,2,0
7204626,CLASS,0.0,247,0.0,0,0,0,122,0,0,0,122,122,1.0,0,122,0
7405705,CLASS,0.0,30,0.0,2,0,0,5,0,0,0,5,3,0.6,3,5,0
7228058,CLASS,0.0,238,0.0,1,0,0,16,1,0,0,42,40,0.875,11,33,2
7214444,CLASS,0.0,61,0.0,0,0,0,27,0,0,0,27,27,1.0,0,29,0
7237730,CLASS,0.0,60,0.0,2,0,0,6,0,0,5,9,7,0.6666666666666666,5,14,0
7243958,CLASS,0.0,247,0.0,7,0,0,21,5,0,7,43,31,0.42857142857142855,21,80,8
7269783,CLASS,0.0,18,0.0,0,0,0,1,0,1,3,2,2,1.0,1,2,0
7239385,CLASS,0.0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7272444,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7290109,CLASS,0.0,72,0.0,3,0,0,11,1,0,4,12,8,0.6363636363636364,9,19,0
7293098,CLASS,0.0,79,0.0,0,0,0,6,0,0,1,12,12,1.0,4,34,0
7274207,CLASS,0.0,108,0.0,1,0,0,15,0,0,4,24,23,0.9333333333333333,2,37,0
7307669,CLASS,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0
7277560,CLASS,0.0,72,0.0,1,0,0,5,0,0,5,12,11,0.8,3,58,0
7294593,CLASS,0.0,104,0.0,1,0,0,7,0,0,3,19,18,0.8571428571428571,5,21,0
7358376,CLASS,0.0,26,0.0,0,0,0,0,0,9,1,0,0,0,0,0,0
7211700,CLASS,0.0,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7327189,CLASS,0.0,293,0.0,1,0,0,22,0,0,12,49,48,0.9545454545454546,18,106,0
7257331,CLASS,0.0,91,0.0,0,0,0,6,0,0,10,12,12,1.0,2,30,0
7356708,CLASS,0.0,180,0.0,0,0,0,29,0,0,2,29,29,1.0,29,70,0
7369780,CLASS,0.0,131,0.0,13,0,0,25,12,0,12,25,0,0.0,25,26,0
7356904,CLASS,0.0,32,0.0,1,0,0,3,1,0,0,5,3,0.3333333333333333,3,7,0
7373964,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7373999,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7375884,CLASS,0.0,26,0.0,2,0,0,3,0,0,1,4,2,0.3333333333333333,2,5,0
7386253,CLASS,0.0,40,0.0,7,0,0,8,0,0,1,8,1,0.125,8,9,0
7377296,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7374778,CLASS,0.0,31,0.0,0,0,0,4,0,0,1,4,4,1.0,0,9,0
6785826,CLASS,0.0,603,0.0,60,0,0,127,0,2,0,131,71,0.5275590551181102,127,140,0
6825782,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
6820808,CLASS,0.0,11,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0
6836240,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
6832744,CLASS,0.9803921568627451,102,0.0,2,1,0,12,0,0,1,18,16,0.8333333333333334,6,37,5
6847809,CLASS,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0
7410927,CLASS,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0
6841877,CLASS,0.0,18,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,4
7423016,CLASS,0.0,29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6800794,CLASS,0.0,191,0.0,1,0,0,16,0,0,1,43,42,0.9375,7,68,0
6810674,CLASS,0.0,39,0.0,0,0,0,2,0,0,1,5,5,1.0,2,17,0
6861082,CLASS,0.0,19,0.0,0,0,0,1,0,0,3,1,1,1.0,1,4,0
7428271,CLASS,0.0,21,0.0,0,0,0,1,0,1,1,1,1,1.0,1,4,1
7452272,CLASS,0.0,16,0.0,0,0,0,1,0,1,0,1,1,1.0,1,8,0
7457996,CLASS,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2
7457519,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7460703,CLASS,0.0,33,0.0,0,0,0,2,0,2,1,2,2,1.0,2,11,1
7476496,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7465309,CLASS,0.0,39,0.0,1,0,0,6,0,0,0,6,5,0.8333333333333334,0,19,0
7447081,CLASS,4.444444444444445,180,0.5555555555555556,3,8,1,18,0,0,9,27,24,0.8333333333333334,6,72,2
7375915,CLASS,1.8867924528301887,106,9.433962264150944,3,2,10,14,0,0,3,20,17,0.7857142857142857,8,38,0
7477969,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468700,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7478608,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7482808,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7482898,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7471737,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7484156,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7481501,CLASS,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2
7501187,CLASS,0.0,30,0.0,3,0,0,4,1,0,3,4,0,0.0,4,4,0
7513430,CLASS,0.0,27,0.0,0,0,0,1,0,1,1,1,1,1.0,1,11,2
7503099,CLASS,0.0,54,0.0,4,0,0,9,0,0,3,9,5,0.5555555555555556,9,16,0
7523283,CLASS,0.0,16,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0
7496363,CLASS,0.0,577,0.0,5,0,0,34,0,1,0,128,123,0.8529411764705882,10,376,0
7539038,CLASS,0.0,18,0.0,3,0,0,4,0,0,0,4,1,0.25,1,4,0
7525557,CLASS,0.0,70,0.0,3,0,0,6,0,0,7,7,4,0.5,0,14,8
7540589,CLASS,0.0,31,0.0,0,0,0,1,0,2,0,16,16,1.0,1,18,0
7549648,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
7553936,CLASS,3.076923076923077,65,0.0,0,2,0,8,3,0,4,12,9,0.625,6,19,0
7548776,CLASS,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0
7591041,CLASS,0.0,30,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0
7576345,CLASS,0.0,34,0.0,4,0,0,4,0,0,3,4,0,0.0,4,5,1
7600324,CLASS,0.0,21,0.0,2,0,0,2,0,0,2,2,0,0.0,2,3,2
7441493,CLASS,0.0,71,0.0,0,0,0,7,0,0,2,9,9,1.0,0,31,0
7586207,CLASS,0.0,67,0.0,0,0,0,4,0,0,3,9,9,1.0,2,25,2
7625447,CLASS,0.0,35,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0
7541111,CLASS,0.0,18,0.0,2,0,0,4,0,0,0,4,2,0.5,4,4,0
7613058,CLASS,0.0,56,0.0,2,0,0,3,0,0,2,11,9,0.3333333333333333,3,14,0
7657534,CLASS,0.0,12,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,1
7633041,CLASS,0.0,13,0.0,0,0,0,1,0,0,0,1,1,1.0,1,4,0
7661107,CLASS,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0
7634280,CLASS,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0
7673002,CLASS,0.0,15,0.0,0,0,0,1,0,0,0,2,2,1.0,1,9,0
8043712,CLASS,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0
7654989,CLASS,0.0,28,0.0,0,0,0,1,0,0,0,2,2,1.0,1,8,2
7716255,CLASS,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0
7726338,CLASS,2.7777777777777777,36,0.0,0,1,0,1,0,0,1,6,6,1.0,1,16,0
7721873,CLASS,0.0,62,0.0,0,0,0,1,0,7,3,1,1,1.0,1,1,0
7718829,CLASS,0.0,30,0.0,0,0,0,2,0,0,1,5,5,1.0,0,9,0
7725777,CLASS,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0
7681481,CLASS,0.0,170,0.0,0,0,0,12,0,0,1,44,44,1.0,4,111,0
7725645,CLASS,0.0,11,0.0,0,0,0,0,0,3,0,0,0,0,0,0,3
7728455,CLASS,0.0,167,0.0,1,0,0,18,0,0,11,21,20,0.9444444444444444,18,48,0
7711363,CLASS,0.0,77,0.0,0,0,0,5,0,0,7,12,12,1.0,4,30,0
7748459,CLASS,0.0,22,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0
7756213,CLASS,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0
7757616,CLASS,0.0,81,0.0,6,0,0,10,0,0,2,18,12,0.4,10,22,0
7757709,CLASS,0.0,185,0.0,0,0,0,8,0,0,11,51,51,1.0,6,82,0
7747098,CLASS,0.0,410,0.0,12,0,0,52,0,0,12,74,62,0.7692307692307693,40,77,0
7777986,CLASS,0.0,20,0.0,1,0,0,4,0,0,0,4,3,0.75,0,5,0
7763705,CLASS,0.0,67,0.0,0,0,0,2,0,0,4,7,7,1.0,2,30,0
7824709,CLASS,0.5319148936170213,188,0.0,2,1,0,15,0,1,1,40,38,0.8666666666666667,8,95,0
7786204,CLASS,0.0,10,0.0,1,0,0,1,0,0,1,1,0,0.0,0,1,1
7856180,CLASS,0.0,18,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0
7834065,CLASS,0.0,27,0.0,0,0,0,2,0,0,0,7,7,1.0,2,10,0
7880048,CLASS,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0
7898105,CLASS,0.0,8,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0
7886991,CLASS,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
7911805,CLASS,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0
7938128,CLASS,0.0,10,0.0,0,0,0,1,0,0,0,3,3,1.0,1,1,0
7938714,CLASS,0.0,36,0.0,0,0,0,1,0,0,0,1,1,1.0,0,19,0
7997794,CLASS,0.0,14,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0
7961905,CLASS,0.0,32,0.0,0,0,0,3,0,0,1,4,4,1.0,3,12,0
8003657,CLASS,0.0,75,0.0,0,0,0,20,0,0,0,20,20,1.0,20,46,0
8009401,CLASS,0.0,284,0.0,3,0,0,10,0,19,1,25,22,0.7,8,92,0
8004086,CLASS,0.0,186,0.0,1,0,0,13,1,0,0,45,42,0.8461538461538461,12,50,0
8026269,CLASS,0.0,46,0.0,2,0,0,8,0,0,1,8,6,0.75,0,16,1
8023829,CLASS,0.0,344,0.0,2,0,0,12,0,0,3,79,77,0.8333333333333334,4,147,0
8049293,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050224,CLASS,0.0,22,0.0,2,0,0,4,1,0,1,4,1,0.25,4,4,0
8049187,CLASS,0.0,57,0.0,5,0,0,14,0,1,0,14,9,0.6428571428571429,5,14,0
8025468,CLASS,0.0,410,0.0,7,0,0,33,0,0,11,83,76,0.7878787878787878,13,157,2
8049118,CLASS,0.0,141,0.0,23,0,0,23,0,0,23,23,0,0.0,23,69,0
8073031,CLASS,0.0,85,0.0,4,0,0,8,0,0,4,13,9,0.5,8,32,0
8089702,CLASS,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0
8082495,CLASS,0.0,52,0.0,3,0,0,5,0,0,0,7,4,0.4,3,5,0
8099651,CLASS,0.0,132,0.0,2,0,0,12,2,0,0,30,24,0.6666666666666666,11,28,0
8155488,CLASS,0.0,50,0.0,0,0,0,1,0,0,0,5,5,1.0,1,35,0
8167612,CLASS,0.0,92,0.0,6,0,0,14,4,0,6,19,9,0.2857142857142857,14,25,0
8198529,CLASS,10.0,20,0.0,0,2,0,2,0,0,0,2,2,1.0,2,12,0
8169113,CLASS,0.0,44,0.0,4,0,0,8,2,0,0,9,3,0.25,8,10,0
8202625,CLASS,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0
8224488,CLASS,0.0,29,0.0,0,0,0,4,1,0,2,5,4,0.75,4,6,0
8213293,CLASS,0.0,22,0.0,4,0,0,4,0,0,0,4,0,0.0,0,4,0
8198711,CLASS,0.0,141,0.0,23,0,0,33,0,0,0,34,11,0.30303030303030304,33,66,0
8212971,CLASS,0.0,5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
8260331,CLASS,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
8229683,CLASS,0.0,103,0.0,0,0,0,5,0,0,0,23,23,1.0,1,40,0
8295955,CLASS,0.0,93,0.0,6,0,0,8,0,0,4,13,6,0.25,2,37,0
8273753,CLASS,0.0,48,0.0,4,0,0,7,0,0,3,7,3,0.42857142857142855,7,12,0
8335195,CLASS,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8284419,CLASS,0.0,52,0.0,3,0,0,6,0,0,3,8,5,0.5,6,7,0
8334291,CLASS,0.0,89,0.0,0,0,0,9,0,0,0,27,27,1.0,9,16,0
8400746,CLASS,0.0,185,0.0,18,0,0,36,18,0,18,36,0,0.0,36,36,0
8423597,CLASS,0.0,40,0.0,4,0,0,7,3,0,3,7,0,0.0,7,7,2
8424426,CLASS,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
8416563,CLASS,0.0,65,0.0,0,0,0,1,0,0,5,8,8,1.0,1,24,4
8428144,CLASS,0.0,166,0.0,0,0,0,9,0,0,1,45,45,1.0,9,67,0
8432331,CLASS,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
3699849,CLASS,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0
3698323,CLASS,0.0,19,0.0,0,0,0,4,0,0,0,5,5,1.0,0,7,0
3700666,CLASS,0.0,785,0.0,13,0,0,78,7,0,10,161,136,0.7435897435897436,71,219,0
3929567,CLASS,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0
3723043,CLASS,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5
3762543,CLASS,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0
3772084,CLASS,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0
