id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageTimeBetweenChanges,Severity
29,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,129,2
30,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,96,0
31,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,38,0
32,0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0,176,0
33,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,14,0
34,1.8072289156626504,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0,13,0
35,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,53,0
36,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,82,0
37,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,53,0
38,0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0,53,1
39,0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0,64,0
40,0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.1666666666666666,12,12,0,69,2
41,0.0,70,0.0,3,0,0,9,1,0,4,10,6,0.5555555555555556,9,17,0,69,2
42,0.0,23,0.0,0,0,0,2,0,0,1,4,4,1.0,2,3,0,49,0
43,0.0,151,0.0,1,0,0,20,0,0,0,40,39,0.95,20,35,0,25,0
44,0.0,14,0.0,0,0,0,2,0,0,0,3,3,1.0,1,12,0,0,0
45,0.0,126,0.0,5,0,0,16,0,1,4,17,12,0.6875,7,64,3,0,0
46,0.0,83,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,2,54,0,84,0
47,0.0,56,0.0,6,0,0,10,2,0,4,12,2,0.2,10,14,0,104,2
48,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,58,2
49,0.0,113,0.0,3,0,0,11,3,0,3,18,9,0.4545454545454545,11,18,0,36,1
50,0.0,32,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,44,0
51,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,147,0
52,0.0,70,0.0,0,0,0,6,0,3,0,16,16,1.0,6,49,0,108,0
53,1.953125,256,0.0,0,5,0,13,0,0,1,32,32,1.0,10,201,0,23,0
54,0.0,23,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,0,0
55,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,79,0
56,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,101,0
57,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,170,0
58,0.0,55,0.0,0,0,0,2,0,0,0,5,5,1.0,0,4,0,33,0
59,0.0,27,0.0,0,0,0,2,0,1,1,3,3,1.0,2,8,0,0,0
60,0.0,10,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,102,0
61,0.0,19,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0,0,0
62,0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,15,0,0,0
63,0.0,22,0.0,0,0,0,1,0,0,0,2,2,1.0,0,6,0,81,0
64,0.0,79,0.0,0,0,0,4,0,0,1,15,15,1.0,4,26,0,230,0
65,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,195,0
66,0.0,31,0.0,2,0,0,4,0,0,0,7,5,0.5,4,13,0,270,0
67,0.7194244604316546,139,0.7194244604316546,0,1,1,6,0,0,1,16,16,1.0,2,98,0,25,0
68,0.0,75,0.0,1,0,0,8,0,0,0,15,14,0.875,1,28,0,33,0
69,0.0,19,0.0,4,0,0,4,0,0,0,4,0,0.0,4,4,0,40,0
70,0.0,39,0.0,4,0,0,5,0,0,3,5,1,0.2,5,5,0,163,0
71,0.0,111,0.0,0,0,0,3,0,1,0,23,23,1.0,1,38,0,50,0
72,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,35,0
73,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,5,0,182,0
74,0.0,65,0.0,0,0,0,4,0,0,2,16,16,1.0,1,32,0,90,0
75,0.0,26,0.0,0,0,0,3,0,0,0,5,5,1.0,2,11,1,0,0
76,0.0,68,0.0,0,0,0,4,0,0,5,11,11,1.0,1,30,7,271,0
77,0.0,182,0.0,3,0,0,9,0,1,9,32,29,0.6666666666666666,6,65,0,0,0
78,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0
79,0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,17,2
80,0.0,174,0.0,4,0,0,30,0,2,0,34,30,0.8666666666666667,30,43,0,18,0
81,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,24,0
82,4.838709677419355,124,0.0,0,6,0,5,0,0,4,18,18,1.0,3,80,0,1,0
83,0.0,32,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,4,11,0,207,0
84,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,113,0
85,0.0,37,2.702702702702702,1,0,1,4,0,0,3,7,5,0.75,2,11,0,183,0
86,0.0,180,0.0,13,0,0,33,0,2,0,37,24,0.6060606060606061,33,46,0,43,0
87,0.0,13,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,350,2
88,2.0134228187919465,149,2.0134228187919465,0,3,3,10,1,0,0,28,27,0.9,8,58,0,17,0
89,0.0,90,0.0,7,0,0,14,0,0,0,20,13,0.5,13,35,0,118,0
90,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,143,0
91,0.0,16,0.0,2,0,0,2,0,0,1,2,0,0.0,2,2,0,167,0
92,0.0,239,0.0,0,0,0,1,0,0,0,1,1,1.0,1,235,0,0,0
93,0.0,38,0.0,2,0,0,5,0,0,1,8,6,0.6,3,11,0,31,0
94,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,11,0
95,0.0,56,0.0,0,0,0,21,0,0,1,21,21,1.0,18,28,0,8,0
96,0.0,34,0.0,0,0,0,0,0,16,0,0,0,0.0,0,0,0,10,0
97,0.0,126,0.0,3,0,0,15,2,0,3,35,30,0.6666666666666666,15,26,0,65,2
98,0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,0,5,0,36,0
99,0.0,303,0.0,21,0,0,44,2,1,2,67,44,0.4772727272727273,44,55,0,36,0
100,0.0,21,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,1,6,0,101,0
101,0.0,59,0.0,0,0,0,3,0,0,5,16,16,1.0,3,24,0,184,0
102,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,8,0,0,0
103,0.0,1461,0.0,6,0,0,40,7,3,1,381,365,0.675,35,677,0,261,0
104,0.0,18,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,43,0
105,0.0,83,0.0,0,0,0,5,0,0,0,16,16,1.0,4,10,0,395,0
106,0.0,282,0.0,8,0,0,22,1,0,5,76,49,0.5909090909090909,1,83,2,242,0
107,0.0,1111,0.0,0,0,0,22,0,2,17,290,290,1.0,17,665,0,82,0
108,0.0,17,0.0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,412,0
109,0.0,39,0.0,2,0,0,4,0,0,2,4,2,0.5,4,7,0,0,0
110,0.0,313,0.0,16,0,0,37,0,10,8,56,39,0.5675675675675675,27,100,12,27,1
111,0.0,78,0.0,4,0,0,12,0,0,0,20,16,0.6666666666666666,12,29,0,0,0
112,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,322,0
113,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0,83,0
114,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,88,0
115,0.0,11,0.0,0,0,0,1,0,0,0,4,4,1.0,1,8,0,0,0
116,0.0,39,0.0,1,0,0,5,0,1,1,6,5,0.8,5,19,0,98,0
117,0.0,22,0.0,0,0,0,3,0,0,1,6,6,1.0,3,7,0,0,0
118,0.0,70,0.0,5,0,0,11,2,0,5,13,6,0.3636363636363636,11,19,0,138,0
119,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,27,0
120,0.0,21,0.0,0,0,0,3,1,0,1,3,2,0.6666666666666666,3,8,0,94,0
121,0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,1,7,0,81,0
122,0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,20,2
123,0.0,83,0.0,0,0,0,9,7,0,8,9,2,0.2222222222222222,9,25,8,62,0
124,0.0,59,0.0,0,0,0,4,0,0,1,13,13,1.0,4,52,0,75,0
125,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,5,0,91,0
126,0.0,168,0.0,1,0,0,17,14,0,16,17,2,0.1176470588235294,17,47,16,10,0
127,0.0,14,0.0,0,0,0,2,1,0,0,2,1,0.5,0,2,0,6,1
128,0.0,247,0.0,0,0,0,122,0,0,0,122,122,1.0,0,122,0,32,0
129,0.0,30,0.0,2,0,0,5,0,0,0,5,3,0.6,3,5,0,104,0
130,0.0,238,0.0,1,0,0,16,1,0,0,42,40,0.875,11,33,2,26,0
131,0.0,61,0.0,0,0,0,27,0,0,0,27,27,1.0,0,29,0,55,0
132,0.0,60,0.0,2,0,0,6,0,0,5,9,7,0.6666666666666666,5,14,0,4,0
133,0.0,247,0.0,7,0,0,21,5,0,7,43,31,0.4285714285714285,21,80,8,78,1
134,0.0,18,0.0,0,0,0,1,0,1,3,2,2,1.0,1,2,0,340,0
135,0.0,11,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,6,3
136,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,552,1
137,0.0,72,0.0,3,0,0,11,1,0,4,12,8,0.6363636363636364,9,19,0,616,0
138,0.0,79,0.0,0,0,0,6,0,0,1,12,12,1.0,4,34,0,16,0
139,0.0,108,0.0,1,0,0,15,0,0,4,24,23,0.9333333333333332,2,37,0,146,0
140,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,105,2
141,0.0,72,0.0,1,0,0,5,0,0,5,12,11,0.8,3,58,0,51,0
142,0.0,104,0.0,1,0,0,7,0,0,3,19,18,0.8571428571428571,5,21,0,546,0
143,0.0,26,0.0,0,0,0,0,0,9,1,0,0,0.0,0,0,0,2,0
144,0.0,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,30,0
145,0.0,293,0.0,1,0,0,22,0,0,12,49,48,0.9545454545454546,18,106,0,2,0
146,0.0,91,0.0,0,0,0,6,0,0,10,12,12,1.0,2,30,0,297,0
147,0.0,180,0.0,0,0,0,29,0,0,2,29,29,1.0,29,70,0,2,0
148,0.0,131,0.0,13,0,0,25,12,0,12,25,0,0.0,25,26,0,10,2
149,0.0,32,0.0,1,0,0,3,1,0,0,5,3,0.3333333333333333,3,7,0,2,0
150,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,73,0
151,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,73,0
152,0.0,26,0.0,2,0,0,3,0,0,1,4,2,0.3333333333333333,2,5,0,7,1
153,0.0,40,0.0,7,0,0,8,0,0,1,8,1,0.125,8,9,0,197,0
154,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,16,0
155,0.0,31,0.0,0,0,0,4,0,0,1,4,4,1.0,0,9,0,38,0
156,0.0,603,0.0,60,0,0,127,0,2,0,131,71,0.5275590551181102,127,140,0,22,2
157,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,184,0
158,0.0,11,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,14,0
159,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,253,0
160,0.9803921568627452,102,0.0,2,1,0,12,0,0,1,18,16,0.8333333333333334,6,37,5,41,0
161,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,70,0
162,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,310,0
163,0.0,18,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,4,0,0
164,0.0,29,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,1
165,0.0,191,0.0,1,0,0,16,0,0,1,43,42,0.9375,7,68,0,80,0
166,0.0,39,0.0,0,0,0,2,0,0,1,5,5,1.0,2,17,0,878,0
167,0.0,19,0.0,0,0,0,1,0,0,3,1,1,1.0,1,4,0,70,0
168,0.0,21,0.0,0,0,0,1,0,1,1,1,1,1.0,1,4,1,27,0
169,0.0,16,0.0,0,0,0,1,0,1,0,1,1,1.0,1,8,0,42,0
170,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,0,2
171,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,0
172,0.0,33,0.0,0,0,0,2,0,2,1,2,2,1.0,2,11,1,39,0
173,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,0
174,0.0,39,0.0,1,0,0,6,0,0,0,6,5,0.8333333333333334,0,19,0,15,0
175,4.444444444444445,180,0.5555555555555556,3,8,1,18,0,0,9,27,24,0.8333333333333334,6,72,2,43,0
176,1.8867924528301887,106,9.433962264150944,3,2,10,14,0,0,3,20,17,0.7857142857142857,8,38,0,19,0
177,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
178,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,0
179,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
180,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
181,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
182,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,0
183,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
184,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,0,1
185,0.0,30,0.0,3,0,0,4,1,0,3,4,0,0.0,4,4,0,248,2
186,0.0,27,0.0,0,0,0,1,0,1,1,1,1,1.0,1,11,2,10,0
187,0.0,54,0.0,4,0,0,9,0,0,3,9,5,0.5555555555555556,9,16,0,77,0
188,0.0,16,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,0,1
189,0.0,577,0.0,5,0,0,34,0,1,0,128,123,0.8529411764705882,10,376,0,3,0
190,0.0,18,0.0,3,0,0,4,0,0,0,4,1,0.25,1,4,0,134,0
191,0.0,70,0.0,3,0,0,6,0,0,7,7,4,0.5,0,14,8,56,0
192,0.0,31,0.0,0,0,0,1,0,2,0,16,16,1.0,1,18,0,82,0
193,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,165,0
194,3.076923076923077,65,0.0,0,2,0,8,3,0,4,12,9,0.625,6,19,0,142,0
195,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,427,2
196,0.0,30,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0,14,0
197,0.0,34,0.0,4,0,0,4,0,0,3,4,0,0.0,4,5,1,137,0
198,0.0,21,0.0,2,0,0,2,0,0,2,2,0,0.0,2,3,2,2,1
199,0.0,71,0.0,0,0,0,7,0,0,2,9,9,1.0,0,31,0,11,0
200,0.0,67,0.0,0,0,0,4,0,0,3,9,9,1.0,2,25,2,226,0
201,0.0,35,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,25,2
202,0.0,18,0.0,2,0,0,4,0,0,0,4,2,0.5,4,4,0,134,0
203,0.0,56,0.0,2,0,0,3,0,0,2,11,9,0.3333333333333333,3,14,0,21,0
204,0.0,12,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,1,38,0
205,0.0,13,0.0,0,0,0,1,0,0,0,1,1,1.0,1,4,0,412,0
206,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,68,0
207,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,1238,0
208,0.0,15,0.0,0,0,0,1,0,0,0,2,2,1.0,1,9,0,0,0
209,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,64,0
210,0.0,28,0.0,0,0,0,1,0,0,0,2,2,1.0,1,8,2,108,0
211,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,27,0
212,2.7777777777777777,36,0.0,0,1,0,1,0,0,1,6,6,1.0,1,16,0,0,0
213,0.0,62,0.0,0,0,0,1,0,7,3,1,1,1.0,1,1,0,51,0
214,0.0,30,0.0,0,0,0,2,0,0,1,5,5,1.0,0,9,0,49,0
215,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,67,2
216,0.0,170,0.0,0,0,0,12,0,0,1,44,44,1.0,4,111,0,12,0
217,0.0,11,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,3,8,2
218,0.0,167,0.0,1,0,0,18,0,0,11,21,20,0.9444444444444444,18,48,0,4,0
219,0.0,77,0.0,0,0,0,5,0,0,7,12,12,1.0,4,30,0,57,0
220,0.0,22,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,59,0
221,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,108,0
222,0.0,81,0.0,6,0,0,10,0,0,2,18,12,0.4,10,22,0,71,0
223,0.0,185,0.0,0,0,0,8,0,0,11,51,51,1.0,6,82,0,31,0
224,0.0,410,0.0,12,0,0,52,0,0,12,74,62,0.7692307692307693,40,77,0,47,0
225,0.0,20,0.0,1,0,0,4,0,0,0,4,3,0.75,0,5,0,84,0
226,0.0,67,0.0,0,0,0,2,0,0,4,7,7,1.0,2,30,0,118,0
227,0.5319148936170213,188,0.0,2,1,0,15,0,1,1,40,38,0.8666666666666667,8,95,0,21,0
228,0.0,10,0.0,1,0,0,1,0,0,1,1,0,0.0,0,1,1,134,0
229,0.0,18,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,115,0
230,0.0,27,0.0,0,0,0,2,0,0,0,7,7,1.0,2,10,0,92,0
231,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,44,0
232,0.0,8,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,132,0
233,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,60,0
234,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,83,0
235,0.0,10,0.0,0,0,0,1,0,0,0,3,3,1.0,1,1,0,322,0
236,0.0,36,0.0,0,0,0,1,0,0,0,1,1,1.0,0,19,0,223,0
237,0.0,14,0.0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,78,0
238,0.0,32,0.0,0,0,0,3,0,0,1,4,4,1.0,3,12,0,118,0
239,0.0,75,0.0,0,0,0,20,0,0,0,20,20,1.0,20,46,0,110,0
240,0.0,284,0.0,3,0,0,10,0,19,1,25,22,0.7,8,92,0,21,0
241,0.0,186,0.0,1,0,0,13,1,0,0,45,42,0.8461538461538461,12,50,0,21,0
242,0.0,46,0.0,2,0,0,8,0,0,1,8,6,0.75,0,16,1,447,0
243,0.0,344,0.0,2,0,0,12,0,0,3,79,77,0.8333333333333334,4,147,0,40,0
244,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,49,0
245,0.0,22,0.0,2,0,0,4,1,0,1,4,1,0.25,4,4,0,775,0
246,0.0,57,0.0,5,0,0,14,0,1,0,14,9,0.6428571428571429,5,14,0,281,0
247,0.0,410,0.0,7,0,0,33,0,0,11,83,76,0.7878787878787878,13,157,2,83,0
248,0.0,141,0.0,23,0,0,23,0,0,23,23,0,0.0,23,69,0,24,1
249,0.0,85,0.0,4,0,0,8,0,0,4,13,9,0.5,8,32,0,11,0
250,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,9,0
251,0.0,52,0.0,3,0,0,5,0,0,0,7,4,0.4,3,5,0,59,0
252,0.0,132,0.0,2,0,0,12,2,0,0,30,24,0.6666666666666666,11,28,0,12,1
253,0.0,50,0.0,0,0,0,1,0,0,0,5,5,1.0,1,35,0,49,0
254,0.0,92,0.0,6,0,0,14,4,0,6,19,9,0.2857142857142857,14,25,0,226,0
255,10.0,20,0.0,0,2,0,2,0,0,0,2,2,1.0,2,12,0,192,0
256,0.0,44,0.0,4,0,0,8,2,0,0,9,3,0.25,8,10,0,397,2
257,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0
258,0.0,29,0.0,0,0,0,4,1,0,2,5,4,0.75,4,6,0,42,0
259,0.0,22,0.0,4,0,0,4,0,0,0,4,0,0.0,0,4,0,589,0
260,0.0,141,0.0,23,0,0,33,0,0,0,34,11,0.303030303030303,33,66,0,0,0
261,0.0,5,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0
262,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0
263,0.0,103,0.0,0,0,0,5,0,0,0,23,23,1.0,1,40,0,25,0
264,0.0,93,0.0,6,0,0,8,0,0,4,13,6,0.25,2,37,0,68,0
265,0.0,48,0.0,4,0,0,7,0,0,3,7,3,0.4285714285714285,7,12,0,121,1
266,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
267,0.0,52,0.0,3,0,0,6,0,0,3,8,5,0.5,6,7,0,133,0
268,0.0,89,0.0,0,0,0,9,0,0,0,27,27,1.0,9,16,0,973,0
269,0.0,185,0.0,18,0,0,36,18,0,18,36,0,0.0,36,36,0,231,2
270,0.0,40,0.0,4,0,0,7,3,0,3,7,0,0.0,7,7,2,1046,0
271,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,37,0
272,0.0,65,0.0,0,0,0,1,0,0,5,8,8,1.0,1,24,4,101,0
273,0.0,166,0.0,0,0,0,9,0,0,1,45,45,1.0,9,67,0,219,0
274,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,292,0
275,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,2,0
276,0.0,19,0.0,0,0,0,4,0,0,0,5,5,1.0,0,7,0,0,0
277,0.0,785,0.0,13,0,0,78,7,0,10,161,136,0.7435897435897436,71,219,0,161,1
278,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,42,0
279,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5,46,3
280,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,67,0
281,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,0
282,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,204,0
283,0.0,40,0.0,0,0,0,2,0,0,2,8,8,1.0,2,15,0,442,0
284,0.0,59,0.0,0,0,0,3,0,2,3,7,7,1.0,2,32,0,143,0
285,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,871,0
286,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,12,0,42,0
287,0.0,25,0.0,0,0,0,2,0,0,1,3,3,1.0,1,19,1,177,0
288,0.0,183,0.0,11,0,0,31,0,0,2,34,23,0.6451612903225806,30,36,0,46,0
289,0.0,18,0.0,0,0,0,2,0,0,1,2,2,1.0,2,4,0,162,0
290,0.0,13,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,110,1
291,0.0,33,0.0,4,0,0,5,0,0,1,5,1,0.2,5,5,0,0,1
292,0.0,44,0.0,0,0,0,2,0,0,1,8,8,1.0,1,17,0,28,0
293,0.0,44,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,1,15,2
294,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,239,0
295,0.0,86,0.0,0,0,0,1,0,0,1,15,15,1.0,1,43,0,76,0
296,0.0,35,0.0,0,0,0,1,0,0,1,6,6,1.0,1,22,0,422,0
297,16.86046511627907,172,5.232558139534884,0,29,9,10,1,0,5,22,21,0.9,8,134,0,60,0
298,0.0,80,0.0,1,0,0,7,0,0,0,13,12,0.8571428571428571,4,31,0,204,0
