id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,NumberOfBugFixes,MeanCommitMessageLength,NumberOfRevisions,DaysWithCommits,NumberOfRefactorings,Severity
131,0.0,61,0.0,0,0,0,27,0,0,0,27,27,1.0,0,29,0,12,52.9,70,54,4,0
132,0.0,60,0.0,2,0,0,6,0,0,5,9,7,0.6666666666666666,5,14,0,1,38.125,16,8,3,0
133,0.0,247,0.0,7,0,0,21,5,0,7,43,31,0.4285714285714285,21,80,8,1,76.16666666666667,12,9,2,1
134,0.0,18,0.0,0,0,0,1,0,1,3,2,2,1.0,1,2,0,2,47.45454545454545,11,8,1,0
135,0.0,11,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,50.15384615384615,13,8,0,3
136,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1,35.42857142857143,7,6,0,1
137,0.0,72,0.0,3,0,0,11,1,0,4,12,8,0.6363636363636364,9,19,0,0,51.25,4,4,0,0
138,0.0,79,0.0,0,0,0,6,0,0,1,12,12,1.0,4,34,0,4,57.04,50,28,3,0
139,0.0,108,0.0,1,0,0,15,0,0,4,24,23,0.9333333333333332,2,37,0,3,54.888888888888886,9,8,0,0
140,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,0,74.5,4,4,0,2
141,0.0,72,0.0,1,0,0,5,0,0,5,12,11,0.8,3,58,0,1,35.2,15,13,0,0
142,0.0,104,0.0,1,0,0,7,0,0,3,19,18,0.8571428571428571,5,21,0,0,80.0,4,4,0,0
143,0.0,26,0.0,0,0,0,0,0,9,1,0,0,0.0,0,0,0,1,18.5,2,2,0,0
144,0.0,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34.0,7,7,0,0
145,0.0,293,0.0,1,0,0,22,0,0,12,49,48,0.9545454545454546,18,106,0,1,18.5,2,2,0,0
146,0.0,91,0.0,0,0,0,6,0,0,10,12,12,1.0,2,30,0,1,47.38461538461539,13,10,1,0
147,0.0,180,0.0,0,0,0,29,0,0,2,29,29,1.0,29,70,0,1,18.5,2,2,0,0
148,0.0,131,0.0,13,0,0,25,12,0,12,25,0,0.0,25,26,0,9,39.19597989949749,199,147,3,2
149,0.0,32,0.0,1,0,0,3,1,0,0,5,3,0.3333333333333333,3,7,0,1,18.5,2,2,0,0
150,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2,33.5,22,16,1,0
151,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1,34.63636363636363,22,16,0,0
152,0.0,26,0.0,2,0,0,3,0,0,1,4,2,0.3333333333333333,2,5,0,0,48.5,2,2,0,1
153,0.0,40,0.0,7,0,0,8,0,0,1,8,1,0.125,8,9,0,0,50.8,5,4,0,0
154,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,3,37.37931034482759,29,27,2,0
155,0.0,31,0.0,0,0,0,4,0,0,1,4,4,1.0,0,9,0,0,36.71428571428572,7,6,0,0
156,0.0,603,0.0,60,0,0,127,0,2,0,131,71,0.5275590551181102,127,140,0,0,35.0,7,7,0,2
157,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,36.0,13,13,0,0
158,0.0,11,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,13,95.52525252525253,99,39,4,0
159,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,58.5,2,2,0,0
160,0.9803921568627452,102,0.0,2,1,0,12,0,0,1,18,16,0.8333333333333334,6,37,5,2,41.85714285714285,21,19,1,0
161,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,0,57.5,2,2,1,0
162,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,2,42.2,10,9,1,0
163,0.0,18,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,4,0,76.0,1,1,0,0
164,0.0,29,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,51.55882352941177,34,23,1,1
165,0.0,191,0.0,1,0,0,16,0,0,1,43,42,0.9375,7,68,0,8,88.8974358974359,39,36,2,0
166,0.0,39,0.0,0,0,0,2,0,0,1,5,5,1.0,2,17,0,0,29.5,2,2,0,0
167,0.0,19,0.0,0,0,0,1,0,0,3,1,1,1.0,1,4,0,0,57.5,2,2,1,0
168,0.0,21,0.0,0,0,0,1,0,1,1,1,1,1.0,1,4,1,8,64.55208333333333,96,78,3,0
169,0.0,16,0.0,0,0,0,1,0,1,0,1,1,1.0,1,8,0,6,83.48333333333333,60,49,3,0
170,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,0,60.0,1,1,0,2
171,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,60.0,1,1,0,0
172,0.0,33,0.0,0,0,0,2,0,2,1,2,2,1.0,2,11,1,7,78.25,64,51,2,0
173,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,60.0,1,1,0,0
174,0.0,39,0.0,1,0,0,6,0,0,0,6,5,0.8333333333333334,0,19,0,4,49.16666666666666,30,22,1,0
175,4.444444444444445,180,0.5555555555555556,3,8,1,18,0,0,9,27,24,0.8333333333333334,6,72,2,0,54.285714285714285,14,10,0,0
176,1.8867924528301887,106,9.433962264150944,3,2,10,14,0,0,3,20,17,0.7857142857142857,8,38,0,0,34.9,10,8,0,0
177,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60.0,1,1,0,0
178,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,60.0,1,1,0,0
179,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60.0,1,1,0,0
180,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60.0,1,1,0,0
181,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60.0,1,1,0,0
182,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,0,60.0,1,1,0,0
183,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,60.0,1,1,0,0
184,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,0,60.0,1,1,0,1
185,0.0,30,0.0,3,0,0,4,1,0,3,4,0,0.0,4,4,0,0,53.2,10,10,0,2
186,0.0,27,0.0,0,0,0,1,0,1,1,1,1,1.0,1,11,2,0,43.75,4,3,0,0
187,0.0,54,0.0,4,0,0,9,0,0,3,9,5,0.5555555555555556,9,16,0,0,49.45454545454545,11,8,0,0
188,0.0,16,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,0,47.0,1,1,0,1
189,0.0,577,0.0,5,0,0,34,0,1,0,128,123,0.8529411764705882,10,376,0,63,74.00877192982456,684,405,20,0
190,0.0,18,0.0,3,0,0,4,0,0,0,4,1,0.25,1,4,0,0,13.666666666666666,3,3,0,0
191,0.0,70,0.0,3,0,0,6,0,0,7,7,4,0.5,0,14,8,0,30.166666666666668,6,6,1,0
192,0.0,31,0.0,0,0,0,1,0,2,0,16,16,1.0,1,18,0,1,31.3,10,10,0,0
193,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2,61.8,25,18,0,0
194,3.076923076923077,65,0.0,0,2,0,8,3,0,4,12,9,0.625,6,19,0,5,41.1764705882353,17,17,0,0
195,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,2,31.0,4,4,0,2
196,0.0,30,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0,7,42.6875,64,51,7,0
197,0.0,34,0.0,4,0,0,4,0,0,3,4,0,0.0,4,5,1,2,62.04,25,24,1,0
198,0.0,21,0.0,2,0,0,2,0,0,2,2,0,0.0,2,3,2,0,45.5,2,2,0,1
199,0.0,71,0.0,0,0,0,7,0,0,2,9,9,1.0,0,31,0,1,34.333333333333336,6,5,0,0
200,0.0,67,0.0,0,0,0,4,0,0,3,9,9,1.0,2,25,2,0,40.25,8,7,0,0
201,0.0,35,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,0,27.857142857142858,14,13,1,2
202,0.0,18,0.0,2,0,0,4,0,0,0,4,2,0.5,4,4,0,0,13.666666666666666,3,3,0,0
203,0.0,56,0.0,2,0,0,3,0,0,2,11,9,0.3333333333333333,3,14,0,2,47.59375,32,23,2,0
204,0.0,12,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,1,0,25.63636363636364,22,17,0,0
205,0.0,13,0.0,0,0,0,1,0,0,0,1,1,1.0,1,4,0,0,62.16666666666666,6,5,0,0
206,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,0,27.33333333333333,9,8,1,0
207,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,0,42.0,2,2,0,0
208,0.0,15,0.0,0,0,0,1,0,0,0,2,2,1.0,1,9,0,0,19.0,1,1,0,0
209,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,0,52.75,4,4,0,0
210,0.0,28,0.0,0,0,0,1,0,0,0,2,2,1.0,1,8,2,0,51.2,10,9,0,0
211,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,1,42.85714285714285,7,6,3,0
212,2.7777777777777777,36,0.0,0,1,0,1,0,0,1,6,6,1.0,1,16,0,0,37.0,1,1,0,0
213,0.0,62,0.0,0,0,0,1,0,7,3,1,1,1.0,1,1,0,0,27.75,4,4,0,0
214,0.0,30,0.0,0,0,0,2,0,0,1,5,5,1.0,0,9,0,1,58.75,16,15,0,0
215,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,45.333333333333336,6,6,0,2
216,0.0,170,0.0,0,0,0,12,0,0,1,44,44,1.0,4,111,0,0,42.625,8,7,0,0
217,0.0,11,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,3,0,27.33333333333333,3,3,0,2
218,0.0,167,0.0,1,0,0,18,0,0,11,21,20,0.9444444444444444,18,48,0,0,39.5,2,2,0,0
219,0.0,77,0.0,0,0,0,5,0,0,7,12,12,1.0,4,30,0,1,52.57142857142857,7,7,0,0
220,0.0,22,0.0,1,0,0,1,0,1,0,1,0,0.0,1,3,0,2,52.888888888888886,9,7,0,0
221,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,1,79.33333333333333,15,11,2,0
222,0.0,81,0.0,6,0,0,10,0,0,2,18,12,0.4,10,22,0,7,66.06451612903226,31,29,1,0
223,0.0,185,0.0,0,0,0,8,0,0,11,51,51,1.0,6,82,0,5,61.53125,32,30,1,0
224,0.0,410,0.0,12,0,0,52,0,0,12,74,62,0.7692307692307693,40,77,0,4,62.90476190476191,21,18,0,0
225,0.0,20,0.0,1,0,0,4,0,0,0,4,3,0.75,0,5,0,0,47.72727272727273,11,11,0,0
226,0.0,67,0.0,0,0,0,2,0,0,4,7,7,1.0,2,30,0,2,87.27777777777777,18,18,0,0
227,0.5319148936170213,188,0.0,2,1,0,15,0,1,1,40,38,0.8666666666666667,8,95,0,3,70.08928571428571,56,50,4,0
228,0.0,10,0.0,1,0,0,1,0,0,1,1,0,0.0,0,1,1,2,57.28125,32,28,4,0
229,0.0,18,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,1,124.375,8,7,1,0
230,0.0,27,0.0,0,0,0,2,0,0,0,7,7,1.0,2,10,0,4,98.06666666666666,15,13,1,0
231,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1,55.19047619047619,21,20,0,0
232,0.0,8,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1,42.125,8,7,1,0
233,0.0,9,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2,50.92307692307692,26,24,1,0
234,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,3,50.72727272727273,22,18,0,0
235,0.0,10,0.0,0,0,0,1,0,0,0,3,3,1.0,1,1,0,0,45.55555555555556,9,8,0,0
