id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,DaysWithCommits,Severity
260,0.0,141,0.0,23,0,0,33,0,0,0,34,11,0.303030303030303,33,66,0,1,0
261,0.0,5,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,0
262,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,0
263,0.0,103,0.0,0,0,0,5,0,0,0,23,23,1.0,1,40,0,19,0
264,0.0,93,0.0,6,0,0,8,0,0,4,13,6,0.25,2,37,0,7,0
265,0.0,48,0.0,4,0,0,7,0,0,3,7,3,0.4285714285714285,7,12,0,7,1
266,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0
267,0.0,52,0.0,3,0,0,6,0,0,3,8,5,0.5,6,7,0,8,0
268,0.0,89,0.0,0,0,0,9,0,0,0,27,27,1.0,9,16,0,4,0
269,0.0,185,0.0,18,0,0,36,18,0,18,36,0,0.0,36,36,0,3,2
270,0.0,40,0.0,4,0,0,7,3,0,3,7,0,0.0,7,7,2,2,0
271,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4,0
272,0.0,65,0.0,0,0,0,1,0,0,5,8,8,1.0,1,24,4,36,0
273,0.0,166,0.0,0,0,0,9,0,0,1,45,45,1.0,9,67,0,14,0
274,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,11,0
275,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,6,0
276,0.0,19,0.0,0,0,0,4,0,0,0,5,5,1.0,0,7,0,1,0
277,0.0,785,0.0,13,0,0,78,7,0,10,161,136,0.7435897435897436,71,219,0,9,1
278,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,57,0
279,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5,11,3
280,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,2,0
281,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1,0
282,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4,0
283,0.0,40,0.0,0,0,0,2,0,0,2,8,8,1.0,2,15,0,8,0
284,0.0,59,0.0,0,0,0,3,0,2,3,7,7,1.0,2,32,0,8,0
285,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,4,0
286,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,12,0,57,0
287,0.0,25,0.0,0,0,0,2,0,0,1,3,3,1.0,1,19,1,13,0
288,0.0,183,0.0,11,0,0,31,0,0,2,34,23,0.6451612903225806,30,36,0,19,0
289,0.0,18,0.0,0,0,0,2,0,0,1,2,2,1.0,2,4,0,15,0
290,0.0,13,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,8,1
291,0.0,33,0.0,4,0,0,5,0,0,1,5,1,0.2,5,5,0,1,1
292,0.0,44,0.0,0,0,0,2,0,0,1,8,8,1.0,1,17,0,79,0
293,0.0,44,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,1,2,2
294,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,7,0
295,0.0,86,0.0,0,0,0,1,0,0,1,15,15,1.0,1,43,0,21,0
296,0.0,35,0.0,0,0,0,1,0,0,1,6,6,1.0,1,22,0,2,0
297,16.86046511627907,172,5.232558139534884,0,29,9,10,1,0,5,22,21,0.9,8,134,0,4,0
298,0.0,80,0.0,1,0,0,7,0,0,0,13,12,0.8571428571428571,4,31,0,8,0
