id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,Severity
184,1,5,0,0,5,0
185,1,4,0,0,5,0
186,1,5,0,0,6,0
187,2,11,0,0,6,0
188,10,52,0,0,43,0
189,1,12,0,0,13,0
190,1,4,0,0,5,0
191,1,7,0,0,8,0
192,2,5,0,0,6,0
193,1,7,0,0,8,0
194,3,22,0,0,31,0
195,1,79,0,0,272,0
196,1,5,0,0,6,0
197,3,15,0,0,18,0
198,1,12,0,0,13,0
199,1,10,0,0,7,0
200,1,5,0,0,5,0
201,2,8,0,0,10,0
202,1,5,0,0,6,0
203,2,12,0,0,16,0
204,1,3,0,0,6,0
205,1,3,0,0,5,0
206,1,10,0,0,11,0
207,1,3,0,0,4,0
208,1,3,0,0,4,0
209,1,3,0,0,4,0
210,2,10,0,0,11,0
211,1,3,0,0,4,0
212,9,37,0,0,30,0
213,4,15,0,0,19,0
214,10,27,0,0,28,0
215,2,6,0,0,7,0
216,2,9,0,0,10,0
217,2,9,0,0,13,0
218,1,4,0,0,5,0
219,1,3,0,0,4,0
220,1,3,0,0,4,0
221,2,3,0,0,5,0
222,6,27,0,0,11,0
223,2,6,0,0,8,0
224,1,3,0,0,4,0
225,1,3,0,0,4,0
226,1,3,0,0,4,0
227,2,8,0,0,9,0
228,1,3,0,0,4,0
229,1,3,0,0,4,0
230,3,10,0,0,13,0
231,1,3,0,0,4,0
232,3,10,0,0,11,0
233,1,3,0,0,25,0
234,1,3,0,0,4,0
235,3,10,0,0,11,0
236,1,9,0,0,10,0
237,1,3,0,0,4,0
238,1,3,0,0,4,0
239,3,20,0,0,29,0
240,5,28,0,0,30,0
241,1,3,0,0,4,0
242,2,12,0,0,14,0
243,1,3,0,0,4,0
244,1,3,0,0,5,0
245,1,3,0,0,4,0
246,1,3,0,0,4,0
247,5,21,0,0,36,2
248,1,3,0,0,4,0
249,1,3,0,0,4,0
250,1,3,0,0,4,0
251,4,14,0,0,17,0
252,1,5,0,0,6,0
253,3,8,0,0,10,0
254,1,3,0,0,4,0
255,2,3,0,0,7,0
256,8,13,0,0,14,0
257,2,10,0,0,11,0
258,1,4,0,0,5,0
259,1,3,0,0,2,0
260,1,3,0,0,2,0
261,13,73,0,0,67,0
262,4,15,0,0,17,0
263,4,17,0,0,28,0
264,2,5,0,0,6,0
265,1,3,0,0,4,0
266,1,3,0,0,4,0
267,4,17,0,0,19,0
268,5,20,0,0,25,0
269,1,3,0,0,4,0
270,1,3,0,0,4,0
271,1,3,0,0,4,0
272,3,10,0,0,11,0
273,1,6,0,0,7,0
274,1,4,0,0,27,0
275,3,7,0,0,8,0
276,1,3,0,0,4,0
277,1,3,0,0,4,0
278,1,12,0,0,16,0
279,10,41,0,0,36,0
280,1,3,0,0,4,0
281,1,3,0,0,4,0
282,2,8,0,0,16,0
283,1,3,0,0,4,0
284,1,3,0,0,4,0
285,3,10,0,0,11,0
286,1,3,0,0,4,0
287,1,3,0,0,4,0
288,1,3,0,0,4,0
289,1,3,0,0,8,0
290,1,3,0,0,7,0
291,1,3,0,0,4,0
292,1,3,0,0,4,0
293,1,3,0,0,4,0
294,1,4,0,0,5,0
295,2,7,0,0,8,0
296,4,12,0,0,12,0
297,3,13,0,0,11,0
298,2,5,0,0,6,0
299,1,3,0,0,4,0
300,1,3,0,0,4,0
301,2,3,0,0,4,0
302,5,24,0,0,26,0
303,1,4,0,0,5,0
304,1,5,0,0,11,0
305,5,17,0,0,13,0
306,1,4,0,0,5,0
307,2,8,0,0,9,0
308,1,3,0,0,4,0
309,1,4,0,0,5,0
310,1,3,0,0,4,0
311,2,8,0,0,9,0
312,1,3,0,0,4,0
313,1,3,0,0,4,0
314,1,3,0,0,4,0
315,1,3,0,0,4,0
316,1,3,0,0,8,0
317,1,3,0,0,4,0
318,1,3,0,0,4,0
319,2,6,0,0,7,0
320,6,32,0,0,49,0
321,1,3,0,0,4,0
322,1,4,0,0,5,0
323,1,3,0,0,4,0
324,2,11,0,0,12,0
325,1,5,0,0,6,0
326,1,3,0,0,4,0
327,1,3,0,0,6,0
328,2,11,0,0,16,0
329,1,5,0,0,6,0
330,1,3,0,0,4,0
331,1,5,0,0,6,0
332,1,3,0,0,4,0
333,1,5,0,0,6,0
334,1,5,0,0,6,0
335,2,6,0,0,5,0
336,4,19,0,0,34,0
337,5,32,0,0,79,0
338,1,3,0,0,4,0
339,1,3,0,0,4,0
340,1,4,0,0,6,0
341,1,4,0,0,5,0
342,1,3,0,0,4,0
343,2,6,0,0,4,0
344,4,19,0,0,23,0
345,1,3,0,0,4,0
346,2,15,0,0,17,0
347,1,3,0,0,4,0
348,2,11,0,0,12,0
349,1,3,0,0,4,0
350,1,3,0,0,4,0
351,2,7,0,0,8,0
352,1,6,0,0,7,0
353,1,4,0,0,5,0
354,1,5,0,0,6,0
355,2,7,0,0,13,0
356,5,32,0,0,80,0
357,1,3,0,0,4,0
358,1,3,0,0,4,0
359,1,3,0,0,4,0
360,1,3,0,0,4,0
361,1,3,0,0,4,0
362,1,3,0,0,4,0
363,1,3,0,0,4,0
364,10,35,0,0,36,0
365,1,10,0,0,13,0
366,1,3,1,0,4,0
367,5,17,0,0,19,0
368,1,3,0,0,2,0
369,1,3,0,0,4,0
370,2,6,0,0,7,0
371,1,3,0,0,4,0
372,4,12,0,0,16,0
373,1,3,0,0,4,0
374,1,3,0,0,4,0
375,1,3,0,0,4,0
376,1,6,0,0,7,0
377,1,3,0,0,4,0
378,1,3,0,0,4,0
379,1,4,1,1,10,0
380,1,3,0,0,4,0
381,1,3,0,0,4,0
382,4,17,0,0,18,0
383,4,17,0,0,18,0
384,2,6,0,0,7,0
385,1,3,0,0,4,0
386,1,7,0,0,8,0
387,2,7,0,0,8,0
388,1,3,0,0,4,0
389,1,3,0,0,8,0
390,1,4,0,0,5,0
391,1,12,0,0,16,0
392,1,3,0,0,4,0
393,1,4,0,0,5,0
394,1,2,0,0,3,0
395,1,3,0,0,4,0
396,2,11,0,0,12,0
397,1,5,1,0,6,0
398,1,3,0,0,4,0
399,6,21,0,0,22,0
400,1,5,1,0,6,0
401,1,4,0,0,5,0
402,1,3,0,0,5,0
403,4,16,0,0,17,0
404,2,9,0,0,11,0
405,1,3,0,0,4,0
406,26,73,0,0,106,0
407,1,3,0,0,4,0
408,1,6,0,0,7,0
409,1,3,0,0,4,0
410,4,12,0,0,13,0
411,1,3,0,0,4,0
412,1,5,0,0,7,0
413,1,9,0,0,10,0
414,2,3,0,0,5,0
415,1,3,0,0,4,0
416,1,5,0,0,6,0
417,2,7,0,0,8,0
418,1,5,0,0,6,0
419,1,3,0,0,4,0
420,1,11,0,0,12,0
421,1,3,0,0,4,0
422,1,4,0,0,6,0
423,1,3,0,0,4,0
424,2,8,0,0,10,0
425,1,3,0,0,4,0
426,4,18,0,0,19,0
427,1,3,0,0,4,0
428,1,3,0,0,4,0
429,1,3,0,0,4,0
430,3,8,0,0,9,0
431,4,11,0,0,13,0
432,1,9,0,0,16,0
433,1,3,0,0,4,0
434,1,3,0,0,4,0
435,2,8,0,0,9,0
436,1,3,0,0,4,0
437,1,3,0,0,4,0
438,2,7,0,0,8,0
439,1,6,0,0,7,0
440,3,12,0,0,13,0
441,1,3,0,0,4,0
442,1,3,0,0,4,0
443,1,3,0,0,4,0
444,1,3,0,0,4,0
445,2,11,1,0,14,2
446,3,10,0,0,23,0
447,1,3,0,0,4,0
448,12,58,0,0,38,0
449,3,11,0,0,13,0
450,1,3,0,0,2,0
451,1,3,0,0,2,0
452,1,3,0,0,4,0
453,3,18,0,0,23,0
454,1,3,0,0,4,0
455,5,15,0,0,16,0
456,1,3,0,0,4,0
457,2,21,0,0,19,0
458,4,23,0,0,27,0
459,5,28,0,0,37,0
460,2,7,0,0,8,0
461,1,4,0,0,6,0
462,6,20,0,0,21,0
463,1,3,0,0,4,0
464,2,5,0,0,6,0
465,1,3,0,0,4,0
466,1,3,0,0,4,0
467,1,3,0,0,4,0
468,1,3,0,0,4,0
469,1,4,0,0,5,0
470,1,3,0,0,4,0
471,1,3,0,0,4,0
472,1,3,0,0,4,0
473,2,8,0,0,8,0
474,1,2,0,0,3,0
475,1,12,0,0,13,0
476,1,3,0,0,4,0
477,1,4,0,0,5,0
478,3,5,0,0,6,0
479,1,3,0,0,4,0
480,1,3,0,0,4,0
481,1,3,0,0,4,0
482,1,3,0,0,4,0
483,1,3,0,0,4,0
484,2,6,0,0,7,0
485,1,3,0,0,4,0
486,1,3,0,0,4,0
487,6,30,0,0,36,1
488,1,3,0,0,4,0
489,1,6,0,0,7,0
490,1,3,0,0,12,0
491,1,3,0,0,4,0
492,1,4,0,0,5,0
493,1,3,0,0,4,0
494,2,6,0,0,14,0
495,1,3,0,0,5,0
496,1,3,0,0,4,0
497,1,3,0,0,4,0
498,1,3,0,0,4,0
499,1,3,0,0,4,0
500,4,14,0,0,31,0
501,1,5,0,0,5,0
502,2,5,0,0,6,0
503,2,5,0,0,7,0
504,1,2,0,0,4,0
505,1,3,0,0,4,0
506,1,4,0,0,5,0
507,1,3,0,0,4,0
508,3,11,0,0,13,0
509,2,3,0,0,4,0
510,2,9,0,0,13,0
511,1,3,0,0,4,0
512,1,3,0,0,4,0
513,1,3,0,0,4,0
514,2,3,0,0,4,0
515,1,3,0,0,4,0
516,2,11,0,0,12,1
517,1,3,0,0,4,0
518,1,3,0,0,5,0
519,1,2,0,0,3,0
520,2,6,0,0,7,0
521,1,3,0,0,4,0
522,5,19,0,0,22,0
523,1,3,0,0,4,0
524,3,11,0,0,11,0
525,3,8,0,0,23,0
526,1,3,0,0,4,0
527,1,3,0,0,4,0
528,1,3,0,0,4,0
529,2,14,0,0,15,0
530,1,3,0,0,4,0
531,3,7,0,0,8,0
532,2,10,0,0,11,0
533,1,3,0,0,4,0
534,1,3,0,3,5,0
535,3,10,0,0,11,0
536,2,5,0,0,6,0
537,1,3,0,0,4,0
538,1,3,0,0,3,0
539,3,11,0,0,17,0
540,1,3,0,0,4,0
541,1,3,0,0,4,0
542,1,3,0,0,8,0
543,1,3,0,0,4,0
544,2,6,0,0,7,0
545,1,3,0,0,4,0
546,1,3,0,0,4,0
547,2,14,0,0,15,0
548,1,3,0,0,5,0
549,2,10,0,0,19,0
550,3,10,0,0,9,0
551,1,3,0,0,6,0
552,3,11,0,0,12,0
553,2,6,0,0,7,0
554,15,65,0,0,51,0
555,1,3,0,0,4,0
556,2,5,0,0,8,0
557,2,8,0,0,9,0
558,2,32,0,0,33,0
559,1,7,1,0,5,0
560,1,3,0,0,4,0
561,2,5,0,0,6,0
562,4,17,0,0,22,0
563,3,21,0,0,35,0
564,2,6,0,0,7,0
565,20,100,0,0,146,0
566,1,3,0,0,4,0
567,1,3,0,0,5,0
568,12,42,0,0,48,0
569,1,3,0,0,4,0
570,1,4,0,0,5,0
571,1,3,0,0,4,0
572,1,3,0,0,4,0
573,1,3,0,0,4,0
574,1,3,0,0,4,0
575,1,3,0,0,4,0
576,1,3,0,0,4,0
577,1,3,0,0,4,0
578,3,14,0,0,19,0
579,10,38,0,0,54,0
580,2,7,0,0,8,0
581,1,3,0,0,4,0
582,1,3,0,0,4,0
583,2,7,0,0,8,0
584,1,3,0,0,6,0
585,1,4,0,0,5,0
586,2,8,0,0,9,0
587,1,5,0,0,6,0
588,3,12,0,0,13,0
589,1,3,0,0,4,0
590,1,3,0,0,4,0
591,4,10,0,0,9,0
592,3,11,0,0,14,0
593,2,7,0,0,8,0
594,1,6,0,0,7,0
595,3,15,0,0,16,0
596,1,3,0,0,4,0
597,6,17,0,0,18,0
598,1,3,0,0,4,0
599,1,3,0,0,4,0
600,3,9,0,0,12,0
601,1,3,0,0,4,0
602,2,7,0,0,8,0
603,2,8,0,0,9,0
604,1,3,0,0,4,0
605,1,3,0,0,5,0
606,2,10,0,0,19,0
607,1,3,0,0,4,0
608,1,3,0,0,4,0
609,1,3,0,0,5,0
610,1,3,0,0,4,0
611,1,3,0,0,4,0
612,1,3,0,0,4,0
613,3,4,0,0,5,0
614,2,6,0,0,11,0
615,1,3,0,0,4,0
616,8,23,0,0,30,0
617,1,3,0,0,4,0
618,1,3,0,0,15,0
619,3,10,0,0,11,0
620,1,3,0,0,4,0
621,1,3,0,0,4,0
622,5,16,0,0,17,0
623,1,4,0,0,5,0
624,1,3,0,0,4,0
625,2,10,0,0,11,0
626,2,6,0,0,7,0
627,1,3,0,0,4,0
628,1,3,0,0,4,0
629,1,3,0,0,4,0
630,1,3,0,0,4,0
631,2,5,0,0,8,0
632,1,38,0,0,45,0
633,1,3,0,0,4,0
634,3,10,0,0,11,0
635,1,4,0,0,7,0
636,1,3,0,0,4,0
637,1,6,0,0,7,0
638,1,3,0,0,4,0
639,1,4,0,0,5,0
640,1,3,0,0,5,0
641,3,14,0,0,18,0
642,1,3,0,0,4,0
643,18,61,0,0,65,0
644,3,17,0,0,18,0
645,12,54,0,0,68,0
646,1,3,0,0,4,0
647,2,10,0,0,27,0
648,1,3,0,0,4,0
649,4,18,0,0,24,0
650,2,8,0,0,11,0
651,2,5,0,0,6,0
652,1,2,0,0,2,0
653,1,3,0,0,4,0
654,4,23,0,0,27,0
655,1,3,0,0,8,0
656,1,3,0,0,5,0
657,1,3,0,0,4,0
658,1,3,0,0,11,0
659,1,3,0,0,4,0
660,2,3,0,0,4,0
661,2,7,0,0,8,0
662,1,3,0,0,4,0
663,1,3,0,0,4,0
664,2,6,0,0,7,0
665,6,26,1,1,35,0
666,1,4,0,1,5,0
667,1,3,0,0,4,0
668,1,3,0,0,4,0
669,1,3,0,0,4,0
670,2,8,0,0,9,0
671,1,3,0,0,4,0
672,2,6,0,0,8,0
673,1,3,0,0,4,0
674,1,3,0,0,4,0
675,4,14,0,0,15,0
676,1,3,0,0,4,0
677,3,14,0,0,15,0
678,1,3,0,0,4,0
679,1,3,0,0,4,0
680,1,3,0,0,7,0
681,2,3,0,0,4,0
682,1,3,0,0,4,0
683,1,3,0,0,4,0
684,1,5,0,0,9,0
685,1,3,0,0,4,0
686,1,3,0,0,4,0
687,1,3,0,0,4,0
688,1,4,0,0,5,0
689,1,3,0,0,4,0
690,7,37,0,0,50,0
691,1,3,0,0,5,0
692,10,31,0,0,39,0
693,1,3,0,0,4,0
694,1,3,0,0,4,0
695,1,3,0,0,4,0
696,1,3,0,0,4,0
697,1,3,0,0,4,0
698,3,10,0,0,7,0
699,1,3,0,0,4,0
700,2,3,0,0,6,0
701,5,15,0,0,15,0
702,3,24,0,0,27,0
703,1,3,0,0,4,0
704,4,12,0,0,13,0
705,1,3,0,0,4,0
706,1,3,0,0,18,0
707,1,9,3,0,9,0
708,1,3,0,0,4,0
709,17,68,0,0,56,0
710,1,3,0,0,4,0
711,1,3,0,0,4,0
712,1,3,0,0,4,0
713,1,3,0,0,4,0
714,1,3,0,0,4,0
715,3,13,0,0,14,0
716,2,9,0,0,10,0
717,4,18,0,0,19,0
718,1,3,0,0,4,0
719,3,11,0,0,30,1
720,4,11,0,0,12,0
721,4,14,0,0,16,0
722,2,18,0,0,26,0
723,2,13,0,0,16,0
724,1,3,0,0,4,0
725,3,10,0,0,16,0
726,4,13,0,0,14,0
727,1,5,0,0,5,0
728,1,3,0,0,4,0
729,1,12,0,0,16,0
730,1,3,0,0,4,0
731,1,3,0,0,4,0
732,1,3,0,0,5,0
733,1,5,0,0,15,0
734,1,5,0,0,6,0
735,1,3,0,0,4,0
736,1,3,0,0,4,0
737,1,3,0,0,4,0
738,1,5,0,0,6,0
739,1,3,0,0,4,0
740,3,12,0,0,13,0
741,1,3,0,0,4,0
742,5,9,0,0,10,0
743,1,3,0,0,4,0
744,4,12,0,0,13,0
745,1,3,0,0,4,0
746,1,3,0,0,4,0
747,2,6,0,0,7,0
748,1,2,0,0,2,0
749,2,6,0,0,7,0
750,1,3,0,0,9,0
751,1,3,0,0,4,0
752,1,3,0,0,4,0
753,1,3,0,0,4,0
754,1,3,0,0,4,0
755,1,3,0,0,4,0
756,1,6,0,0,7,2
757,1,3,0,0,4,0
758,2,5,0,0,6,0
759,2,5,0,0,7,0
760,1,6,0,0,7,0
761,1,3,0,0,4,0
762,1,4,0,0,5,0
763,1,6,0,0,8,0
764,2,13,0,0,19,0
765,1,3,1,0,4,0
766,2,3,0,0,4,0
767,1,3,0,0,4,0
768,1,3,0,0,4,0
769,5,13,0,0,14,0
770,1,3,0,0,6,0
771,3,14,0,0,14,0
772,1,4,0,0,7,0
773,1,5,0,0,6,0
774,1,3,0,0,4,0
775,4,11,0,0,5,0
776,17,61,0,0,77,0
777,1,3,0,0,4,0
778,1,8,0,0,14,0
779,1,3,0,0,4,0
780,1,3,0,0,4,0
781,1,3,0,0,4,0
782,2,7,0,0,8,0
783,2,6,0,0,7,0
784,1,3,0,0,5,0
785,1,3,0,0,4,0
786,1,3,0,0,4,0
787,1,3,0,0,3,0
788,1,6,0,0,10,0
789,1,3,0,0,4,0
790,4,20,0,0,24,0
791,1,3,0,0,4,0
792,1,3,0,0,4,0
793,1,3,0,0,4,0
794,4,14,0,0,16,0
795,1,3,0,0,4,0
796,1,3,0,0,4,0
797,1,3,0,0,4,0
798,1,3,0,0,4,0
799,4,23,0,0,27,0
800,2,4,0,0,5,0
801,2,8,0,0,9,0
802,5,15,0,0,17,0
803,1,24,0,0,13,0
804,1,4,0,0,5,0
805,3,10,0,1,21,0
806,1,7,0,0,9,0
807,2,6,0,0,7,0
808,1,3,0,0,4,0
809,1,3,0,0,4,0
810,1,12,0,0,16,0
811,13,37,0,0,70,0
812,1,3,0,0,4,0
813,1,3,0,0,4,0
814,5,12,0,0,9,0
815,12,46,0,0,43,0
816,2,16,0,0,15,0
817,2,21,0,0,31,0
818,4,11,0,0,12,0
819,1,3,0,0,5,0
820,2,27,0,0,24,0
821,1,3,0,0,4,0
822,1,3,0,0,4,0
823,6,53,0,0,39,1
824,1,3,0,0,4,0
825,3,11,0,0,17,0
826,1,3,0,0,4,0
827,8,35,0,0,40,0
828,10,33,0,0,34,0
829,1,3,0,0,4,0
830,1,6,0,0,10,0
831,1,3,0,0,4,0
832,17,75,0,0,140,0
833,5,17,0,0,19,0
834,1,4,0,0,5,0
835,1,5,0,0,7,0
836,1,3,0,0,4,0
837,1,4,0,0,5,0
838,1,3,0,0,4,0
839,1,3,0,0,4,0
840,8,37,0,0,44,0
841,1,3,0,0,8,0
842,3,11,0,0,12,0
843,1,3,0,0,4,0
844,1,3,0,0,4,0
845,1,2,0,0,3,0
846,9,37,0,0,50,0
847,1,4,0,0,5,0
848,1,3,0,0,4,0
849,3,9,0,0,13,0
850,1,4,0,0,5,0
851,1,9,0,0,10,0
852,1,3,0,0,4,0
853,1,3,0,0,4,0
854,1,3,0,0,4,0
855,1,3,0,0,4,0
856,1,4,1,0,9,0
857,1,3,0,0,4,0
858,3,7,0,0,10,0
859,1,3,0,0,4,0
860,1,3,0,0,4,0
861,1,17,0,0,18,0
862,2,8,0,0,9,0
863,4,25,0,0,37,0
864,1,3,0,0,7,0
865,12,50,0,0,58,1
866,1,3,0,0,4,0
867,2,6,0,0,6,0
868,3,8,0,0,9,0
869,1,3,0,0,4,0
870,2,3,0,0,4,0
871,1,3,0,0,4,0
872,3,19,0,0,22,0
873,2,7,0,0,5,0
874,1,3,0,0,4,0
875,1,3,0,0,2,0
876,3,28,1,0,55,1
877,1,3,0,0,4,0
878,4,14,0,0,15,0
879,1,3,0,0,4,0
880,1,3,0,0,4,0
881,1,3,0,0,4,0
882,1,3,0,0,4,0
883,1,4,0,0,5,0
884,1,3,0,0,4,0
885,1,12,0,0,13,0
886,3,11,0,0,12,0
887,1,3,0,0,4,0
888,4,25,0,0,36,0
889,7,32,0,0,33,1
890,1,3,0,0,4,0
891,1,3,0,0,4,0
892,5,14,0,0,16,0
893,1,3,0,0,4,0
894,2,7,0,0,9,0
895,1,3,0,0,4,0
896,6,21,0,0,16,0
897,1,33,0,0,42,0
898,1,6,0,0,8,0
899,1,3,0,0,4,0
900,1,3,0,0,4,0
901,1,3,0,0,4,0
902,2,6,0,0,6,0
903,1,3,0,0,4,0
904,1,3,0,0,4,0
905,3,10,0,0,11,0
906,6,16,0,0,32,0
907,3,9,0,0,11,0
908,2,6,0,0,7,0
909,3,18,0,0,48,0
910,1,3,0,0,8,0
911,5,46,0,0,54,0
912,1,3,0,0,4,0
913,1,3,0,0,4,0
914,8,30,0,0,42,0
915,1,4,0,0,6,0
916,6,27,0,0,29,0
917,1,3,0,0,6,0
918,1,4,0,0,5,0
919,1,3,0,0,4,0
920,1,3,0,0,8,0
921,1,3,0,0,4,0
922,1,4,0,0,5,0
923,1,3,0,0,5,0
924,1,3,0,0,4,0
925,1,4,0,0,44,0
926,1,3,0,0,4,0
927,1,3,0,0,4,0
928,1,3,0,0,4,0
929,2,20,0,0,22,0
930,1,3,0,0,4,0
931,1,3,0,0,4,0
932,1,13,0,0,14,0
933,1,4,0,0,6,0
934,1,3,0,0,4,0
935,4,14,0,0,16,0
936,2,9,0,0,10,0
937,5,13,0,0,20,0
938,1,3,0,0,4,0
939,2,7,0,0,9,0
940,1,3,0,0,4,0
941,6,9,0,0,10,0
942,4,17,0,0,18,0
943,11,45,0,0,50,0
944,1,3,0,0,2,0
945,1,3,0,0,4,0
946,1,3,0,0,4,0
947,2,8,0,0,9,0
948,3,12,0,0,16,0
949,5,25,0,0,27,0
950,1,4,0,0,6,0
951,1,2,0,0,3,0
952,1,3,0,0,4,0
953,2,9,0,0,11,0
954,1,4,0,0,5,0
955,1,3,0,0,4,0
956,6,24,0,0,34,0
957,1,3,0,0,4,0
958,1,3,0,0,4,0
959,1,3,0,0,4,0
960,3,12,0,0,13,0
961,1,3,0,0,4,0
962,2,5,0,0,7,0
963,1,3,0,0,4,0
964,3,8,0,0,7,0
965,1,3,0,0,4,0
966,1,3,0,0,4,0
967,1,3,0,0,4,0
968,4,12,0,0,13,0
969,2,7,0,0,8,0
970,1,3,0,0,4,0
971,1,3,0,0,4,0
972,1,3,0,0,2,0
973,4,29,0,0,30,1
974,1,3,0,0,4,0
975,3,3,0,0,4,0
976,1,6,0,0,8,0
977,1,3,2,0,4,0
978,1,3,0,0,4,0
979,9,88,5,1,333,0
980,1,3,0,0,4,0
981,2,6,0,0,8,0
982,1,3,0,0,4,0
983,2,3,0,0,4,0
984,3,8,0,0,9,0
985,8,52,2,0,39,0
986,1,3,0,0,4,0
